SeasonID,RaceID,EventIndex,EventName,TrackName,EventDate,EventDateMod,OfficialEventName,Country,Location,RaceTime,AirTempMin,AirTempMax,TrackTempMin,TrackTempMax,Humidity,WindSpeed,WindDirection,Pressure,PressureMillPb,EventNameRus,EventNameRusClear,TrackNameRus,CountryRus,LocationRus,Conditions,ConditionsRus,EventNameClear,EventNameShortRus,EventNameShort,CountryAbbreviation,EventAbbreviation,SprintIndex,EventNumber,AirTemp,TrackTemp,EventsTotal,DataAvailable,SeasonOver,EventID
2021,2021011,0,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,28.03.2021,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2021,Bahrain,Sakhir,2021-03-28 18:00:00+03:00,20,21,26,28,55,0.84,66.7908560311284,1015,761.2860196050583,Гран-при Бахрейна,Гран-при Бахрейна,Международный автодром Бахрейна,Бахрейн,Сахир,Clear,Ясно,Bahrain Grand Prix,Бахрейн,Bahrain,BAH,BAH,1,01,20,27,22,1,1.0,1
2021,2021021,1,Emilia Romagna Grand Prix,Imola Circuit,2021-04-18,18.04.2021,FORMULA 1 PIRELLI GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA ROMAGNA 2021,Italy,Imola,2021-04-18 15:00:00+02:00,9,12,14,18,68,0.61,115.61047027506655,1011,758.4448322236025,Гран-при Эмилии-Романьи,Гран-при Эмилии-Романьи,Автодром Энцо и Дино Феррари (Имола),Италия,Имола,Wet-drying,Подсыхающая трасса,Emilia Romagna Grand Prix,Эмилия-Романья,Emilia Romagna,ITA,EMI,1,02,10,16,22,1,1.0,2
2021,2021031,2,Portuguese Grand Prix,Algarve International Circuit,2021-05-02,02.05.2021,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2021,Portugal,Portimão,2021-05-02 15:00:00+01:00,18,20,34,40,39,0.83,124.229718875502,1005,753.5731725975902,Гран-при Португалии,Гран-при Португалии,Междунароодный автодроом Алгарве,Португалия,Портиман,Clear,Ясно,Portuguese Grand Prix,Португалия,Portugal,POR,POR,1,03,19,37,22,1,1.0,3
2021,2021041,3,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,09.05.2021,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2021,Spain,Barcelona,2021-05-09 15:00:00+02:00,21,23,31,36,58,0.52,65.99679230152366,993,744.9985085052125,Гран-при Испании,Гран-при Испании,Трасса Барселона-Каталунья,Испания,Барселона,Partly-cloudy,Переменная облачность,Spanish Grand Prix,Испания,Spain,ESP,ESP,1,04,22,33,22,1,1.0,4
2021,2021051,4,Monaco Grand Prix,Circuit de Monaco,2021-05-23,23.05.2021,FORMULA 1 GRAND PRIX DE MONACO 2021,Monaco,Monte Carlo,2021-05-23 15:00:00+02:00,20,22,33,43,61,0.37,181.7781690140845,1016,761.8049888197182,Гран-при Монако,Гран-при Монако,Городская трасса Монако,Монако,Монте-Карло,Sunny,Солнечно,Monaco Grand Prix,Монако,Monaco,MON,MON,1,05,20,38,22,1,1.0,5
2021,2021061,5,Azerbaijan Grand Prix,Baku City Circuit,2021-06-06,06.06.2021,FORMULA 1 AZERBAIJAN GRAND PRIX 2021,Azerbaijan,Baku,2021-06-06 16:00:00+04:00,23,25,34,42,56,0.31,182.93849416755037,1015,761.0709285238598,Гран-при Азербайджана,Гран-при Азербайджана,Городская трасса Баку,Азербайджан,Баку,Cloudy,Облачно,Azerbaijan Grand Prix,Азербайджан,Azerbaijan,AZR,AZR,1,06,23,37,22,1,1.0,6
2021,2021071,6,French Grand Prix,Circuit Paul Ricard,2021-06-20,20.06.2021,FORMULA 1 EMIRATES GRAND PRIX DE FRANCE 2021,France,Le Castellet,2021-06-20 15:00:00+02:00,24,27,33,39,58,1.32,118.50999048525215,961,720.6325984224547,Гран-при Франции,Гран-при Франции,Трасса Поль Рикар,Франция,Ле-Кастелле,Partly-cloudy,Переменная облачность,French Grand Prix,Франция,France,FRA,FRA,1,07,25,36,22,1,1.0,7
2021,2021081,7,Styrian Grand Prix,Red Bull Ring,2021-06-27,27.06.2021,FORMULA 1 BWT GROSSER PREIS DER STEIERMARK 2021,Austria,Spielberg,2021-06-27 15:00:00+02:00,26,27,48,54,33,0.40,100.66203703703704,938,703.8848363750001,Гран-при Штирии,Гран-при Штирии,Трасса Ред Булл Ринг,Австрия,Шпильберг,Clear,Ясно,Styrian Grand Prix,Штирия,Styria,AUT,STE,1,08,26,51,22,1,1.0,8
2021,2021091,8,Austrian Grand Prix,Red Bull Ring,2021-07-04,04.07.2021,FORMULA 1 BWT GROSSER PREIS VON ÖSTERREICH 2021,Austria,Spielberg,2021-07-04 15:00:00+02:00,21,22,34,37,47,0.48,87.85650224215247,934,700.8338649147983,Гран-при Австрии,Гран-при Австрии,Трасса Ред Булл Ринг,Австрия,Шпильберг,Partly-cloudy,Переменная облачность,Austrian Grand Prix,Австрия,Austria,AUT,AUT,1,09,21,35,22,1,1.0,9
2021,2021100,9,"British Grand Prix, sprint",Silverstone Circuit,2021-07-17,17.07.2021,FORMULA 1 PIRELLI BRITISH GRAND PRIX 2021,Great Britain,Silverstone,2021-07-18 15:00:00+01:00,27,28,47,49,46,0.50,133.5103244837758,1010,757.8942550088494,"Гран-при Великобритании, спринт",Гран-при Великобритании,Трасса Сильверстоун,Великобритания,Сильверстоун,Sunny,Солнечно,British Grand Prix,"Великобритания, спринт","Great Britain, спринт",GBR,GBR*,0,10,27,47,22,1,1.0,10
2021,2021101,10,British Grand Prix,Silverstone Circuit,2021-07-18,18.07.2021,FORMULA 1 PIRELLI BRITISH GRAND PRIX 2021,Great Britain,Silverstone,2021-07-18 15:00:00+01:00,29,30,48,52,37,0.32,173.5123711340206,1007,755.2659576804123,Гран-при Великобритании,Гран-при Великобритании,Трасса Сильверстоун,Великобритания,Сильверстоун,Clear,Ясно,British Grand Prix,Великобритания,Great Britain,GBR,GBR,1,10,29,50,22,1,1.0,11
2021,2021111,11,Hungarian Grand Prix,Hungaroring,2021-08-01,01.08.2021,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2021,Hungary,Budapest,2021-08-01 15:00:00+02:00,26,29,31,42,72,0.69,102.2477157360406,977,732.7486151999999,Гран-при Венгрии,Гран-при Венгрии,Трасса Хунгароринг,Венгрия,Будапешт,Wet-drying,Подсыхающая трасса,Hungarian Grand Prix,Венгрия,Hungary,HUN,HUN,1,11,27,36,22,1,1.0,12
2021,2021121,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,2021-08-29,29.08.2021,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2021,Belgium,Spa-Francorchamps,2021-08-29 15:00:00+02:00,13,13,15,15,96,0.55,334.51666666666665,970,727.3081799999998,Гран-при Бельгии,Гран-при Бельгии,Трасса Спа-Франкоршам,Бельгия,Спа,Rain,Дождь,Belgian Grand Prix,Бельгия,Belgium,BEL,BEL,1,12,13,15,22,0,1.0,13
2021,2021131,13,Dutch Grand Prix,Circuit Zandvoort,2021-09-05,05.09.2021,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2021,Netherlands,Zandvoort,2021-09-05 15:00:00+02:00,21,22,35,37,53,0.41,119.20720058780309,1021,766.0825160852315,Гран-при Нидерландов,Гран-при Нидерландов,Трасса Зандворт,Нидерланды,Зандворт,Sunny,Солнечно,Dutch Grand Prix,Нидерланды,Netherlands,NLD,NLD,1,13,21,36,22,1,1.0,14
2021,2021140,14,"Italian Grand Prix, sprint",Monza Circuit,2021-09-11,11.09.2021,FORMULA 1 HEINEKEN GRAN PREMIO D’ITALIA 2021,Italy,Monza,2021-09-12 15:00:00+02:00,20,20,27,28,68,2.04,260.25925925925924,1007,755.3989191428573,"Гран-при Италии, спринт",Гран-при Италии,Национальный автодром Монцы,Италия,Монца,Sunny,Солнечно,Italian Grand Prix,"Италия, спринт","Italy, спринт",ITA,ITA*,0,14,20,27,22,1,1.0,15
2021,2021141,15,Italian Grand Prix,Monza Circuit,2021-09-12,12.09.2021,FORMULA 1 HEINEKEN GRAN PREMIO D’ITALIA 2021,Italy,Monza,2021-09-12 15:00:00+02:00,29,30,38,45,30,0.38,183.79372197309416,994,745.7435392399102,Гран-при Италии,Гран-при Италии,Национальный автодром Монцы,Италия,Монца,Sunny,Солнечно,Italian Grand Prix,Италия,Italy,ITA,ITA,1,14,29,41,22,1,1.0,16
2021,2021151,16,Russian Grand Prix,Sochi Autodrom,2021-09-26,26.09.2021,FORMULA 1 VTB RUSSIAN GRAND PRIX 2021,Russia,Sochi,2021-09-26 15:00:00+03:00,18,20,20,22,62,0.28,139.61560975609757,1023,767.3412360468293,Гран-при России,Гран-при России,Сочи Автодром,Россия,Сочи,Light-rain,Легкий дождь,Russian Grand Prix,Россия,Russia,RUS,RUS,1,15,18,20,22,1,1.0,17
