Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
33,VER,-,1.0,2.0,,,M,12,1,1,2021100,0,0,0,0,-,1,,-,-,90.354,,,-,-,-,,-,#F0E628,1,1,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,
33,VER,-,2.0,2.0,,,M,1,2,1,2021100,0,0,0,0,-,1,,-,-,90.354,,,-,-,-,,-,#F0E628,1,0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
33,VER,90.424,3.0,2.0,,,M,1,3,1,2021100,0,0,0,0,-,0,,90.424,-,90.354,92.663,92.663,-2.239,-2.239,-,,-,#F0E628,0,0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
33,VER,90.357,4.0,2.0,,,M,1,4,1,2021100,0,0,0,0,0.067,0,90.39,90.357,90.39,90.354,92.536,92.499,-2.142,-2.142,0.034,-0.034,0.034,#F0E628,0,0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
33,VER,90.478,5.0,2.0,,,M,1,5,1,2021100,0,0,0,0,0.121,0,90.417,90.478,90.417,90.354,93.492,92.535,-2.057,-2.057,0.061,0.061,0.061,#F0E628,0,0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
33,VER,90.199,6.0,2.0,,,M,1,6,1,2021100,0,0,0,0,0.279,0,90.338,90.199,90.338,90.354,92.571,92.541,-2.342,-2.342,0.139,-0.139,0.139,#F0E628,0,0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
33,VER,90.34,7.0,2.0,,,M,1,7,1,2021100,0,0,0,0,0.141,0,90.27,90.34,90.27,90.354,92.542,92.524,-2.184,-2.184,0.071,0.071,0.071,#F0E628,0,0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
33,VER,90.19,8.0,2.0,,,M,1,8,1,2021100,0,0,0,0,0.150,0,90.265,90.19,90.265,90.354,92.482,92.482,-2.292,-2.292,0.075,-0.075,0.075,#F0E628,0,0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
33,VER,90.369,9.0,2.0,,,M,1,9,1,2021100,0,0,0,0,0.179,0,90.28,90.369,90.28,90.354,92.665,92.466,-2.097,-2.097,0.090,0.09,0.090,#F0E628,0,0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
33,VER,90.393,10.0,2.0,,,M,1,10,1,2021100,0,0,0,0,0.024,0,90.381,90.393,90.381,90.354,92.389,92.383,-1.990,-1.990,0.012,0.012,0.012,#F0E628,0,0,0,,0,90.354,0.091,0,1,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
