FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,30:39.567,1,1,8
Charles Leclerc,16,+2.975,2,2,7
Sergio Perez,11,+4.721,7,3,6
Carlos Sainz,55,+17.578,10,4,5
Lando Norris,4,+24.561,3,5,4
Daniel Ricciardo,3,+27.740,6,6,3
Valtteri Bottas,77,+28.133,8,7,2
Kevin Magnussen,20,+30.712,4,8,1
Fernando Alonso,14,+32.278,5,9,0
Mick Schumacher,47,+33.773,12,10,0
George Russell,63,+36.284,11,11,0
Yuki Tsunoda,22,+38.298,16,12,0
Sebastian Vettel,5,+40.177,9,13,0
Lewis Hamilton,44,+41.459,13,14,0
Lance Stroll,18,+42.910,15,15,0
Esteban Ocon,31,+43.517,19,16,0
Pierre Gasly,10,+43.794,17,17,0
Alexander Albon,23,+48.871,20,18,0
Nicholas Latifi,6,+52.017,18,19,0
Guanyu Zhou,24,DNF,PLS,DNF,0
