SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,11_Laptime,12_Laptime,21_Laptime,11_PaceDiff,12_PaceDiff,21_PaceDiff,11_PaceDiffClear,12_PaceDiffClear,21_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2021,2021100,1.0,1,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
0,2021,2021100,2.0,2,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
0,2021,2021100,3.0,3,Alfa Romeo,93.115,93.714,,0.452,1.051,,0.452,1.051,,92.663,-,11.0,-,11,-,,-,
0,2021,2021100,4.0,4,Alfa Romeo,93.154,93.571,,0.655,1.072,,0.655,1.072,,92.536,-,11.0,-,11,-,,-,
0,2021,2021100,5.0,5,Alfa Romeo,92.869,93.422,,0.334,0.887,,0.334,0.887,,93.492,-,11.0,-,11,-,,-,
0,2021,2021100,6.0,6,Alfa Romeo,92.928,93.094,,0.387,0.553,,0.387,0.553,,92.571,-,11.0,-,11,-,,-,
0,2021,2021100,7.0,7,Alfa Romeo,93.154,92.869,,0.63,0.345,,0.63,0.345,,92.542,-,12.0,-,12,-,,-,
0,2021,2021100,8.0,8,Alfa Romeo,93.026,93.074,,0.544,0.592,,0.544,0.592,,92.482,-,11.0,-,11,-,,-,
0,2021,2021100,9.0,9,Alfa Romeo,94.35,93.564,,1.884,1.098,,0.628,0.585,,92.665,-,12.0,-,12,-,,-,
0,2021,2021100,10.0,10,Alfa Romeo,93.162,93.027,,0.779,0.644,,0.779,0.644,,92.389,-,12.0,-,12,-,,-,
0,2021,2021100,11.0,11,Alfa Romeo,92.59,92.825,,0.377,0.612,,0.377,0.612,,92.268,-,11.0,-,11,-,,-,
0,2021,2021100,12.0,12,Alfa Romeo,92.139,92.509,,-0.007,0.363,,-0.007,0.363,,92.233,-,11.0,-,11,-,,-,
0,2021,2021100,13.0,13,Alfa Romeo,92.352,92.481,,0.245,0.374,,0.245,0.374,,92.147,-,11.0,-,11,-,,-,
0,2021,2021100,14.0,14,Alfa Romeo,92.684,92.457,,0.651,0.424,,0.651,0.424,,92.061,-,12.0,-,12,-,,-,
0,2021,2021100,15.0,15,Alfa Romeo,92.482,92.667,,0.466,0.651,,0.466,0.651,,92.067,-,11.0,-,11,-,,-,
0,2021,2021100,16.0,16,Alfa Romeo,92.587,92.618,,0.699,0.73,,0.699,0.73,,91.921,-,11.0,-,11,-,,-,
0,2021,2021100,17.0,17,Alfa Romeo,92.624,92.468,,0.829,0.673,,0.829,0.673,,91.795,-,12.0,-,12,-,,-,
0,2021,2021140,1.0,18,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
0,2021,2021140,2.0,19,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
0,2021,2021140,3.0,20,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
0,2021,2021140,4.0,21,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
0,2021,2021140,5.0,22,Alfa Romeo,,85.915,87.718,,-0.255,1.548,,-0.255,1.548,86.17,1.803,12.0,1.803,12,-,,-,
0,2021,2021140,6.0,23,Alfa Romeo,,85.359,87.254,,-0.309,1.586,,-0.309,1.586,85.756,1.895,12.0,1.895,12,-,,-,
0,2021,2021140,7.0,24,Alfa Romeo,,85.314,86.881,,-0.127,1.44,,-0.127,1.44,85.462,1.567,12.0,1.567,12,-,,-,
0,2021,2021140,8.0,25,Alfa Romeo,,85.384,87.17,,0.0,1.786,,0.0,1.605,85.483,1.786,12.0,1.605,12,-,,-,
0,2021,2021140,9.0,26,Alfa Romeo,,85.488,87.098,,0.009,1.619,,0.009,1.619,85.71,1.610,12.0,1.610,12,-,,-,
0,2021,2021140,10.0,27,Alfa Romeo,,85.126,86.958,,-0.457,1.375,,-0.457,1.375,85.646,1.832,12.0,1.832,12,-,,-,
0,2021,2021140,11.0,28,Alfa Romeo,,85.198,86.948,,-0.363,1.387,,-0.363,1.387,85.627,1.750,12.0,1.750,12,-,,-,
0,2021,2021140,12.0,29,Alfa Romeo,,85.354,86.772,,-0.171,1.247,,-0.171,1.247,85.56,1.418,12.0,1.418,12,-,,-,
0,2021,2021140,13.0,30,Alfa Romeo,,85.4,87.554,,-0.175,1.979,,-0.175,1.979,85.637,2.154,12.0,2.154,12,-,,-,
0,2021,2021140,14.0,31,Alfa Romeo,,85.56,87.7,,-0.1,2.04,,-0.1,2.04,85.674,2.140,12.0,2.140,12,-,,-,
0,2021,2021140,15.0,32,Alfa Romeo,,85.176,87.525,,-0.408,1.941,,-0.408,1.941,85.584,2.349,12.0,2.349,12,-,,-,
0,2021,2021140,16.0,33,Alfa Romeo,,85.651,87.817,,0.078,2.244,,-0.248,2.057,85.624,2.166,12.0,2.305,12,-,,-,
0,2021,2021140,17.0,34,Alfa Romeo,,85.475,87.735,,-0.159,2.101,,-0.159,2.101,85.665,2.260,12.0,2.260,12,-,,-,
0,2021,2021140,18.0,35,Alfa Romeo,,85.78,87.724,,-0.023,1.921,,-0.023,1.921,85.803,1.944,12.0,1.944,12,-,,-,
0,2021,2021190,1.0,36,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
0,2021,2021190,2.0,37,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
0,2021,2021190,3.0,38,Alfa Romeo,74.085,74.48,,0.015,0.41,,0.015,0.41,,74.07,-,11.0,-,11,-,,-,
0,2021,2021190,4.0,39,Alfa Romeo,74.805,75.06,,1.019,1.274,,0.232,0.731,,73.953,-,11.0,-,11,-,,-,
0,2021,2021190,5.0,40,Alfa Romeo,73.952,74.554,,0.237,0.839,,0.237,0.839,,73.834,-,11.0,-,11,-,,-,
0,2021,2021190,6.0,41,Alfa Romeo,74.102,74.033,,0.341,0.272,,0.341,0.272,,73.956,-,12.0,-,12,-,,-,
0,2021,2021190,7.0,42,Alfa Romeo,74.061,73.849,,0.236,0.024,,0.236,0.024,,73.926,-,12.0,-,12,-,,-,
0,2021,2021190,8.0,43,Alfa Romeo,73.975,74.018,,0.319,0.362,,0.319,0.362,,73.698,-,11.0,-,11,-,,-,
0,2021,2021190,9.0,44,Alfa Romeo,73.9,73.971,,0.247,0.318,,0.247,0.318,,73.755,-,11.0,-,11,-,,-,
0,2021,2021190,10.0,45,Alfa Romeo,74.449,73.82,,0.752,0.123,,0.408,0.123,,73.764,-,12.0,-,12,-,,-,
0,2021,2021190,11.0,46,Alfa Romeo,74.311,73.627,,0.67,-0.014,,0.67,-0.014,,73.641,-,12.0,-,12,-,,-,
0,2021,2021190,12.0,47,Alfa Romeo,74.423,73.972,,0.716,0.265,,0.716,0.265,,73.782,-,12.0,-,12,-,,-,
0,2021,2021190,13.0,48,Alfa Romeo,74.106,74.097,,0.332,0.323,,0.332,0.323,,73.86,-,12.0,-,12,-,,-,
0,2021,2021190,14.0,49,Alfa Romeo,74.201,74.062,,0.395,0.256,,0.395,0.256,,73.829,-,12.0,-,12,-,,-,
0,2021,2021190,15.0,50,Alfa Romeo,74.418,73.858,,0.604,0.044,,0.469,0.044,,73.842,-,12.0,-,12,-,,-,
0,2021,2021190,16.0,51,Alfa Romeo,74.365,74.091,,0.479,0.205,,0.479,0.205,,74.04,-,12.0,-,12,-,,-,
0,2021,2021190,17.0,52,Alfa Romeo,74.353,74.19,,0.491,0.328,,0.491,0.328,,73.897,-,12.0,-,12,-,,-,
0,2021,2021190,18.0,53,Alfa Romeo,74.008,73.843,,0.153,-0.012,,0.153,-0.012,,73.9,-,12.0,-,12,-,,-,
0,2021,2021190,19.0,54,Alfa Romeo,74.169,74.298,,0.243,0.372,,0.243,0.372,,73.953,-,11.0,-,11,-,,-,
0,2021,2021190,20.0,55,Alfa Romeo,74.425,74.324,,0.442,0.341,,0.283,0.341,,74.139,-,12.0,-,11,-,,-,
0,2021,2021190,21.0,56,Alfa Romeo,74.363,74.459,,0.401,0.497,,0.401,0.497,,73.962,-,11.0,-,11,-,,-,
0,2021,2021190,22.0,57,Alfa Romeo,74.607,74.48,,0.562,0.435,,0.562,0.435,,74.052,-,12.0,-,12,-,,-,
