SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,9_Laptime,17_Laptime,9_PaceDiff,17_PaceDiff,9_PaceDiffClear,17_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2021,2021011,1.0,1,Alpha Tauri,,,,,,,,-,-,-,,-,,-,
1,2021,2021011,2.0,2,Alpha Tauri,,,,,,,,-,-,-,,-,,-,
1,2021,2021011,3.0,3,Alpha Tauri,,,,,,,,-,-,-,,-,,-,
1,2021,2021011,4.0,4,Alpha Tauri,,,,,,,,-,-,-,,-,,-,
1,2021,2021011,5.0,5,Alpha Tauri,,,,,,,,-,-,-,,-,,-,
1,2021,2021011,6.0,6,Alpha Tauri,98.218,96.677,0.511,-1.03,0.511,-1.03,97.707,-1.541,17.0,-1.541,17,-0.260,-0.2595,-0.260,-0.2595
1,2021,2021011,7.0,7,Alpha Tauri,97.329,96.954,-0.158,-0.533,-0.158,-0.533,97.491,-0.375,17.0,-0.375,17,-0.346,-0.34550000000000003,-0.346,-0.34550000000000003
1,2021,2021011,8.0,8,Alpha Tauri,97.491,97.424,-0.151,-0.218,-0.151,-0.65,97.696,-0.067,17.0,-0.499,17,-0.184,-0.1845,-0.401,-0.4005
1,2021,2021011,9.0,9,Alpha Tauri,97.907,97.03,0.2,-0.677,-0.093,-0.677,97.91,-0.877,17.0,-0.584,17,-0.239,-0.23850000000000002,-0.385,-0.385
1,2021,2021011,10.0,10,Alpha Tauri,97.738,97.375,0.18,-0.183,0.18,-0.183,97.607,-0.363,17.0,-0.363,17,-0.002,-0.0015000000000000013,-0.002,-0.0015000000000000013
1,2021,2021011,11.0,11,Alpha Tauri,97.593,97.517,0.011,-0.065,0.011,-0.065,97.604,-0.076,17.0,-0.076,17,-0.027,-0.027000000000000003,-0.027,-0.027000000000000003
1,2021,2021011,12.0,12,Alpha Tauri,97.947,98.054,0.133,0.24,-0.076,-0.118,97.954,0.107,9.0,-0.042,17,0.186,0.1865,-0.097,-0.097
