SprintIndex,SeasonID,DriverID,FullName,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateDiscreteAvg,ConsistencyTeammateDiscreteAvg,PaceTeammateDiscreteAvg,StartTeammateDiscreteAvg,OvertakesTeammateDiscreteAvg,MistakesTeammateDiscreteAvg,QualiTeammateNormalizedAvg,ConsistencyTeammateNormalizedAvg,PaceTeammateNormalizedAvg,StartTeammateNormalizedAvg,OvertakesTeammateNormalizedAvg,MistakesTeammateNormalizedAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,ConsistencyAvg,OvertakesSum,OvertakesAvg,OvertakesGainAvg,OvertakesLostAvg,PaceAvg,StartSum,StartAvg,StartGainAvg,StartLostAvg
2,2021,4,Lando Norris,8.33,6.69,6.82,4.583333333333333,7.916666666666666,2.5,7.5,4.8,5.59840177061133,4.967887537280199,5.333165481939029,4.506192062115105,5.320129693915122,5.158350436361997,7.20,5.56,7.58,0.241,32.0,1.391304347826087,1.84,0.56,87.06178260869565,-7.0,-0.2916666666666667,0.29,0.58
2,2021,3,Valtteri Bottas,7.27,6.23,2.27,4.285714285714286,2.380952380952381,2.380952380952381,4.285714285714286,4.4,4.771452887901614,4.90818387425882,4.5741944926369245,4.702314602041467,4.959431735280465,5.272475850380502,8.12,5.28,6.78,0.294,18.0,0.8571428571428571,1.32,0.56,87.33938095238095,-11.0,-0.4782608695652174,0.26,0.74
2,2021,2,Max Verstappen,9.18,6.05,9.09,8.571428571428571,9.523809523809524,6.190476190476191,5.238095238095238,7.6,5.651468293171536,5.973626061586157,5.622204177578593,5.071026995354949,4.982077211026579,6.227570102706307,9.53,6.22,8.17,0.174,18.0,0.8181818181818182,0.92,0.20,85.61777272727272,7.0,0.30434782608695654,0.57,0.26
2,2021,1,Lewis Hamilton,7.84,6.55,7.73,5.7142857142857135,7.619047619047619,7.619047619047619,5.7142857142857135,5.2,5.228547112098386,5.091816125741179,5.425805507363075,5.297685397958533,5.040568264719535,5.636615058710406,9.42,6.11,7.32,0.224,30.0,1.3043478260869565,1.92,0.72,85.95365217391304,1.0,0.041666666666666664,0.50,0.46
2,2021,6,Charles Leclerc,7.63,5.56,5.91,6.086956521739131,7.391304347826086,6.956521739130435,4.3478260869565215,5.2,5.2800865553836696,4.826332613924189,5.222816070536717,5.896368365346958,4.941288374596501,5.192449414879907,7.24,7.05,7.19,0.264,-1.0,-0.045454545454545456,1.33,1.38,87.47377272727273,19.0,0.8636363636363636,0.91,0.05
2,2021,17,Pierre Gasly,8.03,6.50,9.55,6.842105263157895,8.421052631578947,5.263157894736842,5.7894736842105265,6.800000000000001,6.107821733287953,5.511337130896381,5.507030203436227,5.132684564510219,5.162964408411418,6.312127386481176,6.26,4.68,7.20,0.289,21.0,1.05,1.84,0.96,87.4262,-28.0,-1.2173913043478262,0.04,1.26
2,2021,7,Daniel Ricciardo,8.06,5.73,3.18,5.416666666666666,2.0833333333333335,7.5,2.5,4.8,4.40159822938867,5.032112462719801,4.666834518060971,5.4938079378848945,4.679870306084878,5.056580831819751,6.11,6.67,7.44,0.238,6.0,0.25,1.40,1.16,87.27104166666668,6.0,0.25,0.92,0.67
2,2021,5,Sergio Perez,6.80,6.34,0.91,1.4285714285714284,0.47619047619047616,3.8095238095238093,4.761904761904762,2.0,4.348531706828464,4.026373938413843,4.377795822421407,4.928973004645051,5.01792278897342,4.207212505989345,7.82,6.16,6.61,0.335,32.0,1.4545454545454546,2.40,1.12,86.50036363636364,3.0,0.13043478260869565,0.48,0.35
2,2021,11,Kimi Räikkönen,5.93,4.78,3.50,3.5,6.0,6.0,4.5,4.545454545454545,4.438123793805011,4.399819859413694,5.076322387490944,5.300165166271928,5.169329744046905,5.195803864144228,4.75,7.53,5.99,0.387,-19.0,-1.0,1.50,2.36,88.66247368421052,31.0,1.4761904761904763,1.90,0.43
2,2021,10,Lance Stroll,7.12,5.95,3.64,5.416666666666666,4.166666666666667,5.0,4.166666666666667,4.8,4.670176603924928,5.046494342973467,4.891660485252639,5.206609590260757,5.191777558083793,5.374131924574145,5.15,7.00,6.91,0.305,12.0,0.5217391304347826,2.24,1.76,87.86973913043478,19.0,0.8260869565217391,1.17,0.35
