SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,14_Laptime,35_Laptime,14_PaceDiff,35_PaceDiff,14_PaceDiffClear,35_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffClearTeammateMean,PaceDiffTeammateBetterMode
0,2025,2025020,1.0,1,Mercedes,,,,,,,,,,,,,,14
0,2025,2025020,2.0,2,Mercedes,,,,,,,,,,,,,,14
0,2025,2025020,3.0,3,Mercedes,96.045,96.659,-0.921,-0.307,-0.921,-0.307,96.966,0.6140000000000001,14,0.6140000000000001,14,-0.614,-0.614,14
0,2025,2025020,4.0,4,Mercedes,95.891,96.518,-1.039,-0.412,-1.039,-0.412,96.969,0.627,14,0.627,14,-0.7254999999999999,-0.7254999999999999,14
0,2025,2025020,5.0,5,Mercedes,96.394,96.311,-0.787,-0.87,-1.055,-0.87,97.268,-0.08299999999999996,35,0.18499999999999994,14,-0.8285,-0.9624999999999999,14
0,2025,2025020,6.0,6,Mercedes,96.361,96.859,-0.917,-0.419,-0.917,-0.767,97.324,0.49800000000000005,14,0.15000000000000002,14,-0.668,-0.8420000000000001,14
0,2025,2025020,7.0,7,Mercedes,96.653,96.711,-0.664,-0.606,-0.664,-0.606,97.342,0.05800000000000005,14,0.05800000000000005,14,-0.635,-0.635,14
0,2025,2025020,8.0,8,Mercedes,96.719,97.259,-0.838,-0.298,-0.838,-0.298,97.557,0.54,14,0.54,14,-0.568,-0.568,14
0,2025,2025020,9.0,9,Mercedes,96.949,97.318,-0.943,-0.574,-0.943,-0.574,98.052,0.369,14,0.369,14,-0.7585,-0.7585,14
0,2025,2025020,10.0,10,Mercedes,97.323,97.745,-0.873,-0.451,-0.873,-0.451,98.221,0.422,14,0.422,14,-0.662,-0.662,14
0,2025,2025020,11.0,11,Mercedes,97.753,98.266,-0.665,-0.152,-0.912,-0.152,98.552,0.513,14,0.76,14,-0.40850000000000003,-0.532,14
0,2025,2025020,12.0,12,Mercedes,97.688,98.306,-0.712,-0.094,-0.712,-0.094,98.4,0.618,14,0.618,14,-0.40299999999999997,-0.40299999999999997,14
0,2025,2025020,13.0,13,Mercedes,97.442,98.56,-0.919,0.199,-0.919,0.199,98.361,1.118,14,1.118,14,-0.36,-0.36,14
0,2025,2025020,14.0,14,Mercedes,98.041,98.596,-0.638,-0.083,-0.638,-0.083,98.708,0.555,14,0.555,14,-0.3605,-0.3605,14
0,2025,2025020,15.0,15,Mercedes,98.304,98.995,-0.598,0.093,-0.598,0.093,99.096,0.691,14,0.691,14,-0.2525,-0.2525,14
0,2025,2025020,16.0,16,Mercedes,98.083,98.941,-0.832,0.026,-0.832,0.026,98.947,0.858,14,0.858,14,-0.40299999999999997,-0.40299999999999997,14
0,2025,2025020,17.0,17,Mercedes,98.186,99.278,-0.846,0.246,-0.846,0.246,99.25,1.092,14,1.092,14,-0.3,-0.3,14
0,2025,2025020,18.0,18,Mercedes,98.313,99.083,-0.906,-0.136,-0.906,-0.136,99.244,0.77,14,0.77,14,-0.521,-0.521,14
0,2025,2025020,19.0,19,Mercedes,99.034,99.249,-1.658,-1.443,-1.658,-1.443,100.692,0.21499999999999986,14,0.21499999999999986,14,-1.5505,-1.5505,14
0,2025,2025060,1.0,20,Mercedes,,,,,,,,,,,,,,14
0,2025,2025060,2.0,21,Mercedes,,,,,,,,,,,,,,14
0,2025,2025060,3.0,22,Mercedes,,,,,,,,,,,,,,14
0,2025,2025060,4.0,23,Mercedes,,,,,,,,,,,,,,14
0,2025,2025060,5.0,24,Mercedes,101.412,101.3,-0.76,-0.872,-0.76,-0.872,102.172,-0.11199999999999999,35,-0.11199999999999999,35,-0.8160000000000001,-0.8160000000000001,14
0,2025,2025060,6.0,25,Mercedes,100.963,101.012,-1.165,-1.116,-1.165,-1.116,102.197,0.04899999999999993,14,0.04899999999999993,14,-1.1405,-1.1405,14
0,2025,2025060,7.0,26,Mercedes,101.579,102.089,-0.645,-0.135,-0.645,-0.717,102.255,0.51,14,-0.07199999999999995,35,-0.39,-0.681,14
0,2025,2025060,8.0,27,Mercedes,101.598,102.003,-1.013,-0.608,-1.013,-0.608,102.683,0.4049999999999999,14,0.4049999999999999,14,-0.8105,-0.8105,14
0,2025,2025060,9.0,28,Mercedes,102.188,102.244,-0.565,-0.509,-0.565,-0.509,102.753,0.05599999999999994,14,0.05599999999999994,14,-0.5369999999999999,-0.5369999999999999,14
0,2025,2025060,10.0,29,Mercedes,103.422,102.251,0.022,-1.149,-0.852,-1.149,103.557,-1.171,35,-0.29700000000000004,35,-0.5635,-1.0005,14
0,2025,2025060,11.0,30,Mercedes,102.908,102.681,-0.559,-0.786,-0.559,-0.786,103.506,-0.22699999999999998,35,-0.22699999999999998,35,-0.6725000000000001,-0.6725000000000001,14
0,2025,2025060,12.0,31,Mercedes,103.644,,0.992,,0.992,,102.652,,,,,0.992,0.992,14
0,2025,2025060,13.0,32,Mercedes,,,,,,,98.356,,,,,,,14
0,2025,2025060,14.0,33,Mercedes,,,,,,,,,,,,,,14
0,2025,2025060,15.0,34,Mercedes,,,,,,,,,,,,,,14
0,2025,2025060,16.0,35,Mercedes,,,,,,,,,,,,,,14
0,2025,2025060,17.0,36,Mercedes,,,,,,,,,,,,,,14
0,2025,2025060,18.0,37,Mercedes,,,,,,,,,,,,,,14
0,2025,2025130,1.0,38,Mercedes,,,,,,,,,,,,,,14
0,2025,2025130,2.0,39,Mercedes,,,,,,,,,,,,,,14
0,2025,2025130,3.0,40,Mercedes,107.57,108.189,0.075,0.694,0.075,0.694,107.495,0.619,14,0.619,14,0.38449999999999995,0.38449999999999995,14
0,2025,2025130,4.0,41,Mercedes,107.278,107.902,0.028,0.652,0.028,0.652,107.313,0.624,14,0.624,14,0.34,0.34,14
0,2025,2025130,5.0,42,Mercedes,107.363,106.698,0.163,-0.502,0.163,-0.502,107.293,-0.665,35,-0.665,35,-0.16949999999999998,-0.16949999999999998,14
0,2025,2025130,6.0,43,Mercedes,107.673,107.351,0.437,0.115,0.437,0.115,107.262,-0.322,35,-0.322,35,0.276,0.276,14
0,2025,2025130,7.0,44,Mercedes,107.852,107.503,0.631,0.282,0.631,0.282,107.259,-0.34900000000000003,35,-0.34900000000000003,35,0.4565,0.4565,14
0,2025,2025130,8.0,45,Mercedes,107.894,108.104,0.54,0.75,0.54,0.389,107.425,0.20999999999999996,14,-0.15100000000000002,35,0.645,0.4645,14
0,2025,2025130,9.0,46,Mercedes,107.617,107.983,0.188,0.554,0.188,0.554,107.452,0.36600000000000005,14,0.36600000000000005,14,0.371,0.371,14
0,2025,2025130,10.0,47,Mercedes,107.604,107.849,0.225,0.47,0.225,0.47,107.414,0.24499999999999997,14,0.24499999999999997,14,0.3475,0.3475,14
