SprintIndex,SeasonID,RaceID,EventIndex,Team,Number,Color,DriverID,FullName,Abbreviation,LapNumber,LapNumberFlow,PaceDiff,PaceDiffTeammatesDelta,PaceDiffTeammateBest,PaceDiffTeammatesMean,PaceDiffClear
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,1.0,1,-,nan,nan,-,-
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,2.0,2,-,nan,nan,-,-
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,3.0,3,-0.452,-0.599,11.000,-0.751,-0.452
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,4.0,4,-0.655,-0.417,11.000,-0.864,-0.655
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,5.0,5,-0.334,-0.553,11.000,-0.611,-0.334
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,6.0,6,-0.387,-0.166,11.000,-0.470,-0.387
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,7.0,7,-0.630,0.285,12.000,-0.487,-0.630
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,8.0,8,-0.544,-0.048,11.000,-0.568,-0.544
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,9.0,9,-1.884,0.786,12.000,-1.491,-0.628
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,10.0,10,-0.779,0.135,12.000,-0.712,-0.779
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,11.0,11,-0.377,-0.235,11.000,-0.494,-0.377
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,12.0,12,0.007,-0.370,11.000,-0.178,0.007
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,13.0,13,-0.245,-0.129,11.000,-0.309,-0.245
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,14.0,14,-0.651,0.227,12.000,-0.537,-0.651
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,15.0,15,-0.466,-0.185,11.000,-0.558,-0.466
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,16.0,16,-0.699,-0.031,11.000,-0.714,-0.699
0,2021,2021100,9,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,17.0,17,-0.829,0.156,12.000,-0.751,-0.829
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,1.0,1,-,nan,nan,-,-
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,2.0,2,-,nan,nan,-,-
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,3.0,3,-1.051,-0.599,11.000,-0.751,-1.051
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,4.0,4,-1.072,-0.417,11.000,-0.864,-1.072
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,5.0,5,-0.887,-0.553,11.000,-0.611,-0.887
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,6.0,6,-0.553,-0.166,11.000,-0.470,-0.553
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,7.0,7,-0.345,0.285,12.000,-0.487,-0.345
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,8.0,8,-0.592,-0.048,11.000,-0.568,-0.592
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,9.0,9,-1.098,0.786,12.000,-1.491,-0.585
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,10.0,10,-0.644,0.135,12.000,-0.712,-0.644
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,11.0,11,-0.612,-0.235,11.000,-0.494,-0.612
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,12.0,12,-0.363,-0.370,11.000,-0.178,-0.363
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,13.0,13,-0.374,-0.129,11.000,-0.309,-0.374
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,14.0,14,-0.424,0.227,12.000,-0.537,-0.424
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,15.0,15,-0.651,-0.185,11.000,-0.558,-0.651
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,16.0,16,-0.730,-0.031,11.000,-0.714,-0.730
0,2021,2021100,9,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,17.0,17,-0.673,0.156,12.000,-0.751,-0.673
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,1.0,18,-,nan,nan,-,-
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,2.0,19,-,nan,nan,-,-
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,3.0,20,-,nan,nan,-,-
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,4.0,21,-,nan,nan,-,-
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,5.0,22,0.255,-1.803,12.000,-0.647,0.255
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,6.0,23,0.309,-1.895,12.000,-0.639,0.309
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,7.0,24,0.127,-1.567,12.000,-0.656,0.127
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,8.0,25,0.000,-1.786,12.000,-0.893,0.000
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,9.0,26,-0.009,-1.610,12.000,-0.814,-0.009
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,10.0,27,0.457,-1.832,12.000,-0.459,0.457
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,11.0,28,0.363,-1.750,12.000,-0.512,0.363
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,12.0,29,0.171,-1.418,12.000,-0.538,0.171
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,13.0,30,0.175,-2.154,12.000,-0.902,0.175
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,14.0,31,0.100,-2.140,12.000,-0.970,0.100
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,15.0,32,0.408,-2.349,12.000,-0.767,0.408
