SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
0,2021,2021100,9,Williams,14,RUS,George Russell,63,#005AFF,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,1,2.0,0,0,0.104,0,0,0,0,,10
0,2021,2021100,9,Williams,14,RUS,George Russell,63,#005AFF,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,2,2.0,0,0,0.104,0,0,0,0,0.0,10
0,2021,2021100,9,Williams,14,RUS,George Russell,63,#005AFF,3.0,3,92.88,92.88,0,0,-,-,-0.217,0.780,-0.607,14.0,-0.217,0.780,-0.607,14.0,-0.997,M,#F0E628,3,2.0,0,0,0.104,0,0,0,0,0.0,10
0,2021,2021100,9,Williams,14,RUS,George Russell,63,#005AFF,4.0,4,92.655,92.655,0,0,92.768,0.225,-0.156,0.663,-0.487,14.0,-0.156,0.663,-0.487,14.0,-0.819,M,#F0E628,4,2.0,0,0,0.104,0,0,0,0,0.0,10
0,2021,2021100,9,Williams,14,RUS,George Russell,63,#005AFF,5.0,5,93.102,92.762,1,0,92.709,0.447,-0.567,1.635,-1.385,14.0,-0.227,0.460,-0.457,14.0,-2.202,M,#F0E628,5,2.0,0,0,0.104,0,0,0,0,1.0,9
0,2021,2021100,9,Williams,14,RUS,George Russell,63,#005AFF,6.0,6,92.87,92.87,0,0,92.816,0.232,-0.329,0.256,-0.457,14.0,-0.329,0.256,-0.457,14.0,-0.585,M,#F0E628,6,2.0,0,0,0.104,0,0,0,0,0.0,9
0,2021,2021100,9,Williams,14,RUS,George Russell,63,#005AFF,7.0,7,92.949,92.949,0,0,92.91,0.079,-0.425,-0.089,-0.381,18.0,-0.425,-0.089,-0.381,18.0,-0.336,M,#F0E628,7,2.0,0,0,0.104,0,0,0,0,0.0,9
0,2021,2021100,9,Williams,14,RUS,George Russell,63,#005AFF,8.0,8,92.912,92.912,0,0,92.93,0.037,-0.43,-0.083,-0.388,18.0,-0.430,-0.083,-0.388,18.0,-0.347,M,#F0E628,8,2.0,0,0,0.104,0,0,0,0,0.0,9
0,2021,2021100,9,Williams,14,RUS,George Russell,63,#005AFF,9.0,9,92.669,92.669,0,0,92.791,0.243,-0.203,0.543,-0.474,14.0,-0.203,0.543,-0.474,14.0,-0.746,M,#F0E628,9,2.0,0,0,0.104,0,0,0,0,0.0,9
0,2021,2021100,9,Williams,14,RUS,George Russell,63,#005AFF,10.0,10,92.639,92.639,0,0,92.654,0.030,-0.256,0.680,-0.596,14.0,-0.256,0.680,-0.596,14.0,-0.936,M,#F0E628,10,2.0,0,1,0.104,0,0,0,0,0.0,9
