SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
1,2021,2021011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,1,1.0,0,0,0.191,0,1,0,0,,18
1,2021,2021011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,2,1.0,0,0,0.191,0,0,0,0,0.0,18
1,2021,2021011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,3.0,3,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,3,1.0,0,0,0.191,1,0,0,0,0.0,18
1,2021,2021011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,4.0,4,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,4,1.0,0,0,0.191,0,0,0,1,0.0,19
1,2021,2021011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,5.0,5,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,5,1.0,0,0,0.191,0,0,1,0,0.0,18
1,2021,2021011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,6.0,6,98.744,98.744,0,0,-,-,-1.037,-,-,-,-1.037,-,-,-,,M,#F0E628,6,1.0,0,0,0.191,0,0,0,0,0.0,18
1,2021,2021011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,7.0,7,99.134,99.134,0,0,98.939,0.390,-1.647,-,-,-,-1.647,-,-,-,,M,#F0E628,7,1.0,0,0,0.191,0,0,0,0,0.0,18
1,2021,2021011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,8.0,8,99.272,99.272,0,0,99.203,0.138,-1.63,-,-,-,-1.630,-,-,-,,M,#F0E628,8,1.0,0,0,0.191,0,0,0,0,0.0,18
1,2021,2021011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,9.0,9,99.164,99.164,0,0,99.218,0.108,-1.457,-,-,-,-1.457,-,-,-,,M,#F0E628,9,1.0,0,1,0.191,0,0,0,0,0.0,18
1,2021,2021011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,10.0,10,98.955,98.955,0,0,99.06,0.209,-1.397,-,-,-,-1.397,-,-,-,,M,#F0E628,10,1.0,0,0,0.191,0,0,0,0,0.0,18
