SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,10_Laptime,15_Laptime,25_Laptime,10_PaceDiff,15_PaceDiff,25_PaceDiff,10_PaceDiffClear,15_PaceDiffClear,25_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2022,2022040,1.0,1,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,2.0,2,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,3.0,3,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,4.0,4,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,5.0,5,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,6.0,6,Aston Martin,82.26,81.561,,0.875,0.176,,0.875,0.176,,81.385,-,15.0,-,15,-,,-,
0,2022,2022040,7.0,7,Aston Martin,81.659,81.428,,0.55,0.319,,0.55,0.319,,81.162,-,15.0,-,15,-,,-,
0,2022,2022040,8.0,8,Aston Martin,82.349,81.044,,1.529,0.224,,0.577,0.224,,80.908,-,15.0,-,15,-,,-,
0,2022,2022040,9.0,9,Aston Martin,81.136,81.903,,0.351,1.118,,0.351,0.509,,80.869,-,10.0,-,10,-,,-,
0,2022,2022040,10.0,10,Aston Martin,81.244,81.544,,0.424,0.724,,0.424,0.724,,80.917,-,10.0,-,10,-,,-,
0,2022,2022040,11.0,11,Aston Martin,81.07,81.116,,0.362,0.408,,0.362,0.408,,80.877,-,10.0,-,10,-,,-,
0,2022,2022040,12.0,12,Aston Martin,81.212,81.223,,0.478,0.489,,0.478,0.489,,80.79,-,10.0,-,10,-,,-,
0,2022,2022040,13.0,13,Aston Martin,81.487,81.261,,0.737,0.511,,0.737,0.511,,80.799,-,15.0,-,15,-,,-,
0,2022,2022040,14.0,14,Aston Martin,80.948,81.061,,0.369,0.482,,0.369,0.482,,80.608,-,10.0,-,10,-,,-,
0,2022,2022040,15.0,15,Aston Martin,81.286,82.281,,0.466,1.461,,0.466,0.483,,80.9,-,10.0,-,10,-,,-,
0,2022,2022040,16.0,16,Aston Martin,81.607,81.545,,0.72,0.658,,0.72,0.658,,81.003,-,15.0,-,15,-,,-,
0,2022,2022040,17.0,17,Aston Martin,81.124,81.217,,0.327,0.42,,0.327,0.42,,80.854,-,10.0,-,10,-,,-,
0,2022,2022040,18.0,18,Aston Martin,81.511,81.585,,0.509,0.583,,0.509,0.583,,81.082,-,10.0,-,10,-,,-,
0,2022,2022040,19.0,19,Aston Martin,82.165,82.647,,0.946,1.428,,0.587,0.762,,81.503,-,10.0,-,10,-,,-,
0,2022,2022040,20.0,20,Aston Martin,82.101,82.378,,0.74,1.017,,0.74,1.017,,81.429,-,10.0,-,10,-,,-,
0,2022,2022040,21.0,21,Aston Martin,82.474,81.651,,1.028,0.205,,1.028,0.205,,81.446,-,15.0,-,15,-,,-,
0,2022,2022110,1.0,22,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022110,2.0,23,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022110,3.0,24,Aston Martin,71.14,71.048,,0.864,0.772,,0.864,0.772,,70.276,-,15.0,-,15,-,,-,
0,2022,2022110,4.0,25,Aston Martin,70.295,70.317,,0.575,0.597,,0.575,0.597,,69.764,-,10.0,-,10,-,,-,
0,2022,2022110,5.0,26,Aston Martin,70.592,70.646,,0.725,0.779,,0.54,0.779,,69.988,-,10.0,-,10,-,,-,
0,2022,2022110,6.0,27,Aston Martin,70.518,70.71,,0.525,0.717,,0.525,0.717,,70.176,-,10.0,-,10,-,,-,
0,2022,2022110,7.0,28,Aston Martin,71.219,71.108,,1.164,1.053,,0.769,0.821,,70.154,-,15.0,-,10,-,,-,
0,2022,2022110,8.0,29,Aston Martin,71.13,71.042,,0.903,0.815,,0.903,0.815,,70.323,-,15.0,-,15,-,,-,
0,2022,2022110,9.0,30,Aston Martin,70.944,70.846,,0.599,0.501,,0.599,0.501,,70.453,-,15.0,-,15,-,,-,
0,2022,2022110,10.0,31,Aston Martin,70.929,99.114,,0.55,28.735,,0.55,0.806,,71.955,-,10.0,-,10,-,,-,
0,2022,2022110,11.0,32,Aston Martin,70.7,71.525,,0.449,1.274,,0.449,1.274,,70.251,-,10.0,-,10,-,,-,
0,2022,2022110,12.0,33,Aston Martin,70.767,70.844,,0.532,0.609,,0.532,0.609,,70.335,-,10.0,-,10,-,,-,
0,2022,2022110,13.0,34,Aston Martin,70.791,70.879,,0.542,0.63,,0.542,0.63,,70.249,-,10.0,-,10,-,,-,
0,2022,2022110,14.0,35,Aston Martin,70.648,70.648,,0.342,0.342,,0.342,0.342,,70.317,-,10.0,-,10,-,,-,
0,2022,2022110,15.0,36,Aston Martin,70.896,70.475,,0.605,0.184,,0.324,0.184,,70.35,-,15.0,-,15,-,,-,
0,2022,2022110,16.0,37,Aston Martin,70.583,70.49,,0.363,0.27,,0.363,0.27,,70.3,-,15.0,-,15,-,,-,
0,2022,2022110,17.0,38,Aston Martin,70.905,70.778,,0.566,0.439,,0.342,0.439,,70.387,-,15.0,-,10,-,,-,
0,2022,2022110,18.0,39,Aston Martin,70.778,70.797,,0.377,0.396,,0.377,0.396,,70.415,-,10.0,-,10,-,,-,
0,2022,2022110,19.0,40,Aston Martin,71.045,74.648,,0.553,4.156,,0.295,1.391,,70.798,-,10.0,-,10,-,,-,
0,2022,2022110,20.0,41,Aston Martin,70.796,72.969,,0.222,2.395,,0.222,2.395,,70.574,-,10.0,-,10,-,,-,
0,2022,2022110,21.0,42,Aston Martin,70.962,,,0.527,,,0.527,,,70.561,-,-,-,,-,,-,
0,2022,2022110,22.0,43,Aston Martin,70.853,,,0.42,,,0.42,,,70.505,-,-,-,,-,,-,
0,2022,2022110,23.0,44,Aston Martin,70.72,,,0.153,,,0.153,,,70.567,-,-,-,,-,,-,
0,2022,2022210,1.0,45,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022210,2.0,46,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022210,3.0,47,Aston Martin,75.982,76.023,,-0.091,-0.05,,-0.091,-0.05,,76.073,-,10.0,-,10,-,,-,
0,2022,2022210,4.0,48,Aston Martin,75.425,75.451,,-0.12,-0.094,,-0.12,-0.094,,75.597,-,10.0,-,10,-,,-,
0,2022,2022210,5.0,49,Aston Martin,75.558,75.629,,-0.063,0.008,,-0.063,0.008,,75.732,-,10.0,-,10,-,,-,
0,2022,2022210,6.0,50,Aston Martin,76.318,75.806,,0.439,-0.073,,0.439,-0.073,,76.097,-,15.0,-,15,-,,-,
0,2022,2022210,7.0,51,Aston Martin,76.578,76.828,,0.535,0.785,,0.535,0.223,,76.097,-,10.0,-,15,-,,-,
0,2022,2022210,8.0,52,Aston Martin,76.948,76.726,,0.859,0.637,,0.859,0.637,,76.199,-,15.0,-,15,-,,-,
0,2022,2022210,9.0,53,Aston Martin,77.444,77.239,,1.247,1.042,,1.247,0.159,,76.252,-,15.0,-,15,-,,-,
0,2022,2022210,10.0,54,Aston Martin,77.474,75.985,,1.267,-0.222,,1.267,-0.222,,76.244,-,15.0,-,15,-,,-,
0,2022,2022210,11.0,55,Aston Martin,77.388,76.216,,1.099,-0.073,,1.099,-0.073,,76.303,-,15.0,-,15,-,,-,
0,2022,2022210,12.0,56,Aston Martin,77.017,76.286,,0.502,-0.229,,0.502,-0.229,,76.56,-,15.0,-,15,-,,-,
0,2022,2022210,13.0,57,Aston Martin,77.704,76.215,,1.103,-0.386,,0.627,-0.386,,76.904,-,15.0,-,15,-,,-,
0,2022,2022210,14.0,58,Aston Martin,77.438,76.484,,0.758,-0.196,,0.758,-0.196,,76.719,-,15.0,-,15,-,,-,
0,2022,2022210,15.0,59,Aston Martin,76.597,76.281,,0.095,-0.221,,0.095,-0.221,,76.665,-,15.0,-,15,-,,-,
0,2022,2022210,16.0,60,Aston Martin,77.054,76.136,,0.483,-0.435,,0.483,-0.435,,76.674,-,15.0,-,15,-,,-,
0,2022,2022210,17.0,61,Aston Martin,77.079,76.546,,0.49,-0.043,,0.49,-0.043,,76.611,-,15.0,-,15,-,,-,
0,2022,2022210,18.0,62,Aston Martin,76.924,76.685,,0.418,0.179,,0.418,0.179,,76.506,-,15.0,-,15,-,,-,
0,2022,2022210,19.0,63,Aston Martin,76.838,76.207,,0.287,-0.344,,0.287,-0.344,,76.726,-,15.0,-,15,-,,-,
0,2022,2022210,20.0,64,Aston Martin,76.853,76.523,,0.173,-0.157,,0.173,-0.157,,76.797,-,15.0,-,15,-,,-,
0,2022,2022210,21.0,65,Aston Martin,76.816,76.695,,0.21,0.089,,0.21,0.089,,76.653,-,15.0,-,15,-,,-,
0,2022,2022210,22.0,66,Aston Martin,76.757,76.648,,0.134,0.025,,0.134,0.025,,76.725,-,15.0,-,15,-,,-,
0,2022,2022210,23.0,67,Aston Martin,76.878,76.339,,0.282,-0.257,,0.282,-0.257,,76.608,-,15.0,-,15,-,,-,
0,2022,2022210,24.0,68,Aston Martin,77.112,76.313,,0.337,-0.462,,0.337,-0.462,,76.775,-,15.0,-,15,-,,-,
