SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,16_Laptime,22_Laptime,16_PaceDiff,22_PaceDiff,16_PaceDiffClear,22_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2022,2022011,1.0,1,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
1,2022,2022011,2.0,2,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
1,2022,2022011,3.0,3,Haas F1 Team,100.747,101.224,0.484,0.962,0.484,0.962,100.262,0.478,16.0,0.478,16,0.723,0.723,0.723,0.723
1,2022,2022011,4.0,4,Haas F1 Team,101.163,99.642,0.892,-0.629,0.892,-0.629,100.326,-1.521,22.0,-1.521,22,0.132,0.1315,0.132,0.1315
1,2022,2022011,5.0,5,Haas F1 Team,102.049,101.169,1.609,0.729,1.609,-0.45,100.658,-0.880,22.0,-2.059,22,1.169,1.169,0.580,0.5795
1,2022,2022011,6.0,6,Haas F1 Team,102.447,100.338,1.768,-0.341,1.768,-0.341,100.765,-2.109,22.0,-2.109,22,0.714,0.7135,0.714,0.7135
1,2022,2022011,7.0,7,Haas F1 Team,102.512,100.555,1.749,-0.208,1.749,-0.208,100.841,-1.957,22.0,-1.957,22,0.771,0.7705000000000001,0.771,0.7705000000000001
1,2022,2022011,8.0,8,Haas F1 Team,102.304,100.451,1.4,-0.453,1.4,-0.453,101.054,-1.853,22.0,-1.853,22,0.473,0.4734999999999999,0.473,0.4734999999999999
1,2022,2022011,9.0,9,Haas F1 Team,102.158,100.756,1.077,-0.325,1.077,-0.325,101.154,-1.402,22.0,-1.402,22,0.376,0.376,0.376,0.376
1,2022,2022011,10.0,10,Haas F1 Team,103.969,101.195,2.667,-0.107,1.182,-0.392,101.505,-2.774,22.0,-1.574,22,1.280,1.2799999999999998,0.395,0.39499999999999996
1,2022,2022011,11.0,11,Haas F1 Team,102.809,101.064,1.457,-0.288,1.457,-0.288,101.352,-1.745,22.0,-1.745,22,0.585,0.5845,0.585,0.5845
1,2022,2022011,12.0,12,Haas F1 Team,,101.37,,0.138,,-0.058,101.267,-,-,-,,-,0.19119999999999998,-,0.19119999999999998
1,2022,2022011,13.0,13,Haas F1 Team,,101.283,,0.32,,0.32,100.989,-,-,-,,-,-0.20210000000000006,-,-0.20210000000000006
1,2022,2022011,14.0,14,Haas F1 Team,98.179,,-2.584,,-2.584,,100.811,-,-,-,,-,-0.5954000000000002,-,-0.5954000000000002
1,2022,2022011,15.0,15,Haas F1 Team,99.109,,-1.833,,-1.833,,100.942,-,-,-,,-,,-,
1,2022,2022011,16.0,16,Haas F1 Team,99.406,97.968,-0.663,-2.101,-0.663,-2.101,100.118,-1.438,22.0,-1.438,22,-1.382,-1.3820000000000001,-1.382,-1.3820000000000001
1,2022,2022011,17.0,17,Haas F1 Team,100.565,98.216,1.225,-1.124,0.302,-1.124,99.451,-2.349,22.0,-1.426,22,0.050,0.05049999999999999,-0.411,-0.41100000000000003
1,2022,2022011,18.0,18,Haas F1 Team,99.878,98.442,0.787,-0.649,0.787,-0.649,99.26,-1.436,22.0,-1.436,22,0.069,0.069,0.069,0.069
1,2022,2022011,19.0,19,Haas F1 Team,100.091,98.539,1.165,-0.387,1.165,-0.387,99.053,-1.552,22.0,-1.552,22,0.389,0.389,0.389,0.389
1,2022,2022011,20.0,20,Haas F1 Team,99.295,98.883,0.273,-0.139,0.273,-0.323,99.06,-0.412,22.0,-0.596,22,0.067,0.067,-0.025,-0.024999999999999994
1,2022,2022011,21.0,21,Haas F1 Team,99.816,98.859,0.63,-0.327,0.63,-0.327,99.281,-0.957,22.0,-0.957,22,0.151,0.1515,0.151,0.1515
1,2022,2022011,22.0,22,Haas F1 Team,99.964,99.058,0.576,-0.33,0.576,-0.33,99.492,-0.906,22.0,-0.906,22,0.123,0.12299999999999997,0.123,0.12299999999999997
1,2022,2022011,23.0,23,Haas F1 Team,100.636,99.12,1.181,-0.335,0.604,-0.335,99.492,-1.516,22.0,-0.939,22,0.423,0.42300000000000004,0.134,0.13449999999999998
1,2022,2022011,24.0,24,Haas F1 Team,100.154,99.384,0.679,-0.091,0.679,-0.091,99.498,-0.770,22.0,-0.770,22,0.294,0.29400000000000004,0.294,0.29400000000000004
1,2022,2022011,25.0,25,Haas F1 Team,100.62,99.52,1.049,-0.051,0.779,-0.051,99.657,-1.100,22.0,-0.830,22,0.499,0.49899999999999994,0.364,0.364
1,2022,2022011,26.0,26,Haas F1 Team,100.547,99.756,0.906,0.115,0.906,0.115,99.661,-0.791,22.0,-0.791,22,0.511,0.5105000000000001,0.511,0.5105000000000001
1,2022,2022011,27.0,27,Haas F1 Team,100.987,99.796,1.29,0.099,1.29,0.099,99.833,-1.191,22.0,-1.191,22,0.695,0.6945,0.695,0.6945
1,2022,2022011,28.0,28,Haas F1 Team,100.69,99.774,0.845,-0.071,0.845,-0.071,100.022,-0.916,22.0,-0.916,22,0.387,0.387,0.387,0.387
1,2022,2022011,29.0,29,Haas F1 Team,100.919,99.984,1.035,0.1,1.035,0.1,99.968,-0.935,22.0,-0.935,22,0.568,0.5675,0.568,0.5675
1,2022,2022011,30.0,30,Haas F1 Team,101.606,100.174,1.776,0.344,1.087,0.344,99.87,-1.432,22.0,-0.743,22,1.060,1.06,0.716,0.7155
1,2022,2022011,31.0,31,Haas F1 Team,100.914,100.233,1.062,0.381,1.062,0.381,99.887,-0.681,22.0,-0.681,22,0.722,0.7215,0.722,0.7215
1,2022,2022011,32.0,32,Haas F1 Team,100.916,100.522,1.493,1.099,1.493,1.099,99.638,-0.394,22.0,-0.394,22,1.296,1.296,1.296,1.296
1,2022,2022011,33.0,33,Haas F1 Team,101.34,100.523,2.23,1.413,2.23,1.413,99.203,-0.817,22.0,-0.817,22,1.821,1.8215,1.821,1.8215
1,2022,2022011,34.0,34,Haas F1 Team,101.178,,2.152,,2.152,,99.309,-,-,-,,-,1.037,-,1.037
1,2022,2022011,35.0,35,Haas F1 Team,,,,,,,98.596,-,-,-,,-,0.25249999999999995,-,0.25249999999999995
1,2022,2022011,36.0,36,Haas F1 Team,,97.941,,-0.607,,-0.607,98.622,-,-,-,,-,-0.532,-,-0.532
1,2022,2022011,37.0,37,Haas F1 Team,96.956,96.903,-1.29,-1.343,-1.29,-1.343,98.404,-0.053,22.0,-0.053,22,-1.317,-1.3165,-1.317,-1.3165
1,2022,2022011,38.0,38,Haas F1 Team,97.176,97.636,-0.87,-0.41,-0.87,-0.811,98.088,0.460,16.0,0.059,16,-0.640,-0.64,-0.841,-0.8405
1,2022,2022011,39.0,39,Haas F1 Team,97.433,97.566,-0.742,-0.609,-0.742,-0.609,98.187,0.133,16.0,0.133,16,-0.675,-0.6755,-0.675,-0.6755
1,2022,2022011,40.0,40,Haas F1 Team,97.947,97.901,-0.392,-0.438,-0.392,-0.438,98.339,-0.046,22.0,-0.046,22,-0.415,-0.41500000000000004,-0.415,-0.41500000000000004
1,2022,2022011,41.0,41,Haas F1 Team,98.182,97.726,0.054,-0.402,0.054,-0.402,98.161,-0.456,22.0,-0.456,22,-0.174,-0.17400000000000002,-0.174,-0.17400000000000002
1,2022,2022011,42.0,42,Haas F1 Team,97.957,98.006,-0.305,-0.256,-0.305,-0.256,98.398,0.049,16.0,0.049,16,-0.280,-0.28049999999999997,-0.280,-0.28049999999999997
1,2022,2022011,43.0,43,Haas F1 Team,98.137,98.178,-0.418,-0.377,-0.418,-0.377,98.635,0.041,16.0,0.041,16,-0.397,-0.39749999999999996,-0.397,-0.39749999999999996
1,2022,2022011,44.0,44,Haas F1 Team,98.279,98.688,0.248,0.657,0.248,0.657,98.048,0.409,16.0,0.409,16,0.453,0.4525,0.453,0.4525
1,2022,2022011,45.0,45,Haas F1 Team,,,,,,,96.58,-,-,-,,-,0.522125,-,0.522125
1,2022,2022011,46.0,46,Haas F1 Team,,,,,,,,-,-,-,,-,0.59175,-,0.59175
1,2022,2022011,47.0,47,Haas F1 Team,,,,,,,,-,-,-,,-,0.6613749999999999,-,0.6613749999999999
1,2022,2022011,48.0,48,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
1,2022,2022011,49.0,49,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
1,2022,2022011,50.0,50,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
1,2022,2022011,51.0,51,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
1,2022,2022011,52.0,52,Haas F1 Team,99.537,96.86,2.348,-0.329,2.348,-0.329,97.189,-2.677,22.0,-2.677,22,1.009,1.0094999999999998,1.009,1.0094999999999998
1,2022,2022011,53.0,53,Haas F1 Team,98.537,96.623,1.482,-0.432,1.482,-0.432,97.104,-1.914,22.0,-1.914,22,0.525,0.525,0.525,0.525
1,2022,2022011,54.0,54,Haas F1 Team,98.747,96.96,1.434,-0.353,1.434,-0.533,97.394,-1.787,22.0,-1.967,22,0.540,0.5405,0.450,0.45049999999999996
1,2022,2022011,55.0,55,Haas F1 Team,99.201,96.937,1.674,-0.59,1.392,-0.59,97.577,-2.264,22.0,-1.982,22,0.542,0.542,0.401,0.40099999999999997
1,2022,2022011,56.0,56,Haas F1 Team,99.09,97.091,1.417,-0.582,1.417,-0.582,97.673,-1.999,22.0,-1.999,22,0.418,0.41750000000000004,0.418,0.41750000000000004
1,2022,2022011,57.0,57,Haas F1 Team,100.498,97.741,1.628,-1.129,1.628,-1.129,98.87,-2.757,22.0,-2.757,22,0.249,0.24949999999999994,0.249,0.24949999999999994
1,2022,2022021,1.0,58,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
1,2022,2022021,2.0,59,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
