SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,4_Laptime,7_Laptime,4_PaceDiff,7_PaceDiff,4_PaceDiffClear,7_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2022,2022011,1.0,1,McLaren,,,,,,,,-,-,-,,-,,-,
1,2022,2022011,2.0,2,McLaren,,,,,,,,-,-,-,,-,,-,
1,2022,2022011,3.0,3,McLaren,101.785,101.711,1.522,1.448,1.522,1.448,100.262,-0.074,7.0,-0.074,7,1.485,1.4849999999999999,1.485,1.4849999999999999
1,2022,2022011,4.0,4,McLaren,101.459,101.803,1.188,1.532,1.188,1.532,100.326,0.344,4.0,0.344,4,1.360,1.3599999999999999,1.360,1.3599999999999999
1,2022,2022011,5.0,5,McLaren,101.713,101.818,1.273,1.378,1.273,1.378,100.658,0.105,4.0,0.105,4,1.325,1.3255,1.325,1.3255
1,2022,2022011,6.0,6,McLaren,101.658,101.77,0.979,1.091,0.979,1.091,100.765,0.112,4.0,0.112,4,1.035,1.035,1.035,1.035
1,2022,2022011,7.0,7,McLaren,102.192,103.137,1.429,2.374,1.429,1.069,100.841,0.945,4.0,-0.360,7,1.901,1.9015,1.249,1.249
1,2022,2022011,8.0,8,McLaren,101.86,101.894,0.956,0.99,0.956,0.99,101.054,0.034,4.0,0.034,4,0.973,0.973,0.973,0.973
1,2022,2022011,9.0,9,McLaren,102.492,102.746,1.411,1.665,1.411,1.665,101.154,0.254,4.0,0.254,4,1.538,1.538,1.538,1.538
1,2022,2022011,10.0,10,McLaren,103.42,102.777,2.118,1.475,1.361,1.475,101.505,-0.643,7.0,0.114,4,1.796,1.7965,1.418,1.4180000000000001
1,2022,2022011,11.0,11,McLaren,102.833,102.641,1.481,1.289,1.481,1.289,101.352,-0.192,7.0,-0.192,7,1.385,1.385,1.385,1.385
1,2022,2022011,12.0,12,McLaren,102.645,101.621,1.413,0.389,1.413,0.389,101.267,-1.024,7.0,-1.024,7,0.901,0.901,0.901,0.901
1,2022,2022011,13.0,13,McLaren,102.041,102.461,1.078,1.498,1.078,1.035,100.989,0.420,4.0,-0.043,7,1.288,1.288,1.056,1.0565
1,2022,2022011,14.0,14,McLaren,102.794,102.375,2.031,1.612,2.031,1.612,100.811,-0.419,7.0,-0.419,7,1.822,1.8215000000000001,1.822,1.8215000000000001
1,2022,2022011,15.0,15,McLaren,102.83,102.543,1.888,1.601,1.888,1.601,100.942,-0.287,7.0,-0.287,7,1.744,1.7445,1.744,1.7445
1,2022,2022011,16.0,16,McLaren,103.031,103.515,2.962,3.446,2.962,3.446,100.118,0.484,4.0,0.484,4,3.204,3.204,3.204,3.204
1,2022,2022011,17.0,17,McLaren,103.396,,4.056,,4.056,,99.451,-,-,-,,-,2.9173333333333336,-,2.698666666666667
1,2022,2022011,18.0,18,McLaren,101.828,,2.737,,2.737,,99.26,-,-,-,,-,2.630666666666667,-,2.1933333333333334
1,2022,2022011,19.0,19,McLaren,103.166,99.374,4.24,0.448,2.928,0.448,99.053,-3.792,7.0,-2.480,7,2.344,2.3440000000000003,1.688,1.688
1,2022,2022011,20.0,20,McLaren,101.881,99.349,2.859,0.327,2.859,0.327,99.06,-2.532,7.0,-2.532,7,1.593,1.593,1.593,1.593
1,2022,2022011,21.0,21,McLaren,101.816,99.722,2.63,0.536,2.63,0.536,99.281,-2.094,7.0,-2.094,7,1.583,1.583,1.583,1.583
1,2022,2022011,22.0,22,McLaren,102.876,99.715,3.488,0.327,2.613,0.327,99.492,-3.161,7.0,-2.286,7,1.907,1.9075,1.470,1.47
1,2022,2022011,23.0,23,McLaren,102.186,99.832,2.731,0.377,2.731,0.377,99.492,-2.354,7.0,-2.354,7,1.554,1.5539999999999998,1.554,1.5539999999999998
1,2022,2022011,24.0,24,McLaren,,100.273,,0.798,,0.798,99.498,-,-,-,,-,1.1343333333333332,-,1.1343333333333332
1,2022,2022011,25.0,25,McLaren,,100.367,,0.796,,0.796,99.657,-,-,-,,-,0.7146666666666666,-,0.7146666666666666
1,2022,2022011,26.0,26,McLaren,99.351,100.521,-0.29,0.88,-0.29,0.88,99.661,1.170,4.0,1.170,4,0.295,0.29500000000000004,0.295,0.29500000000000004
1,2022,2022011,27.0,27,McLaren,99.175,100.869,-0.522,1.172,-0.522,1.172,99.833,1.694,4.0,1.694,4,0.325,0.32499999999999996,0.325,0.32499999999999996
1,2022,2022011,28.0,28,McLaren,99.042,101.188,-0.803,1.343,-0.803,1.343,100.022,2.146,4.0,2.146,4,0.270,0.26999999999999996,0.270,0.26999999999999996
1,2022,2022011,29.0,29,McLaren,98.874,100.627,-1.01,0.743,-1.01,0.743,99.968,1.753,4.0,1.753,4,-0.134,-0.1335,-0.134,-0.1335
1,2022,2022011,30.0,30,McLaren,99.184,100.647,-0.646,0.817,-0.646,0.817,99.87,1.463,4.0,1.463,4,0.085,0.08549999999999996,0.085,0.08549999999999996
1,2022,2022011,31.0,31,McLaren,99.251,100.631,-0.601,0.779,-0.601,0.779,99.887,1.380,4.0,1.380,4,0.089,0.08900000000000002,0.089,0.08900000000000002
1,2022,2022011,32.0,32,McLaren,101.449,100.686,2.026,1.263,-0.217,1.263,99.638,-0.763,7.0,1.480,4,1.644,1.6444999999999999,0.523,0.5229999999999999
1,2022,2022011,33.0,33,McLaren,99.161,,0.051,,0.051,,99.203,-,-,-,,-,1.7836666666666665,-,0.9678333333333333
1,2022,2022011,34.0,34,McLaren,100.104,,1.078,,1.078,,99.309,-,-,-,,-,1.9228333333333332,-,1.4126666666666665
1,2022,2022011,35.0,35,McLaren,100.844,100.424,2.272,1.852,1.863,1.852,98.596,-0.420,7.0,-0.011,7,2.062,2.062,1.857,1.8575
