SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,13_Laptime,19_Laptime,13_PaceDiff,19_PaceDiff,13_PaceDiffClear,19_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2022,2022011,1.0,1,Alpine,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,2.0,2,Alpine,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,3.0,3,Alpine,100.248,100.226,-0.014,-0.037,-0.014,-0.037,100.262,-0.023,19.0,-0.023,19,-0.025,-0.0255,-0.025,-0.0255
2,2022,2022011,4.0,4,Alpine,100.209,100.097,-0.062,-0.174,-0.062,-0.174,100.326,-0.112,19.0,-0.112,19,-0.118,-0.118,-0.118,-0.118
2,2022,2022011,5.0,5,Alpine,100.483,100.465,0.043,0.025,0.043,0.025,100.658,-0.018,19.0,-0.018,19,0.034,0.034,0.034,0.034
2,2022,2022011,6.0,6,Alpine,100.558,100.658,-0.121,-0.021,-0.121,-0.021,100.765,0.100,13.0,0.100,13,-0.071,-0.071,-0.071,-0.071
2,2022,2022011,7.0,7,Alpine,100.782,100.823,0.019,0.06,0.019,0.06,100.841,0.041,13.0,0.041,13,0.040,0.0395,0.040,0.0395
2,2022,2022011,8.0,8,Alpine,100.442,102.371,-0.462,1.467,-0.462,0.231,101.054,1.929,13.0,0.693,13,0.503,0.5025000000000001,-0.116,-0.1155
2,2022,2022011,9.0,9,Alpine,100.819,101.448,-0.262,0.367,-0.262,0.367,101.154,0.629,13.0,0.629,13,0.052,0.05249999999999999,0.052,0.05249999999999999
2,2022,2022011,10.0,10,Alpine,100.992,101.873,-0.31,0.571,-0.31,0.571,101.505,0.881,13.0,0.881,13,0.130,0.13049999999999998,0.130,0.13049999999999998
2,2022,2022011,11.0,11,Alpine,101.082,,-0.27,,-0.27,,101.352,-,-,-,,-,-0.15983333333333336,-,-0.15983333333333336
2,2022,2022011,12.0,12,Alpine,101.094,,-0.138,,-0.138,,101.267,-,-,-,,-,-0.4501666666666667,-,-0.4501666666666667
2,2022,2022011,13.0,13,Alpine,101.395,99.05,0.432,-1.913,0.432,-1.913,100.989,-2.345,19.0,-2.345,19,-0.741,-0.7405,-0.741,-0.7405
2,2022,2022011,14.0,14,Alpine,,99.704,,-1.059,,-1.059,100.811,-,-,-,,-,-0.4081666666666667,-,-0.4081666666666667
2,2022,2022011,15.0,15,Alpine,,100.256,,-0.686,,-0.686,100.942,-,-,-,,-,-0.07583333333333331,-,-0.07583333333333331
2,2022,2022011,16.0,16,Alpine,100.079,100.572,0.01,0.503,0.01,0.503,100.118,0.493,13.0,0.493,13,0.257,0.2565,0.257,0.2565
2,2022,2022011,17.0,17,Alpine,98.82,99.434,-0.52,0.094,-0.52,0.094,99.451,0.614,13.0,0.614,13,-0.213,-0.21300000000000002,-0.213,-0.21300000000000002
2,2022,2022011,18.0,18,Alpine,100.025,99.809,0.934,0.718,-0.46,0.718,99.26,-0.216,19.0,1.178,13,0.826,0.8260000000000001,0.129,0.12899999999999998
2,2022,2022011,19.0,19,Alpine,98.442,99.785,-0.484,0.859,-0.484,0.859,99.053,1.343,13.0,1.343,13,0.188,0.1875,0.188,0.1875
2,2022,2022011,20.0,20,Alpine,98.917,99.874,-0.105,0.852,-0.105,0.852,99.06,0.957,13.0,0.957,13,0.373,0.3735,0.373,0.3735
2,2022,2022011,21.0,21,Alpine,99.183,100.087,-0.003,0.901,-0.003,0.901,99.281,0.904,13.0,0.904,13,0.449,0.449,0.449,0.449
2,2022,2022011,22.0,22,Alpine,99.304,100.504,-0.084,1.116,-0.084,1.116,99.492,1.200,13.0,1.200,13,0.516,0.516,0.516,0.516
2,2022,2022011,23.0,23,Alpine,99.495,99.922,0.04,0.467,0.04,0.467,99.492,0.427,13.0,0.427,13,0.254,0.2535,0.254,0.2535
2,2022,2022011,24.0,24,Alpine,99.886,100.496,0.411,1.021,0.411,1.021,99.498,0.610,13.0,0.610,13,0.716,0.716,0.716,0.716
2,2022,2022011,25.0,25,Alpine,100.278,,0.707,,0.707,,99.657,-,-,-,,-,0.20899999999999996,-,0.15699999999999992
2,2022,2022011,26.0,26,Alpine,99.188,,-0.453,,-0.453,,99.661,-,-,-,,-,-0.29800000000000004,-,-0.40200000000000014
2,2022,2022011,27.0,27,Alpine,99.789,97.995,0.092,-1.702,-0.22,-1.702,99.833,-1.794,19.0,-1.482,19,-0.805,-0.8049999999999999,-0.961,-0.961
2,2022,2022011,28.0,28,Alpine,99.766,98.908,-0.079,-0.937,-0.079,-1.508,100.022,-0.858,19.0,-1.429,19,-0.508,-0.508,-0.793,-0.7935
2,2022,2022011,29.0,29,Alpine,99.877,98.68,-0.007,-1.204,-0.007,-1.204,99.968,-1.197,19.0,-1.197,19,-0.605,-0.6054999999999999,-0.605,-0.6054999999999999
2,2022,2022011,30.0,30,Alpine,,98.626,,-1.204,,-1.204,99.87,-,-,-,,-,-0.6361666666666667,-,-0.6361666666666667
2,2022,2022011,31.0,31,Alpine,,98.958,,-0.894,,-0.894,99.887,-,-,-,,-,-0.6668333333333333,-,-0.6668333333333333
2,2022,2022011,32.0,32,Alpine,98.298,99.153,-1.125,-0.27,-1.125,-0.27,99.638,0.855,13.0,0.855,13,-0.698,-0.6975,-0.698,-0.6975
2,2022,2022011,33.0,33,Alpine,98.11,99.686,-1.0,0.576,-1.0,0.07,99.203,1.576,13.0,1.070,13,-0.212,-0.21200000000000002,-0.465,-0.46499999999999997
2,2022,2022011,34.0,34,Alpine,98.155,99.208,-0.871,0.182,-0.871,0.182,99.309,1.053,13.0,1.053,13,-0.345,-0.34450000000000003,-0.345,-0.34450000000000003
2,2022,2022011,35.0,35,Alpine,98.307,99.214,-0.265,0.642,-0.265,0.642,98.596,0.907,13.0,0.907,13,0.189,0.1885,0.189,0.1885
2,2022,2022011,36.0,36,Alpine,98.515,99.389,-0.033,0.841,-0.033,0.841,98.622,0.874,13.0,0.874,13,0.404,0.40399999999999997,0.404,0.40399999999999997
2,2022,2022011,37.0,37,Alpine,98.851,99.426,0.605,1.18,0.117,1.18,98.404,0.575,13.0,1.063,13,0.892,0.8925,0.648,0.6485
2,2022,2022011,38.0,38,Alpine,98.21,100.034,0.164,1.988,0.164,1.672,98.088,1.824,13.0,1.508,13,1.076,1.076,0.918,0.9179999999999999
2,2022,2022011,39.0,39,Alpine,98.612,100.009,0.437,1.834,0.437,1.834,98.187,1.397,13.0,1.397,13,1.135,1.1355,1.135,1.1355
2,2022,2022011,40.0,40,Alpine,98.641,100.295,0.302,1.956,0.302,1.956,98.339,1.654,13.0,1.654,13,1.129,1.129,1.129,1.129
2,2022,2022011,41.0,41,Alpine,98.584,99.854,0.456,1.726,0.456,1.726,98.161,1.270,13.0,1.270,13,1.091,1.091,1.091,1.091
2,2022,2022011,42.0,42,Alpine,99.064,,0.802,,0.802,,98.398,-,-,-,,-,1.0157727272727273,-,1.0157727272727273
2,2022,2022011,43.0,43,Alpine,,,,,,,98.635,-,-,-,,-,0.9405454545454546,-,0.9405454545454546
2,2022,2022011,44.0,44,Alpine,,96.733,,-1.298,,-1.298,98.048,-,-,-,,-,0.8653181818181818,-,0.8653181818181818
