SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,18_Laptime,24_Laptime,26_Laptime,18_PaceDiff,24_PaceDiff,26_PaceDiff,18_PaceDiffClear,24_PaceDiffClear,26_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2022,2022011,1.0,1,Williams,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,2.0,2,Williams,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,3.0,3,Williams,101.668,100.664,,1.406,0.401,,1.406,0.401,,100.262,-,24.0,-,24,-,,-,
2,2022,2022011,4.0,4,Williams,101.947,101.126,,1.676,0.855,,1.676,0.855,,100.326,-,24.0,-,24,-,,-,
2,2022,2022011,5.0,5,Williams,101.678,102.303,,1.238,1.863,,1.238,0.977,,100.658,-,18.0,-,24,-,,-,
2,2022,2022011,6.0,6,Williams,102.945,101.708,,2.266,1.029,,1.193,1.029,,100.765,-,24.0,-,24,-,,-,
2,2022,2022011,7.0,7,Williams,102.065,101.561,,1.302,0.798,,1.302,0.798,,100.841,-,24.0,-,24,-,,-,
2,2022,2022011,8.0,8,Williams,101.931,103.097,,1.027,2.193,,1.027,0.951,,101.054,-,18.0,-,24,-,,-,
2,2022,2022011,9.0,9,Williams,102.473,102.149,,1.392,1.068,,1.392,1.068,,101.154,-,24.0,-,24,-,,-,
2,2022,2022011,10.0,10,Williams,102.678,103.5,,1.376,2.198,,1.376,1.067,,101.505,-,18.0,-,24,-,,-,
2,2022,2022011,11.0,11,Williams,102.822,102.588,,1.47,1.236,,1.47,1.236,,101.352,-,24.0,-,24,-,,-,
2,2022,2022011,12.0,12,Williams,103.492,102.505,,2.26,1.273,,1.859,1.273,,101.267,-,24.0,-,24,-,,-,
2,2022,2022011,13.0,13,Williams,103.36,,,2.397,,,2.397,,,100.989,-,-,-,,-,,-,
2,2022,2022011,14.0,14,Williams,,,,,,,,,,100.811,-,-,-,,-,,-,
2,2022,2022011,15.0,15,Williams,,99.517,,,-1.425,,,-1.425,,100.942,-,-,-,,-,,-,
2,2022,2022011,16.0,16,Williams,99.239,100.164,,-0.83,0.095,,-0.83,0.095,,100.118,-,18.0,-,18,-,,-,
2,2022,2022011,17.0,17,Williams,99.655,100.265,,0.316,0.925,,0.316,0.925,,99.451,-,18.0,-,18,-,,-,
2,2022,2022011,18.0,18,Williams,100.272,100.225,,1.181,1.134,,0.859,1.134,,99.26,-,24.0,-,18,-,,-,
2,2022,2022011,19.0,19,Williams,100.245,100.8,,1.319,1.874,,1.319,1.306,,99.053,-,18.0,-,24,-,,-,
2,2022,2022011,20.0,20,Williams,100.489,100.239,,1.467,1.217,,1.467,1.217,,99.06,-,24.0,-,24,-,,-,
2,2022,2022011,21.0,21,Williams,101.735,101.181,,2.549,1.995,,1.577,1.342,,99.281,-,24.0,-,24,-,,-,
2,2022,2022011,22.0,22,Williams,101.036,100.816,,1.648,1.428,,1.648,1.428,,99.492,-,24.0,-,24,-,,-,
2,2022,2022011,23.0,23,Williams,101.284,100.736,,1.829,1.281,,1.829,1.281,,99.492,-,24.0,-,24,-,,-,
2,2022,2022011,24.0,24,Williams,101.118,100.669,,1.643,1.194,,1.643,1.194,,99.498,-,24.0,-,24,-,,-,
2,2022,2022011,25.0,25,Williams,101.031,101.032,,1.46,1.461,,1.46,1.461,,99.657,-,18.0,-,18,-,,-,
2,2022,2022011,26.0,26,Williams,101.161,101.628,,1.52,1.987,,1.52,1.987,,99.661,-,18.0,-,18,-,,-,
2,2022,2022011,27.0,27,Williams,101.182,102.053,,1.485,2.356,,1.485,1.795,,99.833,-,18.0,-,18,-,,-,
2,2022,2022011,28.0,28,Williams,102.81,101.355,,2.965,1.51,,2.032,1.51,,100.022,-,24.0,-,24,-,,-,
2,2022,2022011,29.0,29,Williams,102.572,101.505,,2.688,1.621,,2.688,1.621,,99.968,-,24.0,-,24,-,,-,
2,2022,2022011,30.0,30,Williams,102.106,101.02,,2.276,1.19,,2.276,1.19,,99.87,-,24.0,-,24,-,,-,
2,2022,2022011,31.0,31,Williams,101.888,101.23,,2.036,1.378,,2.036,1.378,,99.887,-,24.0,-,24,-,,-,
2,2022,2022011,32.0,32,Williams,,101.241,,,1.818,,,1.818,,99.638,-,-,-,,-,,-,
2,2022,2022011,33.0,33,Williams,,100.863,,,1.753,,,1.753,,99.203,-,-,-,,-,,-,
2,2022,2022011,34.0,34,Williams,99.285,101.203,,0.259,2.177,,0.259,2.177,,99.309,-,18.0,-,18,-,,-,
2,2022,2022011,35.0,35,Williams,99.763,,,1.191,,,1.191,,,98.596,-,-,-,,-,,-,
2,2022,2022011,36.0,36,Williams,99.455,,,0.907,,,0.907,,,98.622,-,-,-,,-,,-,
2,2022,2022011,37.0,37,Williams,101.384,99.165,,3.138,0.919,,1.427,0.919,,98.404,-,24.0,-,24,-,,-,
2,2022,2022011,38.0,38,Williams,99.891,99.127,,1.845,1.081,,1.845,1.081,,98.088,-,24.0,-,24,-,,-,
2,2022,2022011,39.0,39,Williams,100.258,99.025,,2.083,0.85,,2.083,0.85,,98.187,-,24.0,-,24,-,,-,
2,2022,2022011,40.0,40,Williams,100.219,99.14,,1.88,0.801,,1.88,0.801,,98.339,-,24.0,-,24,-,,-,
2,2022,2022011,41.0,41,Williams,99.797,99.285,,1.669,1.157,,1.669,1.069,,98.161,-,24.0,-,24,-,,-,
2,2022,2022011,42.0,42,Williams,99.937,99.255,,1.675,0.993,,1.675,0.993,,98.398,-,24.0,-,24,-,,-,
2,2022,2022011,43.0,43,Williams,100.899,99.325,,2.344,0.77,,2.344,0.77,,98.635,-,24.0,-,24,-,,-,
2,2022,2022011,44.0,44,Williams,,,,,,,,,,98.048,-,-,-,,-,,-,
2,2022,2022011,45.0,45,Williams,,,,,,,,,,96.58,-,-,-,,-,,-,
2,2022,2022011,46.0,46,Williams,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,47.0,47,Williams,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,48.0,48,Williams,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,49.0,49,Williams,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,50.0,50,Williams,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,51.0,51,Williams,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,52.0,52,Williams,98.466,97.717,,1.277,0.528,,1.277,0.528,,97.189,-,24.0,-,24,-,,-,
2,2022,2022011,53.0,53,Williams,98.452,98.073,,1.397,1.018,,1.397,1.018,,97.104,-,24.0,-,24,-,,-,
2,2022,2022011,54.0,54,Williams,98.707,98.356,,1.394,1.043,,1.394,1.043,,97.394,-,24.0,-,24,-,,-,
2,2022,2022011,55.0,55,Williams,99.119,98.826,,1.592,1.299,,1.592,1.299,,97.577,-,24.0,-,24,-,,-,
2,2022,2022011,56.0,56,Williams,99.145,99.202,,1.472,1.529,,1.472,1.529,,97.673,-,18.0,-,18,-,,-,
2,2022,2022011,57.0,57,Williams,99.876,100.132,,1.006,1.262,,1.006,1.262,,98.87,-,18.0,-,18,-,,-,
2,2022,2022021,1.0,58,Williams,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022021,2.0,59,Williams,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022021,3.0,60,Williams,98.121,97.86,,1.376,1.115,,1.376,1.115,,96.745,-,24.0,-,24,-,,-,
2,2022,2022021,4.0,61,Williams,98.161,98.264,,1.358,1.461,,1.358,1.461,,96.883,-,18.0,-,18,-,,-,
2,2022,2022021,5.0,62,Williams,98.662,99.143,,1.853,2.334,,1.525,1.386,,97.034,-,18.0,-,24,-,,-,
2,2022,2022021,6.0,63,Williams,98.507,98.125,,1.943,1.561,,1.943,1.561,,96.564,-,24.0,-,24,-,,-,
2,2022,2022021,7.0,64,Williams,98.018,99.088,,1.368,2.438,,1.368,1.541,,96.715,-,18.0,-,18,-,,-,
2,2022,2022021,8.0,65,Williams,98.093,98.257,,1.501,1.665,,1.501,1.665,,96.739,-,18.0,-,18,-,,-,
2,2022,2022021,9.0,66,Williams,97.53,98.028,,1.064,1.562,,1.064,1.562,,96.571,-,18.0,-,18,-,,-,
2,2022,2022021,10.0,67,Williams,97.558,97.668,,1.201,1.311,,1.201,1.311,,96.44,-,18.0,-,18,-,,-,
2,2022,2022021,11.0,68,Williams,97.736,97.851,,1.365,1.48,,1.365,1.48,,96.561,-,18.0,-,18,-,,-,
2,2022,2022021,12.0,69,Williams,98.597,98.253,,2.184,1.84,,1.559,1.84,,96.472,-,24.0,-,18,-,,-,
2,2022,2022021,13.0,70,Williams,98.208,,,2.025,,,2.025,,,96.183,-,-,-,,-,,-,
