SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,7_Laptime,9_Laptime,26_Laptime,29_Laptime,7_PaceDiff,9_PaceDiff,26_PaceDiff,29_PaceDiff,7_PaceDiffClear,9_PaceDiffClear,26_PaceDiffClear,29_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2023,2023040,1.0,1,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,2.0,2,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,3.0,3,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,4.0,4,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,5.0,5,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,6.0,6,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,7.0,7,Alpha Tauri,,,107.71,,,,1.523,,,,1.523,,,-,-,-,,-,,-,
0,2023,2023040,8.0,8,Alpha Tauri,,,106.717,,,,1.159,,,,1.159,,,-,-,-,,-,,-,
0,2023,2023040,9.0,9,Alpha Tauri,,,106.292,,,,0.86,,,,0.86,,,-,-,-,,-,,-,
0,2023,2023040,10.0,10,Alpha Tauri,,,107.976,,,,2.549,,,,2.549,,,-,-,-,,-,,-,
0,2023,2023040,11.0,11,Alpha Tauri,,,108.765,,,,3.025,,,,3.025,,,-,-,-,,-,,-,
0,2023,2023040,12.0,12,Alpha Tauri,,,106.326,,,,0.985,,,,0.985,,,-,-,-,,-,,-,
0,2023,2023040,13.0,13,Alpha Tauri,,,107.38,,,,1.84,,,,1.84,,,-,-,-,,-,,-,
0,2023,2023040,14.0,14,Alpha Tauri,,,107.535,,,,1.979,,,,1.979,,,-,-,-,,-,,-,
0,2023,2023040,15.0,15,Alpha Tauri,,,106.618,,,,0.977,,,,0.977,,,-,-,-,,-,,-,
0,2023,2023040,16.0,16,Alpha Tauri,,,105.804,,,,0.199,,,,0.199,,,-,-,-,,-,,-,
0,2023,2023040,17.0,17,Alpha Tauri,,,105.768,,,,-0.261,,,,-0.261,,,-,-,-,,-,,-,
0,2023,2023090,1.0,18,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023090,2.0,19,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023090,3.0,20,Alpha Tauri,,81.107,82.204,,,0.998,2.095,,,0.998,2.095,,80.109,-,9.0,-,9,-,,-,
0,2023,2023090,4.0,21,Alpha Tauri,,79.522,79.815,,,0.574,0.867,,,0.574,0.867,,78.948,-,9.0,-,9,-,,-,
0,2023,2023090,5.0,22,Alpha Tauri,,79.054,79.169,,,0.656,0.771,,,0.656,0.771,,78.398,-,9.0,-,9,-,,-,
0,2023,2023090,6.0,23,Alpha Tauri,,78.504,78.598,,,0.518,0.612,,,0.518,0.612,,77.986,-,9.0,-,9,-,,-,
0,2023,2023090,7.0,24,Alpha Tauri,,77.886,78.797,,,0.126,1.037,,,0.126,1.037,,77.79,-,9.0,-,9,-,,-,
0,2023,2023090,8.0,25,Alpha Tauri,,78.144,78.062,,,0.466,0.384,,,0.466,0.384,,77.697,-,26.0,-,26,-,,-,
0,2023,2023090,9.0,26,Alpha Tauri,,78.136,77.9,,,0.619,0.383,,,0.619,0.383,,77.529,-,26.0,-,26,-,,-,
0,2023,2023090,10.0,27,Alpha Tauri,,77.695,77.615,,,0.327,0.247,,,0.327,0.247,,77.368,-,26.0,-,26,-,,-,
0,2023,2023090,11.0,28,Alpha Tauri,,77.859,77.909,,,0.623,0.673,,,0.623,0.673,,77.236,-,9.0,-,9,-,,-,
0,2023,2023090,12.0,29,Alpha Tauri,,77.607,77.907,,,0.592,0.892,,,0.592,0.892,,77.097,-,9.0,-,9,-,,-,
0,2023,2023090,13.0,30,Alpha Tauri,,77.542,78.776,,,0.615,1.849,,,0.615,1.16,,76.962,-,9.0,-,9,-,,-,
0,2023,2023090,14.0,31,Alpha Tauri,,76.793,78.267,,,0.09,1.564,,,0.09,1.564,,76.727,-,9.0,-,9,-,,-,
0,2023,2023090,15.0,32,Alpha Tauri,,76.786,77.599,,,0.26,1.073,,,0.26,1.073,,76.526,-,9.0,-,9,-,,-,
0,2023,2023090,16.0,33,Alpha Tauri,,76.674,77.215,,,0.159,0.7,,,0.159,0.7,,76.564,-,9.0,-,9,-,,-,
0,2023,2023090,17.0,34,Alpha Tauri,,76.967,,,,1.01,,,,1.01,,,76.072,-,-,-,,-,,-,
0,2023,2023090,18.0,35,Alpha Tauri,,,,,,,,,,,,,75.421,-,-,-,,-,,-,
0,2023,2023090,19.0,36,Alpha Tauri,,,74.505,,,,-0.563,,,,-0.563,,75.1,-,-,-,,-,,-,
0,2023,2023090,20.0,37,Alpha Tauri,,77.236,72.744,,,2.534,-1.958,,,2.534,-1.958,,74.828,-,26.0,-,26,-,,-,
0,2023,2023090,21.0,38,Alpha Tauri,,73.3,71.878,,,-0.668,-2.09,,,-0.668,-2.09,,73.968,-,26.0,-,26,-,,-,
0,2023,2023090,22.0,39,Alpha Tauri,,72.12,71.701,,,-1.432,-1.851,,,-1.432,-1.851,,73.566,-,26.0,-,26,-,,-,
0,2023,2023090,23.0,40,Alpha Tauri,,71.363,71.999,,,-2.257,-1.621,,,-2.257,-1.621,,73.782,-,9.0,-,9,-,,-,
0,2023,2023090,24.0,41,Alpha Tauri,,72.291,71.81,,,-1.497,-1.978,,,-1.497,-1.978,,73.788,-,26.0,-,26,-,,-,
0,2023,2023120,1.0,42,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,2.0,43,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,3.0,44,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,4.0,45,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,5.0,46,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,6.0,47,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,7.0,48,Alpha Tauri,123.819,122.08,,,0.073,-1.666,,,0.073,-1.666,,,123.746,-,9.0,-,9,-,,-,
0,2023,2023120,8.0,49,Alpha Tauri,122.967,123.742,,,-0.43,0.345,,,-0.43,0.345,,,123.648,-,7.0,-,7,-,,-,
0,2023,2023120,9.0,50,Alpha Tauri,123.92,125.138,,,0.142,1.36,,,0.142,1.36,,,123.827,-,7.0,-,7,-,,-,
0,2023,2023120,10.0,51,Alpha Tauri,124.611,125.669,,,0.888,1.946,,,0.888,1.946,,,123.817,-,7.0,-,7,-,,-,
0,2023,2023120,11.0,52,Alpha Tauri,125.761,126.953,,,1.733,2.925,,,1.733,2.925,,,124.028,-,7.0,-,7,-,,-,
0,2023,2023170,1.0,53,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,2.0,54,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,3.0,55,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,4.0,56,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,5.0,57,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,6.0,58,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,7.0,59,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,8.0,60,Alpha Tauri,,91.182,,,,1.661,,,,1.661,,,89.521,-,-,-,,-,,-,
0,2023,2023170,9.0,61,Alpha Tauri,,90.692,,,,1.282,,,,1.282,,,89.485,-,-,-,,-,,-,
0,2023,2023170,10.0,62,Alpha Tauri,,89.682,,,,0.09,,,,0.09,,,89.592,-,-,-,,-,,-,
0,2023,2023170,11.0,63,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,12.0,64,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,13.0,65,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,14.0,66,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,15.0,67,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,16.0,68,Alpha Tauri,,89.899,,,,1.038,,,,1.038,,,88.861,-,-,-,,-,,-,
0,2023,2023170,17.0,69,Alpha Tauri,,89.381,,,,0.591,,,,0.591,,,88.957,-,-,-,,-,,-,
0,2023,2023170,18.0,70,Alpha Tauri,,89.844,,,,0.874,,,,0.611,,,89.094,-,-,-,,-,,-,
0,2023,2023170,19.0,71,Alpha Tauri,,89.78,,,,0.673,,,,0.673,,,89.107,-,-,-,,-,,-,
0,2023,2023180,1.0,72,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023180,2.0,73,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023180,3.0,74,Alpha Tauri,101.903,102.037,,,0.528,0.662,,,0.528,0.662,,,101.375,-,7.0,-,7,-,,-,
0,2023,2023180,4.0,75,Alpha Tauri,101.832,101.748,,,0.665,0.581,,,0.665,0.581,,,101.167,-,9.0,-,9,-,,-,
0,2023,2023180,5.0,76,Alpha Tauri,101.636,101.853,,,0.56,0.777,,,0.56,0.777,,,101.076,-,7.0,-,7,-,,-,
0,2023,2023180,6.0,77,Alpha Tauri,101.843,102.508,,,0.623,1.288,,,0.623,1.288,,,101.365,-,7.0,-,7,-,,-,
0,2023,2023180,7.0,78,Alpha Tauri,101.954,102.677,,,0.538,1.261,,,0.538,1.261,,,101.529,-,7.0,-,7,-,,-,
0,2023,2023180,8.0,79,Alpha Tauri,101.664,103.279,,,0.255,1.87,,,0.255,0.916,,,101.457,-,7.0,-,7,-,,-,
0,2023,2023180,9.0,80,Alpha Tauri,102.553,101.974,,,1.115,0.536,,,0.502,0.536,,,101.559,-,9.0,-,7,-,,-,
0,2023,2023180,10.0,81,Alpha Tauri,102.216,101.592,,,0.763,0.139,,,0.763,0.139,,,101.477,-,9.0,-,9,-,,-,
0,2023,2023180,11.0,82,Alpha Tauri,101.491,101.441,,,0.106,0.056,,,0.106,0.056,,,101.385,-,9.0,-,9,-,,-,
0,2023,2023180,12.0,83,Alpha Tauri,101.574,101.054,,,0.218,-0.302,,,0.218,-0.302,,,101.567,-,9.0,-,9,-,,-,
0,2023,2023180,13.0,84,Alpha Tauri,101.377,100.968,,,0.13,-0.279,,,0.13,-0.279,,,101.302,-,9.0,-,9,-,,-,
0,2023,2023180,14.0,85,Alpha Tauri,100.434,101.047,,,-0.666,-0.053,,,-0.666,-0.053,,,101.234,-,7.0,-,7,-,,-,
0,2023,2023180,15.0,86,Alpha Tauri,100.84,100.973,,,-0.193,-0.06,,,-0.193,-0.06,,,101.033,-,7.0,-,7,-,,-,
0,2023,2023180,16.0,87,Alpha Tauri,101.125,101.037,,,0.126,0.038,,,0.126,0.038,,,101.031,-,9.0,-,9,-,,-,
0,2023,2023180,17.0,88,Alpha Tauri,101.28,100.632,,,0.214,-0.434,,,0.214,-0.434,,,101.229,-,9.0,-,9,-,,-,
0,2023,2023180,18.0,89,Alpha Tauri,101.079,100.982,,,-0.034,-0.131,,,-0.034,-0.131,,,101.113,-,9.0,-,9,-,,-,
0,2023,2023180,19.0,90,Alpha Tauri,101.79,101.253,,,0.499,-0.038,,,0.499,-0.038,,,101.291,-,9.0,-,9,-,,-,
0,2023,2023200,1.0,91,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023200,2.0,92,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
0,2023,2023200,3.0,93,Alpha Tauri,75.539,75.56,,,0.119,0.14,,,0.119,0.14,,,75.42,-,7.0,-,7,-,,-,
0,2023,2023200,4.0,94,Alpha Tauri,76.175,75.924,,,0.393,0.142,,,0.393,0.142,,,75.931,-,9.0,-,9,-,,-,
0,2023,2023200,5.0,95,Alpha Tauri,76.194,76.223,,,0.162,0.191,,,0.162,0.191,,,76.244,-,7.0,-,7,-,,-,
0,2023,2023200,6.0,96,Alpha Tauri,76.095,75.776,,,-0.016,-0.335,,,-0.016,-0.335,,,76.241,-,9.0,-,9,-,,-,
0,2023,2023200,7.0,97,Alpha Tauri,75.979,76.009,,,-0.172,-0.142,,,-0.172,-0.142,,,76.165,-,7.0,-,7,-,,-,
0,2023,2023200,8.0,98,Alpha Tauri,75.95,75.899,,,-0.087,-0.138,,,-0.087,-0.138,,,76.072,-,9.0,-,9,-,,-,
0,2023,2023200,9.0,99,Alpha Tauri,76.206,76.251,,,0.028,0.073,,,0.028,-0.241,,,76.299,-,7.0,-,9,-,,-,
0,2023,2023200,10.0,100,Alpha Tauri,76.326,75.974,,,-0.042,-0.394,,,-0.042,-0.394,,,76.443,-,9.0,-,9,-,,-,
0,2023,2023200,11.0,101,Alpha Tauri,76.691,76.419,,,0.164,-0.108,,,0.164,-0.337,,,76.598,-,9.0,-,9,-,,-,
0,2023,2023200,12.0,102,Alpha Tauri,77.11,76.406,,,0.436,-0.268,,,0.073,-0.268,,,76.706,-,9.0,-,9,-,,-,
0,2023,2023200,13.0,103,Alpha Tauri,76.803,76.509,,,0.078,-0.216,,,0.078,-0.216,,,76.797,-,9.0,-,9,-,,-,
0,2023,2023200,14.0,104,Alpha Tauri,78.608,76.766,,,1.797,-0.045,,,0.158,-0.045,,,76.962,-,9.0,-,9,-,,-,
0,2023,2023200,15.0,105,Alpha Tauri,77.136,76.739,,,0.291,-0.106,,,0.291,-0.106,,,77.232,-,9.0,-,9,-,,-,
0,2023,2023200,16.0,106,Alpha Tauri,76.708,76.63,,,0.131,0.053,,,0.131,0.053,,,76.577,-,9.0,-,9,-,,-,
0,2023,2023200,17.0,107,Alpha Tauri,76.688,76.546,,,-0.073,-0.215,,,-0.073,-0.215,,,76.834,-,9.0,-,9,-,,-,
0,2023,2023200,18.0,108,Alpha Tauri,76.902,76.88,,,0.035,0.013,,,0.035,0.013,,,76.913,-,9.0,-,9,-,,-,
0,2023,2023200,19.0,109,Alpha Tauri,76.649,76.369,,,-0.154,-0.434,,,-0.154,-0.434,,,76.827,-,9.0,-,9,-,,-,
0,2023,2023200,20.0,110,Alpha Tauri,77.24,76.502,,,0.358,-0.38,,,-0.387,-0.38,,,76.919,-,9.0,-,7,-,,-,
0,2023,2023200,21.0,111,Alpha Tauri,76.342,77.281,,,-0.56,0.379,,,-0.56,-0.586,,,77.128,-,7.0,-,9,-,,-,
0,2023,2023200,22.0,112,Alpha Tauri,75.812,76.13,,,-1.036,-0.718,,,-1.036,-0.718,,,76.875,-,7.0,-,7,-,,-,
0,2023,2023200,23.0,113,Alpha Tauri,75.79,76.09,,,-1.153,-0.853,,,-1.153,-0.853,,,77.021,-,7.0,-,7,-,,-,
0,2023,2023200,24.0,114,Alpha Tauri,76.995,75.954,,,-0.182,-1.223,,,-0.182,-1.223,,,77.177,-,9.0,-,9,-,,-,
