SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,1_Laptime,14_Laptime,1_PaceDiff,14_PaceDiff,1_PaceDiffClear,14_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2023,2023011,1.0,1,Mercedes,,,,,,,,-,-,-,,-,,-,
1,2023,2023011,2.0,2,Mercedes,,,,,,,,-,-,-,,-,,-,
1,2023,2023011,3.0,3,Mercedes,99.22,99.093,-0.617,-0.744,-0.617,-0.744,99.837,-0.127,14.0,-0.127,14,-0.680,-0.6805,-0.680,-0.6805
1,2023,2023011,4.0,4,Mercedes,99.198,99.261,-0.623,-0.56,-0.623,-0.56,99.945,0.063,1.0,0.063,1,-0.592,-0.5915,-0.592,-0.5915
1,2023,2023011,5.0,5,Mercedes,99.335,99.549,-0.651,-0.437,-0.651,-0.437,100.1,0.214,1.0,0.214,1,-0.544,-0.544,-0.544,-0.544
1,2023,2023011,6.0,6,Mercedes,99.756,99.493,-0.43,-0.693,-0.43,-0.693,100.192,-0.263,14.0,-0.263,14,-0.561,-0.5615,-0.561,-0.5615
1,2023,2023011,7.0,7,Mercedes,99.757,100.056,-0.517,-0.218,-0.517,-0.218,100.306,0.299,1.0,0.299,1,-0.367,-0.3675,-0.367,-0.3675
1,2023,2023011,8.0,8,Mercedes,100.267,100.31,-0.108,-0.065,-0.108,-0.065,100.395,0.043,1.0,0.043,1,-0.086,-0.0865,-0.086,-0.0865
1,2023,2023011,9.0,9,Mercedes,100.323,100.42,-0.154,-0.057,-0.154,-0.057,100.486,0.097,1.0,0.097,1,-0.105,-0.1055,-0.105,-0.1055
1,2023,2023011,10.0,10,Mercedes,100.289,100.532,-0.334,-0.091,-0.334,-0.091,100.623,0.243,1.0,0.243,1,-0.213,-0.21250000000000002,-0.213,-0.21250000000000002
1,2023,2023011,11.0,11,Mercedes,100.752,101.085,0.245,0.578,0.245,0.578,100.585,0.333,1.0,0.333,1,0.411,0.4115,0.411,0.4115
1,2023,2023011,12.0,12,Mercedes,,101.112,,1.048,,1.048,100.064,-,-,-,,-,0.14425,-,0.14425
1,2023,2023011,13.0,13,Mercedes,,,,,,,99.523,-,-,-,,-,-0.123,-,-0.123
1,2023,2023011,14.0,14,Mercedes,98.308,,-0.711,,-0.711,,99.019,-,-,-,,-,-0.39025,-,-0.39025
1,2023,2023011,15.0,15,Mercedes,98.527,97.46,-0.124,-1.191,-0.124,-1.191,98.714,-1.067,14.0,-1.067,14,-0.657,-0.6575,-0.657,-0.6575
1,2023,2023011,16.0,16,Mercedes,98.617,97.833,0.038,-0.746,0.038,-0.746,98.613,-0.784,14.0,-0.784,14,-0.354,-0.354,-0.354,-0.354
