SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,24_Laptime,27_Laptime,24_PaceDiff,27_PaceDiff,24_PaceDiffClear,27_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2023,2023011,1.0,1,Williams,,,,,,,,-,-,-,,-,,-,
1,2023,2023011,2.0,2,Williams,,,,,,,,-,-,-,,-,,-,
1,2023,2023011,3.0,3,Williams,100.143,100.349,0.306,0.512,0.306,0.512,99.837,0.206,24.0,0.206,24,0.409,0.40900000000000003,0.409,0.40900000000000003
1,2023,2023011,4.0,4,Williams,99.761,100.644,-0.06,0.823,-0.06,0.823,99.945,0.883,24.0,0.883,24,0.381,0.38149999999999995,0.381,0.38149999999999995
1,2023,2023011,5.0,5,Williams,100.606,100.902,0.62,0.916,0.62,0.731,100.1,0.296,24.0,0.111,24,0.768,0.768,0.675,0.6755
1,2023,2023011,6.0,6,Williams,100.744,100.791,0.558,0.605,0.558,0.605,100.192,0.047,24.0,0.047,24,0.582,0.5815,0.582,0.5815
1,2023,2023011,7.0,7,Williams,100.646,100.892,0.372,0.618,0.372,0.555,100.306,0.246,24.0,0.183,24,0.495,0.495,0.464,0.4635
1,2023,2023011,8.0,8,Williams,100.918,100.868,0.543,0.493,0.543,0.493,100.395,-0.050,27.0,-0.050,27,0.518,0.518,0.518,0.518
1,2023,2023011,9.0,9,Williams,100.969,100.908,0.492,0.431,0.492,0.431,100.486,-0.061,27.0,-0.061,27,0.462,0.4615,0.462,0.4615
1,2023,2023011,10.0,10,Williams,101.119,101.133,0.496,0.51,0.496,0.51,100.623,0.014,24.0,0.014,24,0.503,0.503,0.503,0.503
1,2023,2023011,11.0,11,Williams,,101.532,,1.025,,1.025,100.585,-,-,-,,-,0.23312500000000003,-,0.23312500000000003
1,2023,2023011,12.0,12,Williams,,,,,,,100.064,-,-,-,,-,-0.03674999999999995,-,-0.03674999999999995
1,2023,2023011,13.0,13,Williams,98.649,,-0.792,,-0.792,,99.523,-,-,-,,-,-0.3066249999999999,-,-0.3066249999999999
1,2023,2023011,14.0,14,Williams,98.472,98.413,-0.547,-0.606,-0.547,-0.606,99.019,-0.059,27.0,-0.059,27,-0.577,-0.5765,-0.577,-0.5765
1,2023,2023011,15.0,15,Williams,99.158,99.033,0.507,0.382,0.507,0.05,98.714,-0.125,27.0,-0.457,27,0.445,0.4445,0.279,0.2785
1,2023,2023011,16.0,16,Williams,99.253,98.988,0.674,0.409,0.674,0.409,98.613,-0.265,27.0,-0.265,27,0.541,0.5415,0.541,0.5415
1,2023,2023011,17.0,17,Williams,99.094,99.439,0.45,0.795,0.45,0.55,98.704,0.345,24.0,0.100,24,0.623,0.6225,0.500,0.5
1,2023,2023011,18.0,18,Williams,99.049,99.399,0.315,0.665,0.315,0.665,98.794,0.350,24.0,0.350,24,0.490,0.49,0.490,0.49
1,2023,2023011,19.0,19,Williams,99.272,99.22,0.627,0.575,0.627,0.575,98.679,-0.052,27.0,-0.052,27,0.601,0.601,0.601,0.601
1,2023,2023011,20.0,20,Williams,99.299,99.186,0.658,0.545,0.658,0.545,98.706,-0.113,27.0,-0.113,27,0.602,0.6015,0.602,0.6015
1,2023,2023011,21.0,21,Williams,99.591,99.612,0.887,0.908,0.74,0.57,98.735,0.021,24.0,-0.170,27,0.897,0.8975,0.655,0.655
1,2023,2023011,22.0,22,Williams,99.588,99.362,0.832,0.606,0.832,0.606,98.826,-0.226,27.0,-0.226,27,0.719,0.719,0.719,0.719
1,2023,2023011,23.0,23,Williams,99.802,99.692,0.988,0.878,0.988,0.878,98.882,-0.110,27.0,-0.110,27,0.933,0.933,0.933,0.933
