SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,3_Laptime,23_Laptime,3_PaceDiff,23_PaceDiff,3_PaceDiffClear,23_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2023,2023011,1.0,1,Alfa Romeo,,,,,,,,-,-,-,,-,,-,
2,2023,2023011,2.0,2,Alfa Romeo,,,,,,,,-,-,-,,-,,-,
2,2023,2023011,3.0,3,Alfa Romeo,99.397,100.596,-0.44,0.759,-0.44,0.759,99.837,1.199,3.0,1.199,3,0.160,0.1595,0.160,0.1595
2,2023,2023011,4.0,4,Alfa Romeo,99.823,100.853,0.002,1.032,0.002,1.032,99.945,1.030,3.0,1.030,3,0.517,0.517,0.517,0.517
2,2023,2023011,5.0,5,Alfa Romeo,101.033,100.814,1.047,0.828,0.058,0.828,100.1,-0.219,23.0,0.770,3,0.938,0.9375,0.443,0.443
2,2023,2023011,6.0,6,Alfa Romeo,100.265,101.156,0.079,0.97,0.079,0.97,100.192,0.891,3.0,0.891,3,0.524,0.5245,0.524,0.5245
2,2023,2023011,7.0,7,Alfa Romeo,100.564,101.197,0.29,0.923,0.052,0.923,100.306,0.633,3.0,0.871,3,0.607,0.6065,0.488,0.48750000000000004
2,2023,2023011,8.0,8,Alfa Romeo,100.387,101.184,0.012,0.809,0.012,0.809,100.395,0.797,3.0,0.797,3,0.411,0.41050000000000003,0.411,0.41050000000000003
2,2023,2023011,9.0,9,Alfa Romeo,100.275,101.526,-0.202,1.049,-0.202,1.049,100.486,1.251,3.0,1.251,3,0.423,0.4235,0.423,0.4235
2,2023,2023011,10.0,10,Alfa Romeo,100.676,101.743,0.053,1.12,0.053,1.12,100.623,1.067,3.0,1.067,3,0.587,0.5865,0.587,0.5865
