SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,2_Laptime,5_Laptime,2_PaceDiff,5_PaceDiff,2_PaceDiffClear,5_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2023,2023011,1.0,1,Red Bull Racing,,,,,,,,-,-,-,,-,,-,
2,2023,2023011,2.0,2,Red Bull Racing,,,,,,,,-,-,-,,-,,-,
2,2023,2023011,3.0,3,Red Bull Racing,98.006,98.83,-1.831,-1.007,-1.831,-1.007,99.837,0.824,2.0,0.824,2,-1.419,-1.419,-1.419,-1.419
2,2023,2023011,4.0,4,Red Bull Racing,97.976,98.758,-1.845,-1.063,-1.845,-1.063,99.945,0.782,2.0,0.782,2,-1.454,-1.454,-1.454,-1.454
2,2023,2023011,5.0,5,Red Bull Racing,98.035,98.404,-1.951,-1.582,-1.951,-1.582,100.1,0.369,2.0,0.369,2,-1.767,-1.7665000000000002,-1.767,-1.7665000000000002
2,2023,2023011,6.0,6,Red Bull Racing,97.986,98.718,-2.2,-1.468,-2.2,-1.468,100.192,0.732,2.0,0.732,2,-1.834,-1.834,-1.834,-1.834
2,2023,2023011,7.0,7,Red Bull Racing,98.021,98.804,-2.253,-1.47,-2.253,-1.47,100.306,0.783,2.0,0.783,2,-1.861,-1.8615,-1.861,-1.8615
2,2023,2023011,8.0,8,Red Bull Racing,98.154,99.172,-2.221,-1.203,-2.221,-1.516,100.395,1.018,2.0,0.705,2,-1.712,-1.7120000000000002,-1.869,-1.8685
2,2023,2023011,9.0,9,Red Bull Racing,98.278,98.914,-2.199,-1.563,-2.199,-1.563,100.486,0.636,2.0,0.636,2,-1.881,-1.8809999999999998,-1.881,-1.8809999999999998
2,2023,2023011,10.0,10,Red Bull Racing,98.369,99.085,-2.254,-1.538,-2.254,-1.538,100.623,0.716,2.0,0.716,2,-1.896,-1.896,-1.896,-1.896
2,2023,2023011,11.0,11,Red Bull Racing,98.483,99.249,-2.024,-1.258,-2.024,-1.258,100.585,0.766,2.0,0.766,2,-1.641,-1.641,-1.641,-1.641
2,2023,2023011,12.0,12,Red Bull Racing,98.591,99.197,-1.473,-0.867,-1.473,-0.867,100.064,0.606,2.0,0.606,2,-1.170,-1.17,-1.170,-1.17
2,2023,2023011,13.0,13,Red Bull Racing,98.482,99.336,-0.959,-0.105,-0.959,-0.105,99.523,0.854,2.0,0.854,2,-0.532,-0.532,-0.532,-0.532
2,2023,2023011,14.0,14,Red Bull Racing,,98.739,,-0.28,,-0.28,99.019,-,-,-,,-,-0.4525,-,-0.4525
2,2023,2023011,15.0,15,Red Bull Racing,,98.608,,-0.043,,-0.043,98.714,-,-,-,,-,-0.373,-,-0.373
2,2023,2023011,16.0,16,Red Bull Racing,97.801,98.77,-0.778,0.191,-0.778,0.191,98.613,0.969,2.0,0.969,2,-0.293,-0.2935,-0.293,-0.2935
2,2023,2023011,17.0,17,Red Bull Racing,97.648,,-0.996,,-0.996,,98.704,-,-,-,,-,-0.5155,-,-0.5155
2,2023,2023011,18.0,18,Red Bull Racing,97.614,,-1.12,,-1.12,,98.794,-,-,-,,-,-0.7375,-,-0.7375
2,2023,2023011,19.0,19,Red Bull Racing,97.712,97.659,-0.933,-0.986,-0.933,-0.986,98.679,-0.053,5.0,-0.053,5,-0.960,-0.9595,-0.960,-0.9595
2,2023,2023011,20.0,20,Red Bull Racing,97.788,97.448,-0.853,-1.193,-0.853,-1.193,98.706,-0.340,5.0,-0.340,5,-1.023,-1.0230000000000001,-1.023,-1.0230000000000001
2,2023,2023011,21.0,21,Red Bull Racing,97.582,97.24,-1.122,-1.464,-1.122,-1.464,98.735,-0.342,5.0,-0.342,5,-1.293,-1.2930000000000001,-1.293,-1.2930000000000001
2,2023,2023011,22.0,22,Red Bull Racing,97.651,97.169,-1.105,-1.587,-1.105,-1.587,98.826,-0.482,5.0,-0.482,5,-1.346,-1.346,-1.346,-1.346
2,2023,2023011,23.0,23,Red Bull Racing,97.552,97.304,-1.262,-1.51,-1.262,-1.51,98.882,-0.248,5.0,-0.248,5,-1.386,-1.3860000000000001,-1.386,-1.3860000000000001
2,2023,2023011,24.0,24,Red Bull Racing,97.387,97.352,-1.502,-1.537,-1.502,-1.537,98.928,-0.035,5.0,-0.035,5,-1.519,-1.5194999999999999,-1.519,-1.5194999999999999
2,2023,2023011,25.0,25,Red Bull Racing,97.372,98.418,-1.527,-0.481,-1.527,-1.496,99.036,1.046,2.0,0.031,2,-1.004,-1.004,-1.511,-1.5114999999999998
2,2023,2023011,26.0,26,Red Bull Racing,97.682,97.454,-1.08,-1.308,-1.387,-1.308,98.867,-0.228,5.0,0.079,2,-1.194,-1.194,-1.348,-1.3475000000000001
2,2023,2023011,27.0,27,Red Bull Racing,97.379,97.387,-1.288,-1.28,-1.288,-1.28,98.741,0.008,2.0,0.008,2,-1.284,-1.284,-1.284,-1.284
2,2023,2023011,28.0,28,Red Bull Racing,97.651,97.211,-0.753,-1.193,-0.929,-1.193,98.415,-0.440,5.0,-0.264,5,-0.973,-0.9730000000000001,-1.061,-1.061
2,2023,2023011,29.0,29,Red Bull Racing,97.571,97.733,-0.703,-0.541,-0.703,-0.969,98.452,0.162,2.0,-0.266,5,-0.622,-0.622,-0.836,-0.836
2,2023,2023011,30.0,30,Red Bull Racing,97.549,97.4,-0.617,-0.766,-0.617,-0.766,98.191,-0.149,5.0,-0.149,5,-0.692,-0.6915,-0.692,-0.6915
2,2023,2023011,31.0,31,Red Bull Racing,97.431,97.919,-0.728,-0.24,-0.728,-0.598,98.211,0.488,2.0,0.130,2,-0.484,-0.484,-0.663,-0.663
