SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,1,1.0,0,0,0.666,0,0,0,0,,14
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,2,1.0,0,0,0.666,0,0,0,1,0.0,14
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,3.0,3,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,3,1.0,0,0,0.666,0,0,0,0,0.0,14
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,4.0,4,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,4,1.0,0,0,0.666,0,0,0,0,0.0,14
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,5.0,5,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,5,1.0,0,0,0.666,1,0,0,0,0.0,14
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,6.0,6,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,6,1.0,0,0,0.666,0,0,0,0,0.0,14
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,7.0,7,107.299,107.299,0,0,-,-,-1.112,-0.032,-1.128,3.0,-1.112,-0.032,-1.128,3.0,-1.144,S,#CD3C3C,7,1.0,0,0,0.666,0,0,0,0,0.0,14
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,8.0,8,106.333,106.333,0,0,106.816,0.966,-0.775,-0.147,-0.849,3.0,-0.775,-0.147,-0.849,3.0,-0.922,S,#CD3C3C,8,1.0,0,0,0.666,0,0,0,0,0.0,14
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,9.0,9,106.277,106.277,0,0,106.305,0.056,-0.845,0.170,-0.760,23.0,-0.845,0.170,-0.760,23.0,-0.675,S,#CD3C3C,9,1.0,0,0,0.666,0,0,0,0,0.0,14
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,10.0,10,109.171,107.487,1,0,106.882,2.894,-3.744,0.744,-3.372,23.0,-2.060,1.339,-1.391,23.0,-3.0,S,#CD3C3C,10,1.0,0,0,0.666,0,0,0,0,-2.0,15
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,11.0,11,108.697,108.697,0,0,108.092,0.474,-2.957,2.508,-1.703,23.0,-2.957,2.508,-1.703,23.0,-0.449,S,#CD3C3C,11,1.0,0,0,0.666,0,0,0,0,0.0,15
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,12.0,12,107.225,107.225,0,0,107.961,1.472,-1.884,1.310,-1.229,23.0,-1.884,1.310,-1.229,23.0,-0.574,S,#CD3C3C,12,1.0,0,1,0.666,0,0,0,0,0.0,15
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,13.0,13,107.53,107.53,0,0,107.378,0.305,-1.99,1.146,-1.417,23.0,-1.990,1.502,-1.239,23.0,-0.844,S,#CD3C3C,13,1.0,0,0,0.666,0,0,0,0,0.0,15
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,14.0,14,109.489,108.12,1,0,107.825,1.959,-3.933,3.347,-2.260,23.0,-2.564,1.978,-1.575,23.0,-0.586,S,#CD3C3C,14,1.0,0,0,0.666,0,0,0,0,-1.0,16
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,15.0,15,108.71,108.71,0,0,108.415,0.779,-3.069,2.722,-1.708,23.0,-3.069,2.722,-1.708,23.0,-0.347,S,#CD3C3C,15,1.0,0,0,0.666,0,0,0,0,0.0,16
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,16.0,16,107.995,107.995,0,0,108.352,0.715,-2.39,2.229,-1.276,23.0,-2.390,2.229,-1.276,23.0,-0.161,S,#CD3C3C,16,1.0,0,0,0.666,0,0,0,0,0.0,16
0,2023,2023040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#C92D4B,17.0,17,107.904,107.904,0,0,107.95,0.091,-1.875,1.855,-0.948,23.0,-1.875,1.855,-0.948,23.0,-0.02,S,#CD3C3C,17,1.0,0,0,0.666,0,0,0,0,0.0,16
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,1,1.0,0,0,0.387,0,0,0,0,,15
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,2,1.0,0,0,0.387,0,0,0,1,0.0,15
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,3.0,3,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,3,1.0,0,0,0.387,0,0,0,0,0.0,15
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,4.0,4,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,4,1.0,0,0,0.387,0,0,0,0,0.0,15
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,5.0,5,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,5,1.0,0,0,0.387,1,0,0,0,0.0,15
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,6.0,6,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,6,1.0,0,0,0.387,0,0,0,0,0.0,15
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,7.0,7,107.331,107.331,0,0,-,-,-1.144,-0.032,-1.128,3.0,-1.144,-0.032,-1.128,3.0,-1.112,M,#F0E628,7,1.0,0,0,0.387,0,0,0,0,0.0,15
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,8.0,8,106.48,106.48,0,0,106.906,0.851,-0.922,-0.147,-0.849,3.0,-0.922,-0.147,-0.849,3.0,-0.775,M,#F0E628,8,1.0,0,0,0.387,0,0,0,0,0.0,15
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,9.0,9,106.107,106.107,0,0,106.294,0.373,-0.675,0.170,-0.760,23.0,-0.675,0.170,-0.760,23.0,-0.845,M,#F0E628,9,1.0,0,0,0.387,0,0,0,0,0.0,15
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,10.0,10,108.427,106.148,1,0,106.128,2.320,-3.0,0.744,-3.372,23.0,-0.721,1.339,-1.391,23.0,-3.744,M,#F0E628,10,1.0,0,0,0.387,0,0,0,0,1.0,13
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,11.0,11,106.189,106.189,0,0,106.168,2.238,-0.449,2.508,-1.703,23.0,-0.449,2.508,-1.703,23.0,-2.957,M,#F0E628,11,1.0,0,0,0.387,0,0,0,0,0.0,13
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,12.0,12,105.915,105.915,0,0,106.052,0.274,-0.574,1.310,-1.229,23.0,-0.574,1.310,-1.229,23.0,-1.884,M,#F0E628,12,1.0,0,1,0.387,0,0,0,0,0.0,13
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,13.0,13,106.384,106.029,1,0,105.972,0.469,-0.844,1.146,-1.417,23.0,-0.488,1.502,-1.239,23.0,-1.99,M,#F0E628,13,1.0,0,0,0.387,0,0,0,0,1.0,12
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,14.0,14,106.142,106.142,0,0,106.085,0.242,-0.586,3.347,-2.260,23.0,-0.586,1.978,-1.575,23.0,-3.933,M,#F0E628,14,1.0,0,0,0.387,0,0,0,0,0.0,12
0,2023,2023040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#C92D4B,15.0,15,105.988,105.988,0,0,106.065,0.154,-0.347,2.722,-1.708,23.0,-0.347,2.722,-1.708,23.0,-3.069,M,#F0E628,15,1.0,0,0,0.387,0,0,0,0,0.0,12
