SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,4,1.0,0,0,0.187,0,0,0,0,,9
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,5,1.0,0,0,0.187,0,0,0,0,0.0,9
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,3.0,3,99.625,99.625,0,0,-,-,0.212,0.525,0.474,19.0,0.212,0.525,0.474,19.0,0.737,S,#CD3C3C,6,1.0,0,0,0.187,0,0,0,0,0.0,9
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,4.0,4,99.745,99.745,0,0,99.685,0.120,0.076,0.197,0.174,19.0,0.076,0.197,0.174,19.0,0.273,S,#CD3C3C,7,1.0,0,0,0.187,0,0,0,0,0.0,9
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,5.0,5,99.144,99.144,0,0,99.444,0.601,0.842,-0.518,0.583,10.0,0.842,-0.518,0.583,10.0,0.324,S,#CD3C3C,8,1.0,0,0,0.187,0,0,0,0,1.0,8
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,6.0,6,99.714,99.714,0,0,99.429,0.570,0.472,0.040,0.492,19.0,0.472,0.040,0.492,19.0,0.512,S,#CD3C3C,9,1.0,0,0,0.187,0,0,0,0,0.0,8
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,7.0,7,99.945,99.945,0,0,99.83,0.231,0.329,0.216,0.437,19.0,0.329,0.216,0.437,19.0,0.545,S,#CD3C3C,10,1.0,0,0,0.187,0,0,0,0,0.0,8
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,8.0,8,99.801,99.801,0,0,99.873,0.144,0.574,-0.158,0.495,10.0,0.574,-0.158,0.495,10.0,0.416,S,#CD3C3C,11,1.0,0,1,0.187,0,0,0,0,0.0,8
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,9.0,9,100.106,100.106,0,0,99.953,0.305,0.371,-0.169,0.286,10.0,0.371,-0.169,0.286,10.0,0.202,S,#CD3C3C,12,1.0,0,0,0.187,0,0,0,0,0.0,8
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,10.0,10,100.192,100.192,0,0,100.149,0.086,0.431,-0.011,0.425,10.0,0.431,-0.011,0.425,10.0,0.42,S,#CD3C3C,13,1.0,0,0,0.187,0,0,0,0,0.0,8
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,11.0,11,100.923,100.923,0,0,100.558,0.731,-0.416,-0.224,-0.528,10.0,-0.416,0.355,-0.238,19.0,-0.64,S,#CD3C3C,14,1.0,0,0,0.187,0,0,0,0,0.0,8
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,12.0,12,101.039,101.039,0,0,100.981,0.116,-0.975,0.105,-0.922,19.0,-0.975,0.105,-0.922,19.0,-0.87,S,#CD3C3C,15,1.0,0,0,0.187,0,0,0,0,0.0,8
1,2023,2023011,0,Aston Martin,10,STR,Lance Stroll,18,#358C75,13.0,13,101.12,101.12,0,0,101.08,0.081,-1.679,0.779,-1.290,19.0,-1.679,0.779,-1.290,19.0,-0.9,S,#CD3C3C,16,1.0,0,0,0.187,0,0,0,0,0.0,6
