SeasonID,EventIndex,EventNumber,RaceID,SprintIndex,Team,PaceDiffAvg,PaceDiffClearAvg,PaceDiffMeanAvg,PaceDiffClearMeanAvg,PaceDiffDeltaAvg,PaceDiffClearDeltaAvg,PaceDiffLapsCountBetterID,PaceDiffClearLapsCountBetterID,PaceDiffValueBetterID,PaceDiffValueBetter
2024,0,1,2024011,2,Red Bull Racing,1.009,1.092,1.023,1.108,0.469,0.522,2.0,2.0,2.0,1.215196078431373
2024,0,1,2024011,2,Ferrari,0.608,0.653,0.606,0.652,0.383,0.365,8.0,8.0,8.0,0.7633333333333334
2024,0,1,2024011,2,Mercedes,0.335,0.409,0.334,0.413,-0.101,-0.07,1.0,1.0,1.0,0.3468431372549019
2024,0,1,2024011,2,McLaren,0.348,0.391,0.34,0.386,0.044,0.053,4.0,4.0,4.0,0.3812745098039216
2024,0,1,2024011,2,Aston Martin,-0.195,-0.117,-0.174,-0.092,0.294,0.33,19.0,19.0,19.0,-0.0456666666666666
2024,0,1,2024011,2,Kick Sauber,-0.747,-0.626,-0.8,-0.678,0.152,0.129,23.0,23.0,23.0,-0.59748
2024,0,1,2024011,2,Haas F1 Team,-0.293,-0.195,-0.291,-0.19,-0.639,-0.665,25.0,25.0,25.0,0.03724
2024,0,1,2024011,2,RB,-0.574,-0.519,-0.554,-0.497,0.051,0.008,equal,9.0,7.0,-0.53834
2024,0,1,2024011,2,Williams,-0.667,-0.55,-0.644,-0.548,-0.018,-0.18,27.0,27.0,24.0,-0.6331
2024,0,1,2024011,2,Alpine,-0.697,-0.614,-0.708,-0.618,-0.703,-0.582,17.0,17.0,17.0,-0.4012291666666667
2024,1,2,2024021,2,Red Bull Racing,1.175,1.224,1.175,1.224,0.176,0.142,2.0,2.0,2.0,1.2632954545454549
2024,1,2,2024021,2,Alpine,-,-,-,-,-,-,,,-,
2024,1,2,2024021,2,Aston Martin,0.426,0.457,0.314,0.359,1.129,1.219,19.0,19.0,19.0,0.4719545454545455
2024,1,2,2024021,2,Ferrari,0.54,0.588,0.54,0.588,0.558,0.578,6.0,6.0,6.0,0.8191363636363636
2024,1,2,2024021,2,Williams,-0.885,-0.811,-0.903,-0.828,-0.289,-0.345,24.0,24.0,24.0,-0.7267954545454546
2024,1,2,2024021,2,Haas F1 Team,-0.424,-0.369,-0.414,-0.357,-0.534,-0.557,25.0,25.0,25.0,-0.1470714285714285
2024,1,2,2024021,2,RB,-1.173,-0.978,-1.173,-0.978,0.317,0.145,7.0,9.0,9.0,-1.014395348837209
2024,1,2,2024021,2,Kick Sauber,-0.759,-0.695,-0.774,-0.707,0.335,0.265,23.0,23.0,23.0,-0.6134390243902439
2024,1,2,2024021,2,McLaren,0.575,0.672,0.583,0.682,0.05,0.028,4.0,4.0,4.0,0.6075714285714287
