SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,6_Laptime,8_Laptime,30_Laptime,6_PaceDiff,8_PaceDiff,30_PaceDiff,6_PaceDiffClear,8_PaceDiffClear,30_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2024,2024050,1.0,1,Ferrari,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024050,2.0,2,Ferrari,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024050,3.0,3,Ferrari,101.319,100.996,,-0.821,-1.144,,-0.821,-1.144,,102.14,-,8.0,-,8,-,,-,
0,2024,2024050,4.0,4,Ferrari,101.003,100.962,,-0.754,-0.795,,-0.754,-0.795,,101.758,-,8.0,-,8,-,,-,
0,2024,2024050,5.0,5,Ferrari,101.294,101.297,,-0.508,-0.505,,-0.508,-0.505,,101.86,-,6.0,-,6,-,,-,
0,2024,2024050,6.0,6,Ferrari,101.179,101.245,,-0.731,-0.665,,-0.731,-0.665,,101.95,-,6.0,-,6,-,,-,
0,2024,2024050,7.0,7,Ferrari,101.42,101.501,,-0.729,-0.648,,-0.729,-0.648,,102.219,-,6.0,-,6,-,,-,
0,2024,2024050,8.0,8,Ferrari,101.432,102.024,,-0.876,-0.284,,-0.876,-0.284,,102.358,-,6.0,-,6,-,,-,
0,2024,2024050,9.0,9,Ferrari,102.097,102.031,,-0.312,-0.378,,-0.312,-0.378,,102.51,-,8.0,-,8,-,,-,
0,2024,2024050,10.0,10,Ferrari,102.226,102.36,,-0.251,-0.117,,-0.251,-0.117,,102.503,-,6.0,-,6,-,,-,
0,2024,2024050,11.0,11,Ferrari,102.364,102.426,,-0.178,-0.116,,-0.178,-0.116,,102.581,-,6.0,-,6,-,,-,
0,2024,2024050,12.0,12,Ferrari,102.533,102.372,,-0.104,-0.265,,-0.104,-0.265,,102.652,-,8.0,-,8,-,,-,
0,2024,2024050,13.0,13,Ferrari,102.365,102.392,,-0.464,-0.437,,-0.464,-0.437,,102.854,-,6.0,-,6,-,,-,
0,2024,2024050,14.0,14,Ferrari,102.484,102.65,,-0.461,-0.295,,-0.461,-0.295,,102.989,-,6.0,-,6,-,,-,
0,2024,2024050,15.0,15,Ferrari,102.74,102.804,,-0.271,-0.207,,-0.271,-0.207,,103.053,-,6.0,-,6,-,,-,
0,2024,2024050,16.0,16,Ferrari,104.448,104.978,,1.561,2.091,,-0.76,0.367,,103.232,-,6.0,-,6,-,,-,
0,2024,2024050,17.0,17,Ferrari,101.513,103.704,,-1.269,0.921,,-1.269,0.921,,102.816,-,6.0,-,6,-,,-,
0,2024,2024050,18.0,18,Ferrari,101.943,102.778,,-0.982,-0.147,,-0.982,-0.147,,103.115,-,6.0,-,6,-,,-,
0,2024,2024050,19.0,19,Ferrari,102.446,103.049,,-0.888,-0.285,,-0.888,-0.285,,103.334,-,6.0,-,6,-,,-,
0,2024,2024060,1.0,20,Ferrari,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,2.0,21,Ferrari,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,3.0,22,Ferrari,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,4.0,23,Ferrari,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,5.0,24,Ferrari,91.004,91.627,,-1.202,-0.579,,-1.202,-0.579,,92.206,-,6.0,-,6,-,,-,
0,2024,2024060,6.0,25,Ferrari,91.197,91.889,,-0.857,-0.165,,-0.857,-0.165,,92.089,-,6.0,-,6,-,,-,
0,2024,2024060,7.0,26,Ferrari,91.068,91.895,,-1.005,-0.178,,-1.005,-0.178,,92.073,-,6.0,-,6,-,,-,
0,2024,2024060,8.0,27,Ferrari,91.376,91.793,,-0.82,-0.403,,-0.82,-0.403,,92.235,-,6.0,-,6,-,,-,
0,2024,2024060,9.0,28,Ferrari,92.037,91.79,,-0.294,-0.541,,-0.898,-0.541,,92.533,-,8.0,-,6,-,,-,
0,2024,2024060,10.0,29,Ferrari,91.489,92.734,,-0.838,0.406,,-0.838,-0.396,,92.418,-,6.0,-,6,-,,-,
0,2024,2024060,11.0,30,Ferrari,91.593,92.072,,-0.854,-0.375,,-0.854,-0.375,,92.529,-,6.0,-,6,-,,-,
0,2024,2024060,12.0,31,Ferrari,91.5,93.269,,-0.998,0.772,,-0.998,-0.646,,92.684,-,6.0,-,6,-,,-,
0,2024,2024060,13.0,32,Ferrari,91.171,91.631,,-1.37,-0.91,,-1.37,-0.91,,92.541,-,6.0,-,6,-,,-,
