SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,22_Laptime,25_Laptime,30_Laptime,22_PaceDiff,25_PaceDiff,30_PaceDiff,22_PaceDiffClear,25_PaceDiffClear,30_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2024,2024050,1.0,1,Haas F1 Team,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024050,2.0,2,Haas F1 Team,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024050,3.0,3,Haas F1 Team,102.897,102.811,,0.757,0.671,,0.757,0.671,,102.14,-,25.0,-,25,-,,-,
0,2024,2024050,4.0,4,Haas F1 Team,102.654,102.375,,0.897,0.618,,0.897,0.618,,101.758,-,25.0,-,25,-,,-,
0,2024,2024050,5.0,5,Haas F1 Team,102.092,102.315,,0.29,0.513,,0.29,0.513,,101.86,-,22.0,-,22,-,,-,
0,2024,2024050,6.0,6,Haas F1 Team,102.166,102.434,,0.256,0.524,,0.256,0.524,,101.95,-,22.0,-,22,-,,-,
0,2024,2024050,7.0,7,Haas F1 Team,102.533,102.837,,0.384,0.688,,0.384,0.688,,102.219,-,22.0,-,22,-,,-,
0,2024,2024050,8.0,8,Haas F1 Team,102.531,102.766,,0.223,0.458,,0.223,0.458,,102.358,-,22.0,-,22,-,,-,
0,2024,2024050,9.0,9,Haas F1 Team,102.385,103.434,,-0.024,1.025,,-0.024,1.025,,102.51,-,22.0,-,22,-,,-,
0,2024,2024050,10.0,10,Haas F1 Team,102.548,103.916,,0.071,1.439,,0.071,1.439,,102.503,-,22.0,-,22,-,,-,
0,2024,2024050,11.0,11,Haas F1 Team,102.854,104.005,,0.312,1.463,,0.312,1.463,,102.581,-,22.0,-,22,-,,-,
0,2024,2024050,12.0,12,Haas F1 Team,103.073,103.198,,0.436,0.561,,0.436,0.561,,102.652,-,22.0,-,22,-,,-,
0,2024,2024050,13.0,13,Haas F1 Team,103.449,104.052,,0.62,1.223,,0.62,1.223,,102.854,-,22.0,-,22,-,,-,
0,2024,2024050,14.0,14,Haas F1 Team,103.086,104.11,,0.141,1.165,,0.141,1.165,,102.989,-,22.0,-,22,-,,-,
0,2024,2024050,15.0,15,Haas F1 Team,103.151,104.004,,0.14,0.993,,0.14,0.993,,103.053,-,22.0,-,22,-,,-,
0,2024,2024050,16.0,16,Haas F1 Team,102.961,105.004,,0.074,2.117,,0.074,1.228,,103.232,-,22.0,-,22,-,,-,
0,2024,2024050,17.0,17,Haas F1 Team,102.545,104.225,,-0.237,1.442,,-0.237,1.442,,102.816,-,22.0,-,22,-,,-,
0,2024,2024050,18.0,18,Haas F1 Team,105.151,104.121,,2.226,1.196,,0.43,1.196,,103.115,-,25.0,-,22,-,,-,
0,2024,2024050,19.0,19,Haas F1 Team,104.166,104.211,,0.832,0.877,,0.832,0.877,,103.334,-,22.0,-,22,-,,-,
0,2024,2024060,1.0,20,Haas F1 Team,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,2.0,21,Haas F1 Team,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,3.0,22,Haas F1 Team,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,4.0,23,Haas F1 Team,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,5.0,24,Haas F1 Team,92.113,92.088,,-0.093,-0.118,,-0.093,-0.118,,92.206,-,25.0,-,25,-,,-,
0,2024,2024060,6.0,25,Haas F1 Team,92.392,91.939,,0.338,-0.115,,0.191,-0.115,,92.089,-,25.0,-,25,-,,-,
0,2024,2024060,7.0,26,Haas F1 Team,92.376,92.067,,0.303,-0.006,,0.303,-0.006,,92.073,-,25.0,-,25,-,,-,
0,2024,2024060,8.0,27,Haas F1 Team,92.463,91.963,,0.267,-0.233,,0.267,-0.233,,92.235,-,25.0,-,25,-,,-,
0,2024,2024060,9.0,28,Haas F1 Team,92.368,92.431,,0.037,0.1,,0.037,0.1,,92.533,-,22.0,-,22,-,,-,
0,2024,2024060,10.0,29,Haas F1 Team,92.442,92.5,,0.114,0.172,,0.114,0.172,,92.418,-,22.0,-,22,-,,-,
0,2024,2024060,11.0,30,Haas F1 Team,93.314,92.735,,0.867,0.288,,0.288,0.288,,92.529,-,25.0,-,22,-,,-,
0,2024,2024060,12.0,31,Haas F1 Team,93.028,92.763,,0.531,0.266,,0.531,0.266,,92.684,-,25.0,-,25,-,,-,
