SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,3_Laptime,23_Laptime,3_PaceDiff,23_PaceDiff,3_PaceDiffClear,23_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2024,2024050,1.0,1,Kick Sauber,,,,,,,,-,-,-,,-,,-,
0,2024,2024050,2.0,2,Kick Sauber,,,,,,,,-,-,-,,-,,-,
0,2024,2024050,3.0,3,Kick Sauber,103.089,102.011,0.949,-0.129,0.949,-0.129,102.14,-1.078,23.0,-1.078,23,0.410,0.41,0.410,0.41
0,2024,2024050,4.0,4,Kick Sauber,102.559,101.502,0.802,-0.255,0.802,-0.255,101.758,-1.057,23.0,-1.057,23,0.274,0.2735,0.274,0.2735
0,2024,2024050,5.0,5,Kick Sauber,102.224,101.788,0.422,-0.014,0.422,-0.014,101.86,-0.436,23.0,-0.436,23,0.204,0.204,0.204,0.204
0,2024,2024050,6.0,6,Kick Sauber,102.14,102.617,0.23,0.707,0.23,0.185,101.95,0.477,3.0,-0.045,23,0.468,0.46849999999999997,0.208,0.20750000000000002
0,2024,2024050,7.0,7,Kick Sauber,102.506,102.402,0.357,0.253,0.357,0.253,102.219,-0.104,23.0,-0.104,23,0.305,0.305,0.305,0.305
0,2024,2024050,8.0,8,Kick Sauber,102.555,102.642,0.247,0.334,0.247,0.334,102.358,0.087,3.0,0.087,3,0.290,0.2905,0.290,0.2905
0,2024,2024050,9.0,9,Kick Sauber,102.517,103.549,0.108,1.14,0.108,0.335,102.51,1.032,3.0,0.227,3,0.624,0.624,0.222,0.2215
0,2024,2024050,10.0,10,Kick Sauber,102.544,102.846,0.067,0.369,0.067,0.369,102.503,0.302,3.0,0.302,3,0.218,0.218,0.218,0.218
0,2024,2024050,11.0,11,Kick Sauber,102.761,102.913,0.219,0.371,0.219,0.371,102.581,0.152,3.0,0.152,3,0.295,0.295,0.295,0.295
