SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,13_Laptime,17_Laptime,32_Laptime,13_PaceDiff,17_PaceDiff,32_PaceDiff,13_PaceDiffClear,17_PaceDiffClear,32_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2024,2024011,1.0,1,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,2.0,2,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,3.0,3,Alpine,98.771,98.744,,0.655,0.628,,0.655,0.628,,98.116,-,17.0,-,17,-,,-,
1,2024,2024011,4.0,4,Alpine,98.625,98.503,,0.591,0.469,,0.591,0.469,,98.034,-,17.0,-,17,-,,-,
1,2024,2024011,5.0,5,Alpine,98.64,98.664,,0.463,0.487,,0.463,0.487,,98.412,-,13.0,-,13,-,,-,
1,2024,2024011,6.0,6,Alpine,98.874,99.099,,0.609,0.834,,0.609,0.606,,98.277,-,13.0,-,17,-,,-,
1,2024,2024011,7.0,7,Alpine,99.152,99.078,,0.77,0.696,,0.77,0.696,,98.538,-,17.0,-,17,-,,-,
1,2024,2024011,8.0,8,Alpine,99.422,99.287,,0.898,0.763,,0.898,0.763,,98.546,-,17.0,-,17,-,,-,
1,2024,2024011,9.0,9,Alpine,99.312,99.452,,0.881,1.021,,0.881,1.021,,98.498,-,13.0,-,13,-,,-,
1,2024,2024011,10.0,10,Alpine,,98.929,,,0.68,,,0.68,,98.315,-,-,-,,-,,-,
1,2024,2024011,11.0,11,Alpine,,98.656,,,0.623,,,0.623,,98.063,-,-,-,,-,,-,
1,2024,2024011,12.0,12,Alpine,97.599,,,-0.391,,,-0.391,,,97.99,-,-,-,,-,,-,
1,2024,2024011,13.0,13,Alpine,97.363,,,-0.476,,,-0.476,,,97.839,-,-,-,,-,,-,
1,2024,2024011,14.0,14,Alpine,97.537,97.689,,-0.071,0.081,,-0.071,0.081,,97.641,-,13.0,-,13,-,,-,
1,2024,2024011,15.0,15,Alpine,97.843,97.492,,0.622,0.271,,0.622,0.271,,97.333,-,17.0,-,17,-,,-,
1,2024,2024011,16.0,16,Alpine,97.902,97.521,,0.652,0.271,,0.652,0.271,,97.4,-,17.0,-,17,-,,-,
1,2024,2024011,17.0,17,Alpine,98.911,97.949,,1.605,0.643,,0.705,0.35,,97.537,-,17.0,-,17,-,,-,
1,2024,2024011,18.0,18,Alpine,98.12,97.791,,0.803,0.474,,0.803,0.474,,97.41,-,17.0,-,17,-,,-,
1,2024,2024011,19.0,19,Alpine,98.332,97.702,,1.16,0.53,,1.16,0.53,,97.209,-,17.0,-,17,-,,-,
1,2024,2024011,20.0,20,Alpine,98.185,98.036,,1.026,0.877,,1.026,0.877,,97.215,-,17.0,-,17,-,,-,
1,2024,2024011,21.0,21,Alpine,99.363,98.094,,2.122,0.853,,1.179,0.853,,97.305,-,17.0,-,17,-,,-,
1,2024,2024011,22.0,22,Alpine,98.655,97.868,,1.409,0.622,,1.409,0.622,,97.246,-,17.0,-,17,-,,-,
1,2024,2024011,23.0,23,Alpine,98.407,98.104,,1.155,0.852,,1.155,0.852,,97.258,-,17.0,-,17,-,,-,
1,2024,2024011,24.0,24,Alpine,98.42,98.192,,1.104,0.876,,1.104,0.876,,97.37,-,17.0,-,17,-,,-,
1,2024,2024011,25.0,25,Alpine,98.494,98.16,,1.079,0.745,,1.079,0.745,,97.415,-,17.0,-,17,-,,-,
1,2024,2024011,26.0,26,Alpine,98.665,98.379,,1.325,1.039,,1.325,1.039,,97.368,-,17.0,-,17,-,,-,
1,2024,2024011,27.0,27,Alpine,98.549,98.4,,1.186,1.037,,1.186,1.037,,97.402,-,17.0,-,17,-,,-,
1,2024,2024011,28.0,28,Alpine,98.372,98.615,,1.065,1.308,,1.065,1.308,,97.35,-,13.0,-,13,-,,-,
1,2024,2024011,29.0,29,Alpine,98.556,98.55,,1.297,1.291,,1.297,1.291,,97.278,-,17.0,-,17,-,,-,
1,2024,2024011,30.0,30,Alpine,,98.832,,,1.911,,,1.911,,96.941,-,-,-,,-,,-,
1,2024,2024011,31.0,31,Alpine,,,,,,,,,,96.982,-,-,-,,-,,-,
1,2024,2024011,32.0,32,Alpine,96.887,,,0.022,,,0.022,,,96.921,-,-,-,,-,,-,
1,2024,2024011,33.0,33,Alpine,96.704,96.112,,-0.019,-0.611,,-0.019,-0.611,,96.906,-,17.0,-,17,-,,-,
1,2024,2024011,34.0,34,Alpine,96.226,96.622,,-0.291,0.105,,-0.291,-0.305,,96.69,-,13.0,-,17,-,,-,
1,2024,2024011,35.0,35,Alpine,96.354,96.313,,0.082,0.041,,0.082,0.041,,96.341,-,17.0,-,17,-,,-,
1,2024,2024011,36.0,36,Alpine,97.229,96.45,,1.159,0.38,,0.397,0.38,,96.281,-,17.0,-,17,-,,-,
1,2024,2024011,37.0,37,Alpine,96.58,96.629,,0.679,0.728,,0.679,0.728,,96.01,-,13.0,-,13,-,,-,
1,2024,2024011,38.0,38,Alpine,96.814,96.802,,0.821,0.809,,0.821,0.59,,96.262,-,17.0,-,17,-,,-,
1,2024,2024011,39.0,39,Alpine,96.552,96.537,,0.773,0.758,,0.773,0.758,,95.792,-,17.0,-,17,-,,-,
1,2024,2024011,40.0,40,Alpine,96.608,96.742,,0.803,0.937,,0.803,0.749,,95.981,-,13.0,-,17,-,,-,
1,2024,2024011,41.0,41,Alpine,96.621,96.571,,0.964,0.914,,0.964,0.914,,95.686,-,17.0,-,17,-,,-,
1,2024,2024011,42.0,42,Alpine,96.592,96.631,,1.021,1.06,,1.021,1.06,,95.579,-,13.0,-,13,-,,-,
1,2024,2024011,43.0,43,Alpine,96.679,,,1.145,,,1.145,,,95.543,-,-,-,,-,,-,
1,2024,2024011,44.0,44,Alpine,96.649,,,1.117,,,1.117,,,95.602,-,-,-,,-,,-,
1,2024,2024011,45.0,45,Alpine,98.049,94.805,,2.551,-0.693,,1.314,-0.693,,95.568,-,17.0,-,17,-,,-,
