SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,10_Laptime,19_Laptime,10_PaceDiff,19_PaceDiff,10_PaceDiffClear,19_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2024,2024011,1.0,1,Aston Martin,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,2.0,2,Aston Martin,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,3.0,3,Aston Martin,98.279,99.046,0.163,0.93,0.163,0.93,98.116,0.767,10.0,0.767,10,0.546,0.5465,0.546,0.5465
1,2024,2024011,4.0,4,Aston Martin,98.364,97.776,0.33,-0.258,0.33,-0.258,98.034,-0.588,19.0,-0.588,19,0.036,0.036000000000000004,0.036,0.036000000000000004
1,2024,2024011,5.0,5,Aston Martin,98.725,99.292,0.548,1.115,0.548,-0.263,98.412,0.567,10.0,-0.811,19,0.832,0.8315,0.143,0.14250000000000002
1,2024,2024011,6.0,6,Aston Martin,98.925,98.053,0.66,-0.212,0.66,-0.212,98.277,-0.872,19.0,-0.872,19,0.224,0.22400000000000003,0.224,0.22400000000000003
1,2024,2024011,7.0,7,Aston Martin,98.769,98.008,0.387,-0.374,0.387,-0.374,98.538,-0.761,19.0,-0.761,19,0.007,0.006500000000000006,0.007,0.006500000000000006
1,2024,2024011,8.0,8,Aston Martin,98.857,98.103,0.333,-0.421,0.333,-0.421,98.546,-0.754,19.0,-0.754,19,-0.044,-0.043999999999999984,-0.044,-0.043999999999999984
1,2024,2024011,9.0,9,Aston Martin,,98.896,,0.465,,0.465,98.498,-,-,-,,-,-0.19899999999999995,-,-0.19899999999999995
1,2024,2024011,10.0,10,Aston Martin,,99.325,,1.076,,1.076,98.315,-,-,-,,-,-0.3539999999999999,-,-0.3539999999999999
1,2024,2024011,11.0,11,Aston Martin,96.494,98.554,-1.539,0.521,-1.539,0.521,98.063,2.060,10.0,2.060,10,-0.509,-0.5089999999999999,-0.509,-0.5089999999999999
1,2024,2024011,12.0,12,Aston Martin,97.175,98.543,-0.815,0.553,-0.815,0.553,97.99,1.368,10.0,1.368,10,-0.131,-0.13099999999999995,-0.131,-0.13099999999999995
1,2024,2024011,13.0,13,Aston Martin,97.289,98.587,-0.55,0.748,-0.55,0.748,97.839,1.298,10.0,1.298,10,0.099,0.09899999999999998,0.099,0.09899999999999998
1,2024,2024011,14.0,14,Aston Martin,97.624,98.612,0.016,1.004,0.016,1.004,97.641,0.988,10.0,0.988,10,0.510,0.51,0.510,0.51
1,2024,2024011,15.0,15,Aston Martin,97.533,,0.312,,0.312,,97.333,-,-,-,,-,0.5291666666666667,-,0.35333333333333333
1,2024,2024011,16.0,16,Aston Martin,98.027,,0.777,,0.777,,97.4,-,-,-,,-,0.5483333333333333,-,0.19666666666666666
1,2024,2024011,17.0,17,Aston Martin,98.777,96.97,1.471,-0.336,0.416,-0.336,97.537,-1.807,19.0,-0.752,19,0.568,0.5675,0.040,0.03999999999999998
1,2024,2024011,18.0,18,Aston Martin,97.417,97.361,0.1,0.044,0.1,-0.296,97.41,-0.056,19.0,-0.396,19,0.072,0.07200000000000001,-0.098,-0.09799999999999999
1,2024,2024011,19.0,19,Aston Martin,97.554,97.072,0.382,-0.1,0.382,-0.1,97.209,-0.482,19.0,-0.482,19,0.141,0.14100000000000001,0.141,0.14100000000000001
1,2024,2024011,20.0,20,Aston Martin,97.859,97.357,0.7,0.198,0.7,0.048,97.215,-0.502,19.0,-0.652,19,0.449,0.44899999999999995,0.374,0.374
1,2024,2024011,21.0,21,Aston Martin,98.022,97.342,0.781,0.101,0.781,0.101,97.305,-0.680,19.0,-0.680,19,0.441,0.441,0.441,0.441
1,2024,2024011,22.0,22,Aston Martin,98.175,97.122,0.929,-0.124,0.929,-0.124,97.246,-1.053,19.0,-1.053,19,0.403,0.4025,0.403,0.4025
1,2024,2024011,23.0,23,Aston Martin,97.826,97.265,0.574,0.013,0.574,0.013,97.258,-0.561,19.0,-0.561,19,0.293,0.2935,0.293,0.2935
1,2024,2024011,24.0,24,Aston Martin,98.138,97.046,0.822,-0.27,0.822,-0.27,97.37,-1.092,19.0,-1.092,19,0.276,0.27599999999999997,0.276,0.27599999999999997
1,2024,2024011,25.0,25,Aston Martin,97.994,97.179,0.579,-0.236,0.579,-0.236,97.415,-0.815,19.0,-0.815,19,0.171,0.17149999999999999,0.171,0.17149999999999999
1,2024,2024011,26.0,26,Aston Martin,98.133,97.638,0.793,0.298,0.793,-0.278,97.368,-0.495,19.0,-1.071,19,0.545,0.5455,0.258,0.2575
1,2024,2024011,27.0,27,Aston Martin,,96.945,,-0.418,,-0.418,97.402,-,-,-,,-,0.10366666666666668,-,-0.08833333333333337
1,2024,2024011,28.0,28,Aston Martin,,97.256,,-0.051,,-0.282,97.35,-,-,-,,-,-0.3381666666666666,-,-0.43416666666666676
1,2024,2024011,29.0,29,Aston Martin,95.854,97.104,-1.405,-0.155,-1.405,-0.155,97.278,1.250,10.0,1.250,10,-0.780,-0.78,-0.780,-0.78
1,2024,2024011,30.0,30,Aston Martin,95.632,96.982,-1.289,0.061,-1.289,0.061,96.941,1.350,10.0,1.350,10,-0.614,-0.614,-0.614,-0.614
1,2024,2024011,31.0,31,Aston Martin,96.202,96.957,-0.656,0.099,-1.131,0.099,96.982,0.755,10.0,1.230,10,-0.279,-0.2785,-0.516,-0.516
1,2024,2024011,32.0,32,Aston Martin,95.821,97.056,-1.044,0.191,-1.044,0.191,96.921,1.235,10.0,1.235,10,-0.426,-0.4265,-0.426,-0.4265
1,2024,2024011,33.0,33,Aston Martin,96.349,97.202,-0.374,0.479,-0.646,0.479,96.906,0.853,10.0,1.125,10,0.052,0.05249999999999999,-0.084,-0.08350000000000002
1,2024,2024011,34.0,34,Aston Martin,96.332,97.601,-0.185,1.084,-0.185,0.72,96.69,1.269,10.0,0.905,10,0.450,0.4495,0.267,0.26749999999999996
1,2024,2024011,35.0,35,Aston Martin,96.242,97.273,-0.03,1.001,-0.03,1.001,96.341,1.031,10.0,1.031,10,0.485,0.48549999999999993,0.485,0.48549999999999993
1,2024,2024011,36.0,36,Aston Martin,96.086,98.343,0.016,2.273,0.016,0.966,96.281,2.257,10.0,0.950,10,1.145,1.1445,0.491,0.491
1,2024,2024011,37.0,37,Aston Martin,95.987,96.799,0.086,0.898,0.086,0.898,96.01,0.812,10.0,0.812,10,0.492,0.492,0.492,0.492
1,2024,2024011,38.0,38,Aston Martin,96.364,97.297,0.371,1.304,0.177,1.304,96.262,0.933,10.0,1.127,10,0.838,0.8375,0.741,0.7405
1,2024,2024011,39.0,39,Aston Martin,96.353,97.946,0.574,2.167,0.574,2.167,95.792,1.593,10.0,1.593,10,1.370,1.3704999999999998,1.370,1.3704999999999998
1,2024,2024011,40.0,40,Aston Martin,96.485,98.061,0.68,2.256,0.68,2.256,95.981,1.576,10.0,1.576,10,1.468,1.468,1.468,1.468
1,2024,2024011,41.0,41,Aston Martin,96.322,,0.665,,0.665,,95.686,-,-,-,,-,1.0358333333333334,-,1.0358333333333334
1,2024,2024011,42.0,42,Aston Martin,96.343,,0.772,,0.772,,95.579,-,-,-,,-,0.6036666666666667,-,0.6036666666666667
1,2024,2024011,43.0,43,Aston Martin,96.304,95.107,0.77,-0.427,0.77,-0.427,95.543,-1.197,19.0,-1.197,19,0.172,0.1715,0.172,0.1715
1,2024,2024011,44.0,44,Aston Martin,96.564,94.981,1.032,-0.551,0.741,-0.551,95.602,-1.583,19.0,-1.292,19,0.240,0.2405,0.095,0.09499999999999997
1,2024,2024011,45.0,45,Aston Martin,96.243,94.872,0.745,-0.626,0.745,-0.626,95.568,-1.371,19.0,-1.371,19,0.059,0.0595,0.059,0.0595
1,2024,2024011,46.0,46,Aston Martin,96.379,95.126,0.78,-0.473,0.78,-0.473,95.664,-1.253,19.0,-1.253,19,0.154,0.15350000000000003,0.154,0.15350000000000003
1,2024,2024011,47.0,47,Aston Martin,96.298,95.225,0.647,-0.426,0.647,-0.426,95.708,-1.073,19.0,-1.073,19,0.111,0.11050000000000001,0.111,0.11050000000000001
1,2024,2024011,48.0,48,Aston Martin,97.325,94.199,1.57,-1.556,0.829,-1.556,95.854,-3.126,19.0,-2.385,19,0.007,0.007000000000000006,-0.364,-0.36350000000000005
1,2024,2024011,49.0,49,Aston Martin,96.871,94.571,0.918,-1.382,0.918,-1.382,95.989,-2.300,19.0,-2.300,19,-0.232,-0.23199999999999993,-0.232,-0.23199999999999993
1,2024,2024011,50.0,50,Aston Martin,96.541,94.677,0.578,-1.286,0.578,-1.286,96.034,-1.864,19.0,-1.864,19,-0.354,-0.35400000000000004,-0.354,-0.35400000000000004
1,2024,2024011,51.0,51,Aston Martin,96.763,94.916,0.712,-1.135,0.712,-1.135,96.063,-1.847,19.0,-1.847,19,-0.212,-0.21150000000000002,-0.212,-0.21150000000000002
1,2024,2024011,52.0,52,Aston Martin,96.934,94.862,0.881,-1.191,0.881,-1.191,96.304,-2.072,19.0,-2.072,19,-0.155,-0.15500000000000003,-0.155,-0.15500000000000003
1,2024,2024011,53.0,53,Aston Martin,96.64,95.249,0.557,-0.834,0.557,-0.834,96.286,-1.391,19.0,-1.391,19,-0.138,-0.13849999999999996,-0.138,-0.13849999999999996
1,2024,2024011,54.0,54,Aston Martin,96.693,95.745,0.564,-0.384,0.564,-0.972,96.492,-0.948,19.0,-1.536,19,0.090,0.08999999999999997,-0.204,-0.20400000000000001
1,2024,2024011,55.0,55,Aston Martin,96.68,95.066,0.381,-1.233,0.381,-1.233,96.312,-1.614,19.0,-1.614,19,-0.426,-0.42600000000000005,-0.426,-0.42600000000000005
1,2024,2024011,56.0,56,Aston Martin,96.582,95.014,0.202,-1.366,0.202,-1.366,96.38,-1.568,19.0,-1.568,19,-0.582,-0.5820000000000001,-0.582,-0.5820000000000001
1,2024,2024011,57.0,57,Aston Martin,97.335,95.276,1.334,-0.725,1.334,-0.725,96.001,-2.059,19.0,-2.059,19,0.305,0.30450000000000005,0.305,0.30450000000000005
1,2024,2024021,1.0,58,Aston Martin,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,2.0,59,Aston Martin,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,3.0,60,Aston Martin,95.79,94.439,0.162,-1.189,0.162,-1.189,95.628,-1.351,19.0,-1.351,19,-0.514,-0.5135000000000001,-0.514,-0.5135000000000001
1,2024,2024021,4.0,61,Aston Martin,95.735,94.746,0.316,-0.673,0.316,-0.943,95.467,-0.989,19.0,-1.259,19,-0.179,-0.17850000000000002,-0.314,-0.3135
1,2024,2024021,5.0,62,Aston Martin,95.56,94.512,0.274,-0.774,0.274,-0.774,95.304,-1.048,19.0,-1.048,19,-0.250,-0.25,-0.250,-0.25
1,2024,2024021,6.0,63,Aston Martin,,94.48,,-1.006,,-1.006,95.486,-,-,-,,-,,-,
1,2024,2024021,7.0,64,Aston Martin,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,8.0,65,Aston Martin,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,9.0,66,Aston Martin,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,10.0,67,Aston Martin,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,11.0,68,Aston Martin,,94.53,,-0.685,,-0.685,95.215,-,-,-,,-,,-,
1,2024,2024021,12.0,69,Aston Martin,,94.735,,0.003,,-0.135,94.74,-,-,-,,-,,-,
1,2024,2024021,13.0,70,Aston Martin,,94.664,,-0.151,,-0.151,95.026,-,-,-,,-,,-,
1,2024,2024021,14.0,71,Aston Martin,,94.877,,0.039,,-0.167,94.98,-,-,-,,-,,-,
1,2024,2024021,15.0,72,Aston Martin,,94.678,,-0.272,,-0.272,95.038,-,-,-,,-,,-,
1,2024,2024021,16.0,73,Aston Martin,,94.773,,-0.354,,-0.354,95.127,-,-,-,,-,,-,
1,2024,2024021,17.0,74,Aston Martin,,94.695,,-0.404,,-0.404,95.522,-,-,-,,-,,-,
1,2024,2024021,18.0,75,Aston Martin,,94.651,,-0.254,,-0.254,95.003,-,-,-,,-,,-,
