SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,7_Laptime,9_Laptime,29_Laptime,7_PaceDiff,9_PaceDiff,29_PaceDiff,7_PaceDiffClear,9_PaceDiffClear,29_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2024,2024011,1.0,1,RB,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,2.0,2,RB,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,3.0,3,RB,98.76,98.431,,0.644,0.315,,0.644,0.315,,98.116,-,9.0,-,9,-,,-,
1,2024,2024011,4.0,4,RB,98.61,98.31,,0.576,0.276,,0.576,0.276,,98.034,-,9.0,-,9,-,,-,
1,2024,2024011,5.0,5,RB,98.704,98.321,,0.527,0.144,,0.472,0.144,,98.412,-,9.0,-,9,-,,-,
1,2024,2024011,6.0,6,RB,98.689,98.361,,0.424,0.096,,0.424,0.096,,98.277,-,9.0,-,9,-,,-,
1,2024,2024011,7.0,7,RB,99.193,98.364,,0.811,-0.018,,0.811,-0.018,,98.538,-,9.0,-,9,-,,-,
1,2024,2024011,8.0,8,RB,99.529,98.513,,1.005,-0.011,,0.742,-0.011,,98.546,-,9.0,-,9,-,,-,
1,2024,2024011,9.0,9,RB,99.338,98.554,,0.907,0.123,,0.907,0.123,,98.498,-,9.0,-,9,-,,-,
1,2024,2024011,10.0,10,RB,98.782,98.912,,0.533,0.663,,0.533,0.427,,98.315,-,7.0,-,9,-,,-,
1,2024,2024011,11.0,11,RB,99.033,98.799,,1.0,0.766,,0.804,0.766,,98.063,-,9.0,-,9,-,,-,
1,2024,2024011,12.0,12,RB,98.893,98.769,,0.903,0.779,,0.903,0.779,,97.99,-,9.0,-,9,-,,-,
1,2024,2024011,13.0,13,RB,,98.86,,,1.021,,,1.021,,97.839,-,-,-,,-,,-,
1,2024,2024011,14.0,14,RB,,,,,,,,,,97.641,-,-,-,,-,,-,
1,2024,2024011,15.0,15,RB,97.07,,,-0.151,,,-0.151,,,97.333,-,-,-,,-,,-,
1,2024,2024011,16.0,16,RB,97.176,97.516,,-0.074,0.266,,-0.074,0.266,,97.4,-,7.0,-,7,-,,-,
1,2024,2024011,17.0,17,RB,97.29,97.482,,-0.016,0.176,,-0.016,0.176,,97.537,-,7.0,-,7,-,,-,
1,2024,2024011,18.0,18,RB,97.7,97.359,,0.383,0.042,,0.383,0.042,,97.41,-,9.0,-,9,-,,-,
1,2024,2024011,19.0,19,RB,98.35,97.396,,1.178,0.224,,0.611,0.224,,97.209,-,9.0,-,9,-,,-,
1,2024,2024011,20.0,20,RB,97.865,97.766,,0.706,0.607,,0.706,0.607,,97.215,-,9.0,-,9,-,,-,
1,2024,2024011,21.0,21,RB,97.392,97.777,,0.151,0.536,,0.151,0.536,,97.305,-,7.0,-,7,-,,-,
1,2024,2024011,22.0,22,RB,97.75,97.837,,0.504,0.591,,0.504,0.591,,97.246,-,7.0,-,7,-,,-,
1,2024,2024011,23.0,23,RB,97.772,97.671,,0.52,0.419,,0.52,0.419,,97.258,-,9.0,-,9,-,,-,
1,2024,2024011,24.0,24,RB,97.766,97.634,,0.45,0.318,,0.45,0.318,,97.37,-,9.0,-,9,-,,-,
1,2024,2024011,25.0,25,RB,97.973,97.851,,0.558,0.436,,0.558,0.436,,97.415,-,9.0,-,9,-,,-,
1,2024,2024011,26.0,26,RB,98.029,98.058,,0.689,0.718,,0.689,0.718,,97.368,-,7.0,-,7,-,,-,
1,2024,2024011,27.0,27,RB,98.152,98.083,,0.789,0.72,,0.789,0.72,,97.402,-,9.0,-,9,-,,-,
1,2024,2024011,28.0,28,RB,98.045,98.164,,0.738,0.857,,0.738,0.857,,97.35,-,7.0,-,7,-,,-,
1,2024,2024011,29.0,29,RB,97.96,97.777,,0.701,0.518,,0.701,0.518,,97.278,-,9.0,-,9,-,,-,
1,2024,2024011,30.0,30,RB,97.978,97.477,,1.057,0.556,,1.057,0.556,,96.941,-,9.0,-,9,-,,-,
1,2024,2024011,31.0,31,RB,98.154,97.468,,1.296,0.61,,1.296,0.61,,96.982,-,9.0,-,9,-,,-,
1,2024,2024011,32.0,32,RB,98.025,97.847,,1.16,0.982,,1.16,0.618,,96.921,-,9.0,-,9,-,,-,
1,2024,2024011,33.0,33,RB,98.15,97.498,,1.427,0.775,,1.427,0.775,,96.906,-,9.0,-,9,-,,-,
1,2024,2024011,34.0,34,RB,98.246,,,1.729,,,1.729,,,96.69,-,-,-,,-,,-,
1,2024,2024011,35.0,35,RB,,,,,,,,,,96.341,-,-,-,,-,,-,
1,2024,2024011,36.0,36,RB,,97.706,,,1.636,,,1.636,,96.281,-,-,-,,-,,-,
1,2024,2024011,37.0,37,RB,95.163,95.833,,-0.738,-0.068,,-0.738,-0.068,,96.01,-,7.0,-,7,-,,-,
1,2024,2024011,38.0,38,RB,95.46,97.046,,-0.533,1.053,,-0.533,-0.014,,96.262,-,7.0,-,7,-,,-,
1,2024,2024011,39.0,39,RB,95.475,96.125,,-0.304,0.346,,-0.304,0.346,,95.792,-,7.0,-,7,-,,-,
1,2024,2024011,40.0,40,RB,95.578,96.263,,-0.227,0.458,,-0.227,0.458,,95.981,-,7.0,-,7,-,,-,
1,2024,2024011,41.0,41,RB,95.644,96.179,,-0.013,0.522,,-0.013,0.522,,95.686,-,7.0,-,7,-,,-,
1,2024,2024011,42.0,42,RB,95.338,95.981,,-0.233,0.41,,-0.233,0.41,,95.579,-,7.0,-,7,-,,-,
1,2024,2024011,43.0,43,RB,95.56,95.956,,0.026,0.422,,0.026,0.422,,95.543,-,7.0,-,7,-,,-,
1,2024,2024011,44.0,44,RB,95.49,96.144,,-0.042,0.612,,-0.042,0.612,,95.602,-,7.0,-,7,-,,-,
1,2024,2024011,45.0,45,RB,95.57,95.964,,0.072,0.466,,0.072,0.466,,95.568,-,7.0,-,7,-,,-,
1,2024,2024011,46.0,46,RB,95.507,96.187,,-0.092,0.588,,-0.092,0.588,,95.664,-,7.0,-,7,-,,-,
1,2024,2024011,47.0,47,RB,95.831,96.396,,0.18,0.745,,0.18,0.745,,95.708,-,7.0,-,7,-,,-,
1,2024,2024011,48.0,48,RB,96.236,96.554,,0.481,0.799,,0.481,0.799,,95.854,-,7.0,-,7,-,,-,
1,2024,2024011,49.0,49,RB,96.442,96.695,,0.489,0.742,,0.489,0.742,,95.989,-,7.0,-,7,-,,-,
1,2024,2024011,50.0,50,RB,96.609,96.827,,0.646,0.864,,0.646,0.864,,96.034,-,7.0,-,7,-,,-,
1,2024,2024011,51.0,51,RB,97.103,97.067,,1.052,1.016,,1.052,1.016,,96.063,-,9.0,-,9,-,,-,
1,2024,2024011,52.0,52,RB,97.529,99.042,,1.476,2.989,,0.871,0.9,,96.304,-,7.0,-,7,-,,-,
1,2024,2024011,53.0,53,RB,96.745,96.838,,0.662,0.755,,0.662,0.755,,96.286,-,7.0,-,7,-,,-,
1,2024,2024011,54.0,54,RB,96.661,96.672,,0.532,0.543,,0.532,0.543,,96.492,-,7.0,-,7,-,,-,
1,2024,2024011,55.0,55,RB,97.375,97.269,,1.076,0.97,,1.076,0.97,,96.312,-,9.0,-,9,-,,-,
1,2024,2024011,56.0,56,RB,97.662,97.473,,1.282,1.093,,1.282,1.093,,96.38,-,9.0,-,9,-,,-,
1,2024,2024021,1.0,57,RB,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,2.0,58,RB,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,3.0,59,RB,96.766,95.703,,1.138,0.075,,1.138,0.075,,95.628,-,9.0,-,9,-,,-,
1,2024,2024021,4.0,60,RB,96.271,95.378,,0.852,-0.041,,0.852,-0.041,,95.467,-,9.0,-,9,-,,-,
1,2024,2024021,5.0,61,RB,95.699,95.589,,0.413,0.303,,0.413,0.303,,95.304,-,9.0,-,9,-,,-,
1,2024,2024021,6.0,62,RB,95.847,96.275,,0.361,0.789,,0.361,0.789,,95.486,-,7.0,-,7,-,,-,
1,2024,2024021,7.0,63,RB,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,8.0,64,RB,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,9.0,65,RB,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,10.0,66,RB,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,11.0,67,RB,96.819,95.738,,1.604,0.523,,1.604,0.523,,95.215,-,9.0,-,9,-,,-,
1,2024,2024021,12.0,68,RB,96.095,95.263,,1.363,0.531,,1.363,0.531,,94.74,-,9.0,-,9,-,,-,
1,2024,2024021,13.0,69,RB,96.337,95.325,,1.522,0.51,,1.522,0.51,,95.026,-,9.0,-,9,-,,-,
1,2024,2024021,14.0,70,RB,95.606,95.575,,0.768,0.737,,0.768,0.737,,94.98,-,9.0,-,9,-,,-,
1,2024,2024021,15.0,71,RB,95.466,95.952,,0.516,1.002,,0.516,1.002,,95.038,-,7.0,-,7,-,,-,
