SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
1,2024,2024011,0,McLaren,4,NOR,Lando Norris,4,#FF8000,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,4,1.0,0,0,0.109,0,0,0,0,,7
1,2024,2024011,0,McLaren,4,NOR,Lando Norris,4,#FF8000,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,5,1.0,0,0,0.109,0,0,0,0,0.0,7
1,2024,2024011,0,McLaren,4,NOR,Lando Norris,4,#FF8000,3.0,3,97.787,97.787,0,0,-,-,0.329,0.471,0.093,4.0,0.329,0.471,0.093,4.0,-0.142,S,#CD3C3C,6,1.0,0,0,0.109,0,0,0,0,1.0,6
1,2024,2024011,0,McLaren,4,NOR,Lando Norris,4,#FF8000,4.0,4,97.45,97.45,0,0,97.619,0.337,0.584,0.447,0.360,4.0,0.584,0.447,0.360,4.0,0.137,S,#CD3C3C,7,1.0,0,0,0.109,0,0,0,0,0.0,6
1,2024,2024011,0,McLaren,4,NOR,Lando Norris,4,#FF8000,5.0,5,97.794,97.794,0,0,97.622,0.344,0.383,0.065,0.350,4.0,0.383,0.065,0.350,4.0,0.318,S,#CD3C3C,8,1.0,0,0,0.109,0,0,0,0,0.0,6
1,2024,2024011,0,McLaren,4,NOR,Lando Norris,4,#FF8000,6.0,6,97.896,97.896,0,0,97.845,0.102,0.369,0.059,0.340,4.0,0.369,0.059,0.340,4.0,0.31,S,#CD3C3C,9,1.0,0,0,0.109,0,0,0,0,0.0,6
1,2024,2024011,0,McLaren,4,NOR,Lando Norris,4,#FF8000,7.0,7,97.86,97.86,0,0,97.878,0.036,0.522,0.124,0.460,4.0,0.522,0.124,0.460,4.0,0.398,S,#CD3C3C,10,1.0,0,1,0.109,0,0,0,0,0.0,6
1,2024,2024011,0,McLaren,4,NOR,Lando Norris,4,#FF8000,8.0,8,98.134,97.962,1,0,97.911,0.274,0.39,-0.178,0.479,28.0,0.562,-0.006,0.565,28.0,0.568,S,#CD3C3C,11,1.0,0,0,0.109,0,0,0,0,0.0,6
1,2024,2024011,0,McLaren,4,NOR,Lando Norris,4,#FF8000,9.0,9,98.064,98.064,0,0,98.013,0.070,0.367,0.032,0.351,4.0,0.367,-0.049,0.391,28.0,0.335,S,#CD3C3C,12,1.0,0,0,0.109,0,0,0,0,0.0,6
1,2024,2024011,0,McLaren,4,NOR,Lando Norris,4,#FF8000,10.0,10,97.936,97.936,0,0,98.0,0.128,0.313,0.137,0.244,4.0,0.313,0.137,0.244,4.0,0.176,S,#CD3C3C,13,1.0,0,0,0.109,0,0,0,0,0.0,6
