SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
0,2025,2025020,1,Kick Sauber,25,HUL,Nico Hulkenberg,27,#52E252,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,7,2.0,0,0,0.502,0,0,0,0,,20
0,2025,2025020,1,Kick Sauber,25,HUL,Nico Hulkenberg,27,#52E252,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,8,2.0,0,0,0.502,0,0,0,0,0.0,20
0,2025,2025020,1,Kick Sauber,25,HUL,Nico Hulkenberg,27,#52E252,3.0,3,96.804,96.804,0,0,-,-,0.162,-0.671,-0.173,25.0,0.162,-0.671,-0.173,25.0,-0.509,M,#F0E628,9,2.0,0,0,0.502,0,0,0,0,0.0,20
0,2025,2025020,1,Kick Sauber,25,HUL,Nico Hulkenberg,27,#52E252,4.0,4,96.529,96.529,0,0,96.666,0.275,0.401,-1.079,-0.139,25.0,0.401,-1.079,-0.139,25.0,-0.678,M,#F0E628,10,2.0,0,0,0.502,0,0,0,0,0.0,20
0,2025,2025020,1,Kick Sauber,25,HUL,Nico Hulkenberg,27,#52E252,5.0,5,97.761,97.761,0,0,97.145,1.232,-0.58,-0.202,-0.681,25.0,-0.580,-0.202,-0.681,25.0,-0.782,M,#F0E628,11,2.0,0,0,0.502,0,0,0,0,0.0,20
0,2025,2025020,1,Kick Sauber,25,HUL,Nico Hulkenberg,27,#52E252,6.0,6,97.968,97.968,0,0,97.864,0.207,-0.69,0.067,-0.656,34.0,-0.690,0.067,-0.656,34.0,-0.623,M,#F0E628,12,2.0,0,0,0.502,0,0,0,0,0.0,20
0,2025,2025020,1,Kick Sauber,25,HUL,Nico Hulkenberg,27,#52E252,7.0,7,98.493,98.493,0,0,98.23,0.525,-1.176,-0.129,-1.240,25.0,-1.176,0.366,-0.993,34.0,-1.305,M,#F0E628,13,2.0,0,0,0.502,0,0,0,0,0.0,20
0,2025,2025020,1,Kick Sauber,25,HUL,Nico Hulkenberg,27,#52E252,8.0,8,98.228,98.228,0,0,98.36,0.265,-0.671,-0.125,-0.734,25.0,-0.671,-0.125,-0.734,25.0,-0.796,M,#F0E628,14,2.0,0,0,0.502,0,0,0,0,0.0,20
0,2025,2025020,1,Kick Sauber,25,HUL,Nico Hulkenberg,27,#52E252,9.0,9,98.551,98.551,0,0,98.39,0.323,-0.659,-0.398,-0.858,25.0,-0.659,-0.398,-0.858,25.0,-1.057,M,#F0E628,15,2.0,0,0,0.502,0,0,0,0,0.0,20
0,2025,2025020,1,Kick Sauber,25,HUL,Nico Hulkenberg,27,#52E252,10.0,10,99.068,99.068,0,0,98.81,0.517,-0.872,-0.849,-1.296,25.0,-0.872,-0.348,-1.046,25.0,-1.721,M,#F0E628,16,2.0,0,0,0.502,0,0,0,0,0.0,20
