SprintIndex,SeasonID,DriverID,FullName,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateDiscreteAvg,ConsistencyTeammateDiscreteAvg,PaceTeammateDiscreteAvg,StartTeammateDiscreteAvg,OvertakesTeammateDiscreteAvg,MistakesTeammateDiscreteAvg,QualiTeammateNormalizedAvg,ConsistencyTeammateNormalizedAvg,PaceTeammateNormalizedAvg,StartTeammateNormalizedAvg,OvertakesTeammateNormalizedAvg,MistakesTeammateNormalizedAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,ConsistencyAvg,OvertakesSum,OvertakesAvg,OvertakesGainAvg,OvertakesLostAvg,PaceAvg,StartSum,StartAvg,StartGainAvg,StartLostAvg
0,Все сезоны,2,Max Verstappen,8.53,6.27,8.89,7.333333333333333,9.0,6.0,4.0,5.333333333333333,6.364282720706126,5.970423296133815,6.181275348418885,4.878961895562096,4.9519251414275,5.539107133896205,9.61,5.65,7.68,0.145,1.0,0.16666666666666666,0.43,0.27,86.1465,0.0,-0.033333333333333305,0.40,0.43
0,Все сезоны,3,Valtteri Bottas,6.53,5.50,6.67,7.5,6.25,6.25,2.5,7.083333333333333,5.621549455509969,5.567963895766581,5.061262609283611,5.442920279202719,4.2056465389185975,6.7855530561394195,5.22,5.07,6.11,0.214,-3.75,-0.4166666666666667,0.58,1.00,85.76604166666667,-1.5,-0.29166666666666663,0.46,0.75
0,Все сезоны,13,Esteban Ocon,7.97,5.42,3.89,7.0,3.0,5.666666666666666,4.0,5.666666666666666,4.5557577393183415,5.133789139785722,4.500068556159599,5.724949042532748,4.883453704380538,6.038631345647415,4.14,6.45,7.29,0.172,-2.6,-0.8666666666666666,0.33,1.20,87.88053333333333,2.8,0.6,0.87,0.27
0,Все сезоны,1,Lewis Hamilton,6.52,7.26,2.78,3.8666666666666663,2.8,3.8666666666666663,5.2,4.0,4.496882683947471,4.6678622658266615,4.683353482721165,4.611990200133556,5.395762584428901,5.384964783925007,6.97,5.57,6.49,0.218,5.2,1.4666666666666666,1.67,0.20,86.9312,1.0,0.0,0.73,0.73
0,Все сезоны,15,Sebastian Vettel,5.54,4.56,6.50,5.0,6.666666666666666,6.666666666666666,5.0,5.0,5.408789714482182,4.043899916307721,4.6678021473853635,4.766894030194766,4.141786399862811,4.229797552239609,4.15,6.67,5.56,0.486,-3.0,-1.0,0.67,1.67,80.5435,3.0,1.0,1.67,0.67
0,Все сезоны,4,Lando Norris,7.28,6.18,5.56,4.633333333333333,6.133333333333333,4.8,5.033333333333333,5.0,5.3680731484280075,4.823181259958264,5.144411990697234,4.497454196473789,4.9314948443461315,5.9282855926785984,7.75,5.25,6.76,0.190,1.0,0.11333333333333336,0.60,0.50,86.45494666666666,-3.4,-0.5133333333333333,0.49,1.00
0,Все сезоны,6,Charles Leclerc,6.68,5.87,5.56,4.466666666666667,5.866666666666666,4.466666666666667,3.4666666666666663,4.666666666666666,5.354815560743325,4.62521676629906,5.337736290103922,5.038110211043017,4.61278760764386,5.6995739243980665,7.72,6.26,6.47,0.218,-0.2,-0.04,0.55,0.59,86.43818,1.2,0.29333333333333333,0.63,0.33
0,Все сезоны,14,George Russell,7.79,6.55,7.22,5.666666666666666,7.333333333333333,5.666666666666666,4.999999999999999,6.0,5.429321536030423,5.352360105957963,5.237625350193107,5.115905147725199,4.875545569901702,5.318015364115075,6.77,5.49,7.20,0.170,2.6,0.6333333333333333,0.83,0.20,87.06800000000001,0.2,-0.2,0.40,0.60
0,Все сезоны,7,Daniel Ricciardo,6.55,6.67,6.67,4.166666666666666,4.166666666666666,3.333333333333333,5.0,4.166666666666666,6.273927030052475,5.022548150167005,5.024366044517353,4.539769914673334,4.952874686134308,5.433505509521749,5.57,4.97,6.31,0.197,1.5,0.5,1.00,0.50,87.22666666666667,-0.5,-0.16666666666666669,0.58,0.75
0,Все сезоны,12,Antonio Giovinazzi,8.71,5.13,6.82,10.0,6.666666666666666,6.666666666666666,6.666666666666666,10.0,5.785538477458177,5.151746481695528,6.033192515578198,5.474806080044287,5.62607204116638,5.289524319032516,4.63,7.14,7.85,0.120,-1.0,-0.3333333333333333,0.67,1.00,84.21733333333333,2.0,0.6666666666666666,1.33,0.67
0,Все сезоны,17,Pierre Gasly,7.30,5.92,6.67,4.466666666666667,7.266666666666666,4.666666666666666,5.533333333333333,4.666666666666666,5.69599907324832,4.847194691853597,5.491608936748193,4.370140326214979,4.7725252343178814,6.071195272680659,4.44,4.91,6.67,0.205,-1.0,-0.10000000000000002,0.77,0.83,87.59846666666667,-2.8,-0.9333333333333332,0.57,1.50
0,Все сезоны,11,Kimi Räikkönen,8.25,3.75,3.50,0.0,5.0,5.0,0.0,0.0,4.438123793805011,4.811774216850646,4.989720763417446,4.990915879933569,3.636363636363636,4.587358543096248,3.94,6.83,7.26,0.165,-5.0,-2.5,1.50,4.00,83.6,4.0,2.0,2.50,0.50
0,Все сезоны,10,Lance Stroll,7.00,5.99,2.22,5.6,4.133333333333333,4.533333333333333,5.2,4.333333333333333,4.189269551665259,5.688195889822727,5.013131964338138,5.466536548624392,5.730198878149122,5.766899193563068,4.37,6.99,6.83,0.238,0.4,1.6653345369377347e-17,0.57,0.57,87.62907333333334,4.0,0.9,1.23,0.33
0,Все сезоны,19,Fernando Alonso,6.09,5.30,7.78,3.4,6.533333333333333,5.133333333333333,5.133333333333333,5.0,5.81073044833474,4.809657193130019,5.450835920140989,4.211995419402096,4.843300558435539,6.459923707452359,4.84,5.12,5.83,0.222,-1.4,-0.32,0.53,0.87,86.85021333333333,0.2,0.08666666666666664,0.81,0.73
0,Все сезоны,8,Carlos Sainz,7.34,6.42,5.00,5.666666666666666,4.666666666666666,6.0,6.666666666666666,5.0,4.807455567639624,5.16139895287187,4.836120763142391,4.928807046445497,5.2644947614254125,5.575805958263895,6.90,6.19,6.99,0.196,2.0,0.7666666666666667,1.10,0.33,87.0214,0.8,-0.033333333333333395,0.67,0.70
0,Все сезоны,20,Nikita Mazepin,6.35,3.83,0.91,10.0,3.333333333333333,3.333333333333333,0.0,0.0,3.8636543908342884,5.439362511760334,4.410515532264012,5.164835164835165,5.0,3.204840599630399,1.13,6.66,5.98,0.195,-2.0,-0.6666666666666666,0.33,1.00,85.51400000000001,1.0,0.3333333333333333,0.67,0.33
0,Все сезоны,9,Yuki Tsunoda,7.18,6.60,4.78,4.533333333333333,3.1666666666666665,6.2333333333333325,4.9,6.066666666666666,4.315908590635649,4.875831913740186,4.746423121528137,5.974524587286948,4.927512168548824,6.375127721518979,4.51,6.13,6.90,0.211,1.8,0.42666666666666664,1.03,0.63,87.71530666666666,0.1,0.10666666666666665,0.96,0.85
0,Все сезоны,18,Nicholas Latifi,7.60,5.16,0.91,4.166666666666666,1.6666666666666665,5.0,6.666666666666666,6.666666666666666,3.3692363775134644,4.963267752757292,4.363948480307402,5.486995341614907,5.106888001935172,5.105119511076498,2.81,5.71,6.87,0.186,-3.0,-1.0,0.50,1.50,80.958,0.0,0.0,0.67,0.67
