SeasonID,RaceID,EventDate,EventNumber,EventsTotal,EventIndex,SprintIndex,EventID,CircuitID,DataAvailable,SeasonOver,EventName,EventNameClear,EventNameRus,EventNameRusClear,EventNameShortRus,EventNameShort,EventAbbreviation,CircuitName,CircuitNameRus,Location,Country,CountryAbbreviation,CountryRus,LocationRus,RaceTime,Conditions,AirTemp,TrackTemp,Humidity,WindSpeed,ConditionsRus,EventDateMod
2021,2021011,2021-03-28,1,22,0,1,7,4,1,1,Bahrain Grand Prix,Bahrain Grand Prix,Гран-при Бахрейна,Гран-при Бахрейна,Бахрейн,Bahrain,BAH,Bahrain International Circuit,Международный автодром Бахрейна,Sakhir,Bahrain,BAH,Бахрейн,Сахир,2021-03-28 18:00:00+03:00,Clear,20.5,27.0,54.6,0.84,Ясно,28.03.2021
2021,2021021,2021-04-18,2,22,1,1,16,14,1,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Гран-при Эмилии-Романьи,Гран-при Эмилии-Романьи,Эмилия-Романья,Emilia Romagna,EMI,Imola Circuit,Автодром Энцо и Дино Феррари (Имола),Imola,Italy,ITA,Италия,Имола,2021-04-18 15:00:00+02:00,Wet-drying,10.9,16.4,68.3,0.61,Подсыхающая трасса,18.04.2021
2021,2021031,2021-05-02,3,22,2,1,28,2,1,1,Portuguese Grand Prix,Portuguese Grand Prix,Гран-при Португалии,Гран-при Португалии,Португалия,Portugal,POR,Algarve International Circuit,Междунароодный автодроом Алгарве,Portimao,Portugal,POR,Португалия,Портиман,2021-05-02 15:00:00+01:00,Clear,19.4,39.0,39.4,0.83,Ясно,02.05.2021
2021,2021041,2021-05-09,4,22,3,1,34,9,1,1,Spanish Grand Prix,Spanish Grand Prix,Гран-при Испании,Гран-при Испании,Испания,Spain,ESP,Circuit de Barcelona-Catalunya,Трасса Барселона-Каталунья,Barcelona,Spain,ESP,Испания,Барселона,2021-05-09 15:00:00+02:00,Partly-cloudy,22.4,33.1,57.8,0.52,Переменная облачность,09.05.2021
2021,2021051,2021-05-23,5,22,4,1,27,10,1,1,Monaco Grand Prix,Monaco Grand Prix,Гран-при Монако,Гран-при Монако,Монако,Monaco,MON,Circuit de Monaco,Городская трасса Монако,Monaco,Monaco,MON,Монако,Монте-Карло,2021-05-23 15:00:00+02:00,Sunny,20.8,36.9,60.7,0.37,Солнечно,23.05.2021
2021,2021061,2021-06-06,6,22,5,1,5,5,1,1,Azerbaijan Grand Prix,Azerbaijan Grand Prix,Гран-при Азербайджана,Гран-при Азербайджана,Азербайджан,Azerbaijan,AZR,Baku City Circuit,Городская трасса Баку,Baku,Azerbaijan,AZR,Азербайджан,Баку,2021-06-06 16:00:00+04:00,Cloudy,24.3,38.9,55.6,0.31,Облачно,06.06.2021
2021,2021071,2021-06-20,7,22,6,1,18,7,1,1,French Grand Prix,French Grand Prix,Гран-при Франции,Гран-при Франции,Франция,France,FRA,Circuit Paul Ricard,Трасса Поль Рикар,Le Castellet,France,FRA,Франция,Ле-Кастелле,2021-06-20 15:00:00+02:00,Partly-cloudy,25.6,36.2,57.9,1.32,Переменная облачность,20.06.2021
2021,2021081,2021-06-27,8,22,7,1,35,23,1,1,Styrian Grand Prix,Styrian Grand Prix,Гран-при Штирии,Гран-при Штирии,Штирия,Styria,STE,Red Bull Ring,Трасса Ред Булл Ринг,Spielberg,Austria,AUT,Австрия,Шпильберг,2021-06-27 15:00:00+02:00,Clear,26.8,52.0,32.8,0.4,Ясно,27.06.2021
2021,2021091,2021-07-04,9,22,8,1,3,23,1,1,Austrian Grand Prix,Austrian Grand Prix,Гран-при Австрии,Гран-при Австрии,Австрия,Austria,AUT,Red Bull Ring,Трасса Ред Булл Ринг,Spielberg,Austria,AUT,Австрия,Шпильберг,2021-07-04 15:00:00+02:00,Partly-cloudy,21.5,34.6,47.4,0.48,Переменная облачность,04.07.2021
2021,2021100,2021-07-17,10,22,9,0,11,25,1,1,"British Grand Prix, sprint",British Grand Prix,"Гран-при Великобритании, спринт",Гран-при Великобритании,Великобритания,Great Britain,GBR*,Silverstone Circuit,Трасса Сильверстоун,Silverstone,Great Britain,GBR,Великобритания,Сильверстоун,2021-07-18 15:00:00+01:00,Sunny,27.5,47.7,45.5,0.5,Солнечно,17.07.2021
