DriverID,FullName,SeasonID,SprintIndex,Number,Color,Team,ConsistencyNormalizedAvgTotal,OvertakesNormalizedAvgTotal,QualiTeammateAvgTotal,PaceNormalizedAvgTotal,StartNormalizedAvgTotal,LevelNormalizedAvgTotal,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,LevelNormalizedAvgMean,ConsistencyNormalizedAvgMean,OvertakesNormalizedAvgMean,QualiTeammateAvgMean,PaceNormalizedAvgMean,QualiPositionNormalizedAvgMean,StartNormalizedAvgMean,DropdownTitle
1.0,Lewis Hamilton,2021,0.0,44.0,#00D2BE,Mercedes,5.49,7.10,1.67,6.91,5.61,5.92,5.92,7.55,nan,8.37,5.60,6.25,6.07,6.06,6.31,5.25,5.22,1.44,5.85,2021
1.0,Lewis Hamilton,2022,0.0,44.0,#6CD3BF,Mercedes,5.49,7.10,1.67,6.91,5.61,5.92,4.55,8.33,nan,6.11,3.88,5.33,6.07,6.06,6.31,5.25,5.22,1.44,5.85,2022
1.0,Lewis Hamilton,2023,0.0,44.0,#6CD3BF,Mercedes,5.49,7.10,1.67,6.91,5.61,5.92,6.08,6.88,nan,6.62,6.31,6.34,6.07,6.06,6.31,5.25,5.22,1.44,5.85,2023
1.0,Lewis Hamilton,2024,0.0,44.0,#27F4D2,Mercedes,5.49,7.10,1.67,6.91,5.61,5.92,5.40,5.64,1.67,6.54,6.66,5.77,6.07,6.06,6.31,5.25,5.22,1.44,5.85,2024
1.0,Lewis Hamilton,Все сезоны,0.0,44.0,#27F4D2,Все сезоны,5.49,7.10,1.67,6.91,5.61,5.92,5.49,7.10,1.67,6.91,5.61,5.92,6.07,6.06,6.31,5.25,5.22,1.44,5.85,Все сезоны
1.0,Lewis Hamilton,2021,2.0,44.0,#00D2BE,Mercedes,6.87,6.62,5.16,7.81,6.14,6.62,7.66,6.54,7.73,9.39,6.04,6.97,6.10,6.45,5.59,4.84,5.27,4.68,5.90,2021
1.0,Lewis Hamilton,2022,2.0,44.0,#6CD3BF,Mercedes,6.87,6.62,5.16,7.81,6.14,6.62,7.07,6.61,5.91,7.29,6.16,6.73,6.10,6.45,5.59,4.84,5.27,4.68,5.90,2022
1.0,Lewis Hamilton,2023,2.0,44.0,#6CD3BF,Mercedes,6.87,6.62,5.16,7.81,6.14,6.62,6.37,6.73,5.00,7.08,5.88,6.34,6.10,6.45,5.59,4.84,5.27,4.68,5.90,2023
1.0,Lewis Hamilton,2024,2.0,44.0,#27F4D2,Mercedes,6.87,6.62,5.16,7.81,6.14,6.62,6.37,6.61,2.00,7.46,6.48,6.46,6.10,6.45,5.59,4.84,5.27,4.68,5.90,2024
1.0,Lewis Hamilton,Все сезоны,2.0,44.0,#27F4D2,Все сезоны,6.87,6.62,5.16,7.81,6.14,6.62,6.87,6.62,5.16,7.81,6.14,6.62,6.10,6.45,5.59,4.84,5.27,4.68,5.90,Все сезоны
1.0,Lewis Hamilton,2021,1.0,44.0,#00D2BE,Mercedes,7.11,6.58,5.18,7.98,6.19,6.75,7.92,6.39,7.73,9.54,6.10,7.08,6.09,6.50,5.43,4.81,5.31,5.25,5.94,2021
1.0,Lewis Hamilton,2022,1.0,44.0,#6CD3BF,Mercedes,7.11,6.58,5.18,7.98,6.19,6.75,7.43,6.36,5.91,7.46,6.49,6.93,6.09,6.50,5.43,4.81,5.31,5.25,5.94,2022
1.0,Lewis Hamilton,2023,1.0,44.0,#6CD3BF,Mercedes,7.11,6.58,5.18,7.98,6.19,6.75,6.45,6.69,5.00,7.21,5.76,6.34,6.09,6.50,5.43,4.81,5.31,5.25,5.94,2023
1.0,Lewis Hamilton,2024,1.0,44.0,#27F4D2,Mercedes,7.11,6.58,5.18,7.98,6.19,6.75,6.64,6.87,2.08,7.72,6.42,6.64,6.09,6.50,5.43,4.81,5.31,5.25,5.94,2024
1.0,Lewis Hamilton,Все сезоны,1.0,44.0,#27F4D2,Все сезоны,7.11,6.58,5.18,7.98,6.19,6.75,7.11,6.58,5.18,7.98,6.19,6.75,6.09,6.50,5.43,4.81,5.31,5.25,5.94,Все сезоны
