DriverID,Abbreviation,FirstName,LastName,FullName,BirthDate,BirthDay,BirthPlace
1.0,HAM,Lewis,Hamilton,Lewis Hamilton,1985-01-07,7 January 1985,"Stevenage, England"
2.0,VER,Max,Verstappen,Max Verstappen,1997-09-30,30 September 1997,"Hasselt, Belgium"
3.0,BOT,Valtteri,Bottas,Valtteri Bottas,1989-08-28,28 August 1989,"Nastola, Finland"
4.0,NOR,Lando,Norris,Lando Norris,1999-11-13,13 November 1999,"Nastola, Finland"
5.0,PER,Sergio,Perez,Sergio Perez,1990-01-26,26 January 1990,"Bristol, England"
6.0,LEC,Charles,Leclerc,Charles Leclerc,1997-10-16,16 October 1997,"Monte Carlo, Monaco"
7.0,RIC,Daniel,Ricciardo,Daniel Ricciardo,1989-07-01,1 July 1989,"Perth, Australia"
8.0,SAI,Carlos,Sainz,Carlos Sainz,1994-09-01,1 September 1994,"Madrid, Spain"
9.0,TSU,Yuki,Tsunoda,Yuki Tsunoda,2000-05-11,11 May 2000,"Sagamihara, Japan"
10.0,STR,Lance,Stroll,Lance Stroll,1998-10-29,29 October 1998,"Montreal, Canada"
11.0,RAI,Kimi,Räikkönen,Kimi Räikkönen,1979-10-17,17 October 1979,"Espoo, Finland"
12.0,GIO,Antonio,Giovinazzi,Antonio Giovinazzi,1993-12-14,14 December 1993,"Martina Franca, Italy"
13.0,OCO,Esteban,Ocon,Esteban Ocon,1996-09-17,17 September 1996,"Évreux, France"
14.0,RUS,George,Russell,George Russell,1998-02-15,15 February 1998,"King's Lynn, England"
15.0,VET,Sebastian,Vettel,Sebastian Vettel,1987-07-03,3 July 1987,"Heppenheim, Germany"
16.0,MSC,Mick,Schumacher,Mick Schumacher,1999-03-22,22 March 1999,"Vufflens-le-Château, Switzerland"
17.0,GAS,Pierre,Gasly,Pierre Gasly,1996-02-07,7 February 1996,"Rouen, France"
18.0,LAT,Nicholas,Latifi,Nicholas Latifi,1995-06-29,29 June 1995,"Montreal, Canada"
19.0,ALO,Fernando,Alonso,Fernando Alonso,1981-07-29,29 July 1981,"Oviedo, Spain"
20.0,MAZ,Nikita,Mazepin,Nikita Mazepin,1999-03-02,"March 2, 1999","Moscow, Russia"
21.0,KUB,Robert,Kubica,Robert Kubica,1984-12-07,7 December 1984,"Kraków, Poland"
22.0,MAG,Kevin,Magnussen,Kevin Magnussen,1992-10-05,5 October 1992,"Roskilde, Denmark"
23.0,ZHO,Guanyu,Zhou,Guanyu Zhou,1999-05-30,30 May 1999,"Shanghai, China"
24.0,ALB,Alexander,Albon,Alexander Albon,1996-03-23,23 March 1996,"London, England"
25.0,HUL,Nico,Hulkenberg,Nico Hulkenberg,1987-08-19,19 August 1987,"Emmerich am Rhein, Germany"
26.0,DEV,Nyck,De Vries,Nyck De Vries,1995-02-06,6 February 1995,"Uitwellingerga, Netherlands"
27.0,SAR,Logan,Sargeant,Logan Sargeant,2000-12-31,31 December 2000,"Fort Lauderdale, U.S.A"
28.0,PIA,Oscar,Piastri,Oscar Piastri,2001-04-06,6 April 2001,"Melbourne, Australia"
29.0,LAW,Liam,Lawson,Liam Lawson,2002-02-11,11 February 2002,"Hastings, New Zealand"
30.0,BEA,Oliver,Bearman,Oliver Bearman,2005-05-08,8 May 2005,"London, England"
31.0,COL,Franco,Colapinto,Franco Colapinto,2003-05-27,27 May 2003,"Pilar, Argentina"
32.0,DOO,Jack,Doohan,Jack Doohan,,20 January 2003,"Gold Coast, Australia"
