FullName,Abbreviation,Number,Time,GridPosition,ClassifiedPosition,Gain,PointsOfficial
Lando Norris,NOR,4,1:26:33.291,1,1,0,25
Carlos Sainz,SAI,55,+5.832,3,2,1,18
Charles Leclerc,LEC,16,+31.928,19,3,16,15
Lewis Hamilton,HAM,44,+36.483,16,4,12,12
George Russell,RUS,63,+37.538,6,5,1,10
Max Verstappen,VER,1,+49.847,4,6,-2,8
Pierre Gasly,GAS,10,+1:12.560,5,7,-2,6
Nico Hulkenberg,HUL,27,+1:15.554,7,8,-1,4
Fernando Alonso,ALO,14,+1:22.373,8,9,-1,2
Oscar Piastri,PIA,81,+1:23.821,2,10,-8,1
Alexander Albon,ALB,23,+1 Lap,18,11,7,0
Yuki Tsunoda,TSU,22,+1 Lap,11,12,-1,0
Guanyu Zhou,ZHO,24,+1 Lap,15,13,2,0
Lance Stroll,STR,18,+1 Lap,13,14,-1,0
Jack Doohan,DOO,61,+1 Lap,17,15,2,0
Kevin Magnussen,MAG,20,+1 Lap,14,16,-2,0
Liam Lawson,LAW,30,+1 Lap,12,17,-5,0
Valtteri Bottas,BOT,77,DNF,9,DNF,-,0
Franco Colapinto,COL,43,DNF,20,DNF,-,0
Sergio Perez,PER,11,DNF,10,DNF,-,0
