FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Oscar Piastri,81,1:32:58.007,2,1,25
Charles Leclerc,16,+10.910,1,2,18
George Russell,63,+31.328,5,3,15
Lando Norris,4,+36.143,15,4,13
Max Verstappen,1,+1:17.098,6,5,10
Fernando Alonso,14,+1:25.468,7,6,8
Alexander Albon,23,+1:27.396,9,7,6
Franco Colapinto,43,+1:29.541,8,8,4
Lewis Hamilton,44,+1:32.401,PLS,9,2
Oliver Bearman,50,+1:33.127,10,10,1
Nico Hulkenberg,27,+1:33.465,12,11,0
Pierre Gasly,10,+1:57.189,18,12,0
Daniel Ricciardo,3,+2:26.907,14,13,0
Guanyu Zhou,24,+2:28.841,17,14,0
Esteban Ocon,31,+1 Lap,PLS,15,0
Valtteri Bottas,77,+1 Lap,16,16,0
Sergio Perez,11,DNF,4,DNF,0
Carlos Sainz,55,DNF,3,DNF,0
Lance Stroll,18,DNF,13,DNF,0
Yuki Tsunoda,22,DNF,11,DNF,0
