SeasonID,DriverID,FullName,SprintIndex,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,ConsistencyAvg,OvertakesSum,OvertakesAvg,OvertakesGainAvg,OvertakesLostAvg,PaceAvg,StartSum,StartAvg,StartGainAvg,StartLostAvg,PaceStrAvg
2021,3.0,Valtteri Bottas,0.0,9.91,5.48,nan,9.68,6.31,7.90,0.097,0.0,0.0,0.00,0.00,82.40233333333333,1.0,0.3333333333333333,0.33,0.00,01:22.402
2022,3.0,Valtteri Bottas,0.0,5.56,7.99,nan,5.32,4.29,5.85,0.233,6.0,2.0,2.33,0.33,76.07600000000001,-2.0,-0.6666666666666666,1.00,1.67,01:16.076
2023,3.0,Valtteri Bottas,0.0,4.08,5.28,nan,1.95,4.73,4.54,0.452,-13.0,-2.1666666666666665,0.67,2.83,96.83516666666667,-3.0,-0.5,0.17,0.67,01:36.835
2024,3.0,Valtteri Bottas,0.0,5.18,5.71,8.33,2.66,6.15,5.56,0.273,-4.0,-0.6666666666666666,0.50,1.17,88.02066666666667,0.0,0.0,0.67,0.67,01:28.021
Все сезоны,3.0,Valtteri Bottas,0.0,6.18,6.12,8.33,4.90,5.37,5.96,0.264,-2.75,-0.2083333333333333,0.88,1.08,85.83354166666668,-1.0,-0.20833333333333331,0.54,0.75,01:25.834
2021,2.0,Max Verstappen,0.0,8.68,5.67,nan,9.92,5.83,7.21,0.130,1.0,0.3333333333333333,0.33,0.00,82.31099999999999,0.0,0.0,0.67,0.67,01:22.311
2022,2.0,Max Verstappen,0.0,7.58,6.31,nan,9.54,5.33,6.70,0.179,-1.0,-0.3333333333333333,0.67,1.00,74.77499999999999,-1.0,-0.3333333333333333,0.00,0.33,01:14.775
2023,2.0,Max Verstappen,0.0,8.36,7.64,nan,9.77,4.25,7.15,0.300,5.0,0.8333333333333334,0.83,0.00,93.87683333333332,-2.0,-0.3333333333333333,0.33,0.67,01:33.877
2024,2.0,Max Verstappen,0.0,8.89,7.26,10.00,9.74,6.16,7.80,0.159,3.0,0.5,0.67,0.17,86.30583333333334,-2.0,-0.3333333333333333,0.17,0.50,01:26.306
Все сезоны,2.0,Max Verstappen,0.0,8.38,6.72,10.00,9.74,5.39,7.22,0.192,2.0,0.33333333333333337,0.62,0.29,84.31716666666667,-1.25,-0.25,0.29,0.54,01:24.317
2021,1.0,Lewis Hamilton,0.0,5.92,7.55,nan,8.37,5.60,6.25,0.207,11.0,3.6666666666666665,3.67,0.00,82.873,0.0,0.0,1.33,1.33,01:22.873
2022,1.0,Lewis Hamilton,0.0,4.55,8.33,nan,6.11,3.88,5.33,0.268,8.0,2.6666666666666665,2.67,0.00,75.77966666666667,-5.0,-1.6666666666666667,0.00,1.67,01:15.780
2023,1.0,Lewis Hamilton,0.0,6.08,6.88,nan,6.62,6.31,6.34,0.379,2.0,0.3333333333333333,1.67,1.33,95.044,7.0,1.1666666666666667,1.17,0.00,01:35.044
2024,1.0,Lewis Hamilton,0.0,5.40,5.64,1.67,6.54,6.66,5.77,0.283,-7.0,-1.1666666666666667,0.50,1.67,87.07266666666668,3.0,0.5,1.17,0.67,01:27.073
Все сезоны,1.0,Lewis Hamilton,0.0,5.49,7.10,1.67,6.91,5.61,5.92,0.284,3.5,1.3749999999999998,2.12,0.75,85.19233333333334,1.25,0.0,0.92,0.92,01:25.192
2021,4.0,Lando Norris,0.0,6.19,5.65,nan,7.14,6.31,6.08,0.197,1.0,0.3333333333333333,0.67,0.33,83.33033333333333,1.0,0.3333333333333333,1.00,0.67,01:23.330
2022,4.0,Lando Norris,0.0,7.50,5.26,nan,5.76,6.54,6.70,0.194,-4.0,-1.3333333333333333,0.67,2.00,75.92933333333333,2.0,0.6666666666666666,0.67,0.00,01:15.929
2023,4.0,Lando Norris,0.0,6.55,7.27,nan,7.09,3.30,5.92,0.383,4.0,0.6666666666666666,1.50,0.83,94.97716666666668,-13.0,-2.1666666666666665,0.17,2.33,01:34.977
2024,4.0,Lando Norris,0.0,6.27,5.51,6.67,8.71,5.68,5.93,0.226,-2.0,-0.4,0.20,0.60,85.6146,-4.0,-0.8,0.40,1.20,01:25.615
Все сезоны,4.0,Lando Norris,0.0,6.63,5.92,6.67,7.17,5.46,6.16,0.250,-0.25,-0.18333333333333335,0.76,0.94,84.96285833333333,-3.5,-0.49166666666666664,0.56,1.05,01:24.963
2021,6.0,Charles Leclerc,0.0,6.96,5.11,nan,7.35,6.91,6.48,0.165,-2.0,-0.6666666666666666,0.00,0.67,83.235,2.0,0.6666666666666666,0.67,0.00,01:23.235
2022,6.0,Charles Leclerc,0.0,8.19,6.56,nan,9.35,6.83,7.44,0.179,2.0,0.6666666666666666,1.00,0.33,74.82600000000001,1.0,0.3333333333333333,0.33,0.00,01:14.826
2023,6.0,Charles Leclerc,0.0,7.80,6.23,nan,6.60,5.61,6.86,0.277,-5.0,-0.8333333333333334,1.17,2.00,95.08,2.0,0.3333333333333333,0.67,0.33,01:35.080
2024,6.0,Charles Leclerc,0.0,6.01,7.09,5.00,8.61,6.91,6.51,0.253,2.0,0.3333333333333333,0.67,0.33,86.59633333333333,2.0,0.3333333333333333,0.67,0.33,01:26.596
Все сезоны,6.0,Charles Leclerc,0.0,7.24,6.25,5.00,7.98,6.57,6.82,0.218,-0.75,-0.125,0.71,0.83,84.93433333333334,1.75,0.41666666666666663,0.58,0.17,01:24.934
2021,5.0,Sergio Perez,0.0,3.34,4.08,nan,5.85,3.86,3.66,0.340,-10.0,-3.3333333333333335,0.67,4.00,83.883,-5.0,-1.6666666666666667,0.00,1.67,01:23.883
2022,5.0,Sergio Perez,0.0,7.77,8.50,nan,8.74,8.50,8.13,0.186,8.0,2.6666666666666665,2.67,0.00,75.01299999999999,6.0,2.0,2.00,0.00,01:15.013
2023,5.0,Sergio Perez,0.0,6.19,6.94,nan,6.24,3.98,5.83,0.303,-6.0,-1.0,1.17,2.17,95.48116666666668,-5.0,-0.8333333333333334,0.00,0.83,01:35.481
2024,5.0,Sergio Perez,0.0,6.59,8.17,0.00,6.73,6.81,7.04,0.236,8.0,1.3333333333333333,1.33,0.00,87.04183333333333,1.0,0.16666666666666666,0.50,0.33,01:27.042
Все сезоны,5.0,Sergio Perez,0.0,5.97,6.92,0.00,6.89,5.79,6.16,0.266,0.0,-0.08333333333333343,1.46,1.54,85.35475,-0.75,-0.08333333333333337,0.62,0.71,01:25.355
2021,7.0,Daniel Ricciardo,0.0,6.43,5.63,nan,6.48,6.03,6.13,0.190,1.0,0.3333333333333333,0.67,0.33,83.52066666666667,-1.0,-0.3333333333333333,0.67,1.00,01:23.521
2022,7.0,Daniel Ricciardo,0.0,5.45,7.01,nan,5.22,6.54,6.11,0.232,3.0,1.0,1.33,0.33,76.10533333333333,2.0,0.6666666666666666,1.33,0.67,01:16.105
2023,7.0,Daniel Ricciardo,0.0,3.80,6.87,nan,4.73,2.70,4.29,0.394,-1.0,-0.3333333333333333,1.00,1.33,100.699,-3.0,-1.0,0.00,1.00,01:40.699
2024,7.0,Daniel Ricciardo,0.0,5.20,8.48,6.67,4.27,6.83,6.43,0.227,3.0,1.0,1.33,0.33,88.623,1.0,0.3333333333333333,0.67,0.33,01:28.623
Все сезоны,7.0,Daniel Ricciardo,0.0,5.22,7.00,6.67,5.17,5.52,5.74,0.261,1.5,0.5,1.08,0.58,87.237,-0.25,-0.08333333333333336,0.67,0.75,01:27.237
2021,13.0,Esteban Ocon,0.0,7.60,5.46,nan,4.49,7.14,6.95,0.183,0.0,0.0,0.33,0.33,84.361,4.0,1.3333333333333333,1.33,0.00,01:24.361
2022,13.0,Esteban Ocon,0.0,5.27,3.86,nan,4.02,6.45,5.22,0.236,-12.0,-4.0,0.33,4.33,76.481,0.0,0.0,0.33,0.33,01:16.481
2023,13.0,Esteban Ocon,0.0,7.83,7.11,nan,4.27,6.36,7.28,0.301,1.0,0.16666666666666666,0.83,0.67,96.01350000000001,5.0,0.8333333333333334,1.00,0.17,01:36.014
2024,13.0,Esteban Ocon,0.0,7.15,7.40,3.33,3.49,6.91,7.15,0.220,5.0,0.8333333333333334,1.17,0.33,87.79933333333332,4.0,0.6666666666666666,1.33,0.67,01:27.799
Все сезоны,13.0,Esteban Ocon,0.0,6.96,5.96,3.33,4.07,6.72,6.65,0.235,-1.5,-0.75,0.67,1.42,86.16370833333333,3.25,0.7083333333333333,1.00,0.29,01:26.164
2021,8.0,Carlos Sainz,0.0,6.67,6.46,nan,5.94,4.77,6.14,0.199,6.0,2.0,2.33,0.33,83.83966666666667,-7.0,-2.3333333333333335,1.00,3.33,01:23.840
2022,8.0,Carlos Sainz,0.0,6.48,8.44,nan,8.72,7.58,7.25,0.221,7.0,2.3333333333333335,2.33,0.00,75.00233333333334,2.0,0.6666666666666666,0.67,0.00,01:15.002
2023,8.0,Carlos Sainz,0.0,7.28,6.47,nan,6.18,6.48,6.88,0.298,-2.0,-0.3333333333333333,0.50,0.83,95.20049999999999,6.0,1.0,1.00,0.00,01:35.200
2024,8.0,Carlos Sainz,0.0,6.78,6.65,5.00,8.20,6.86,6.77,0.221,0.0,0.0,0.50,0.50,86.68033333333334,2.0,0.3333333333333333,0.33,0.00,01:26.680
Все сезоны,8.0,Carlos Sainz,0.0,6.80,7.00,5.00,7.26,6.42,6.76,0.235,2.75,1.0000000000000002,1.42,0.42,85.18070833333334,0.75,-0.08333333333333341,0.75,0.83,01:25.181
2021,14.0,George Russell,0.0,8.28,6.70,nan,3.96,3.26,6.63,0.159,4.0,1.3333333333333333,1.33,0.00,84.522,-6.0,-2.0,0.00,2.00,01:24.522
2022,14.0,George Russell,0.0,6.78,7.11,nan,7.34,5.33,6.50,0.198,3.0,1.0,1.00,0.00,75.40633333333334,-1.0,-0.3333333333333333,0.00,0.33,01:15.406
2023,14.0,George Russell,0.0,6.28,6.91,nan,7.36,8.04,6.88,0.341,3.0,0.5,1.67,1.17,94.82600000000001,11.0,1.8333333333333333,1.83,0.00,01:34.826
2024,14.0,George Russell,0.0,6.97,7.05,8.33,6.89,5.04,6.51,0.224,4.0,0.6666666666666666,1.00,0.33,86.988,-9.0,-1.5,0.33,1.83,01:26.988
Все сезоны,14.0,George Russell,0.0,7.08,6.94,8.33,6.39,5.41,6.63,0.231,3.5,0.8749999999999999,1.25,0.38,85.43558333333334,-1.25,-0.5,0.54,1.04,01:25.436
2021,17.0,Pierre Gasly,0.0,5.84,4.88,nan,4.52,3.70,5.07,0.216,-1.0,-0.5,0.50,1.00,83.46700000000001,-3.0,-1.5,0.50,2.00,01:23.467
2022,17.0,Pierre Gasly,0.0,5.12,7.90,nan,4.32,4.37,5.63,0.254,5.0,1.6666666666666667,2.33,0.67,76.36466666666666,-8.0,-2.6666666666666665,0.33,3.00,01:16.365
2023,17.0,Pierre Gasly,0.0,5.97,6.73,nan,4.35,5.36,6.01,0.362,-6.0,-1.0,1.17,2.17,95.86766666666666,-1.0,-0.16666666666666666,0.50,0.67,01:35.868
2024,17.0,Pierre Gasly,0.0,6.57,6.34,6.67,4.54,5.49,6.25,0.230,1.0,0.16666666666666666,0.50,0.33,87.5695,-2.0,-0.3333333333333333,0.67,1.00,01:27.570
Все сезоны,17.0,Pierre Gasly,0.0,5.88,6.46,6.67,4.43,4.73,5.74,0.266,-0.25,0.08333333333333334,1.12,1.04,85.81720833333334,-3.5,-1.1666666666666665,0.50,1.67,01:25.817
2021,10.0,Lance Stroll,0.0,6.10,5.25,nan,4.14,7.29,6.18,0.238,0.0,0.0,1.00,1.00,84.45733333333334,3.0,1.0,1.33,0.33,01:24.457
2022,10.0,Lance Stroll,0.0,6.09,5.51,nan,3.97,7.43,6.28,0.222,-4.0,-1.3333333333333333,1.00,2.33,76.479,4.0,1.3333333333333333,2.00,0.67,01:16.479
2023,10.0,Lance Stroll,0.0,6.66,8.02,nan,4.56,5.40,6.68,0.300,6.0,1.0,1.50,0.50,95.9225,4.0,0.6666666666666666,0.83,0.17,01:35.922
2024,10.0,Lance Stroll,0.0,7.04,6.03,5.00,3.49,7.15,6.81,0.234,-1.0,-0.2,0.60,0.80,86.9042,-9.0,-1.5,0.80,0.20,01:26.904
Все сезоны,10.0,Lance Stroll,0.0,6.47,6.20,5.00,4.04,6.82,6.49,0.249,0.25,-0.1333333333333333,1.02,1.16,85.94075833333333,0.5,0.3749999999999999,1.24,0.34,01:25.941
2021,15.0,Sebastian Vettel,0.0,6.46,5.04,nan,4.66,6.34,6.08,0.221,-1.0,-0.3333333333333333,0.33,0.67,84.29166666666667,2.0,0.6666666666666666,1.33,0.67,01:24.292
2022,15.0,Sebastian Vettel,0.0,2.75,4.07,nan,4.13,7.00,4.14,0.315,-6.0,-2.0,1.00,3.00,76.415,4.0,1.3333333333333333,2.00,0.67,01:16.415
Все сезоны,15.0,Sebastian Vettel,0.0,4.61,4.55,nan,4.39,6.67,5.11,0.268,-3.5,-1.1666666666666667,0.67,1.83,80.35333333333334,3.0,1.0,1.67,0.67,01:20.353
2021,9.0,Yuki Tsunoda,0.0,5.50,6.75,nan,3.66,4.83,5.64,0.229,3.0,1.0,2.00,1.00,84.64766666666667,-3.0,-1.0,0.33,1.33,01:24.648
2022,9.0,Yuki Tsunoda,0.0,5.47,6.64,nan,3.65,7.26,6.21,0.249,1.0,0.3333333333333333,2.00,1.67,76.58966666666667,0.0,0.0,1.67,1.67,01:16.590
2023,9.0,Yuki Tsunoda,0.0,4.20,7.69,nan,4.23,4.63,5.18,0.508,3.0,0.6,1.20,0.60,93.95439999999999,-2.0,-0.3333333333333333,0.60,1.00,01:33.954
2024,9.0,Yuki Tsunoda,0.0,5.99,6.85,3.33,3.28,7.26,6.52,0.260,2.0,0.3333333333333333,1.00,0.67,87.85566666666666,5.0,0.8333333333333334,1.17,0.33,01:27.856
Все сезоны,9.0,Yuki Tsunoda,0.0,5.29,6.98,3.33,3.71,6.00,5.89,0.311,2.25,0.5666666666666667,1.55,0.98,85.76185,0.0,-0.12499999999999997,0.94,1.08,01:25.762
2021,12.0,Antonio Giovinazzi,0.0,7.21,5.30,nan,4.54,7.14,6.72,0.181,-1.0,-0.3333333333333333,0.67,1.00,84.292,2.0,0.6666666666666666,1.33,0.67,01:24.292
Все сезоны,12.0,Antonio Giovinazzi,0.0,7.21,5.30,nan,4.54,7.14,6.72,0.181,-1.0,-0.3333333333333333,0.67,1.00,84.292,2.0,0.6666666666666666,1.33,0.67,01:24.292
2021,11.0,Kimi Räikkönen,0.0,4.54,3.75,nan,3.37,6.83,4.91,0.243,-5.0,-2.5,1.50,4.00,83.798,4.0,2.0,2.50,0.50,01:23.798
Все сезоны,11.0,Kimi Räikkönen,0.0,4.54,3.75,nan,3.37,6.83,4.91,0.243,-5.0,-2.5,1.50,4.00,83.798,4.0,2.0,2.50,0.50,01:23.798
2021,19.0,Fernando Alonso,0.0,3.88,5.39,nan,4.64,6.23,4.85,0.299,-2.0,-0.6666666666666666,0.67,1.33,84.298,4.0,1.3333333333333333,2.00,0.67,01:24.298
2022,19.0,Fernando Alonso,0.0,6.86,5.72,nan,6.37,3.81,5.81,0.223,-1.0,-0.5,1.00,1.50,78.51849999999999,-1.0,-0.5,0.50,1.00,01:18.518
2023,19.0,Fernando Alonso,0.0,6.73,8.07,nan,5.22,6.83,7.09,0.287,5.0,1.0,1.60,0.60,90.0056,1.0,0.16666666666666666,1.00,0.80,01:30.006
2024,19.0,Fernando Alonso,0.0,3.93,5.50,5.00,3.37,4.91,4.57,0.323,-3.0,-0.5,0.83,1.33,87.83266666666667,-11.0,-1.8333333333333333,0.50,2.33,01:27.833
Все сезоны,19.0,Fernando Alonso,0.0,5.35,6.17,5.00,4.90,5.45,5.58,0.283,-0.25,-0.16666666666666663,1.02,1.19,85.16369166666667,-1.75,-0.20833333333333334,1.00,1.20,01:25.164
2021,18.0,Nicholas Latifi,0.0,5.54,5.51,nan,3.67,6.46,5.76,0.241,0.0,0.0,0.67,0.67,84.641,2.0,0.6666666666666666,1.00,0.33,01:24.641
2022,18.0,Nicholas Latifi,0.0,4.29,4.51,nan,1.00,4.95,4.51,0.273,-7.0,-2.3333333333333335,0.67,3.00,77.425,-2.0,-0.6666666666666666,0.33,1.00,01:17.425
Все сезоны,18.0,Nicholas Latifi,0.0,4.92,5.01,nan,2.33,5.71,5.14,0.257,-3.5,-1.1666666666666667,0.67,1.83,81.033,0.0,0.0,0.67,0.67,01:21.033
2021,20.0,Nikita Mazepin,0.0,6.51,5.06,nan,1.19,6.66,6.18,0.204,-1.0,-0.3333333333333333,0.67,1.00,85.54199999999999,1.0,0.3333333333333333,0.67,0.33,01:25.542
Все сезоны,20.0,Nikita Mazepin,0.0,6.51,5.06,nan,1.19,6.66,6.18,0.204,-1.0,-0.3333333333333333,0.67,1.00,85.54199999999999,1.0,0.3333333333333333,0.67,0.33,01:25.542
2021,21.0,Robert Kubica,0.0,6.85,6.14,nan,1.26,4.60,6.11,0.229,0.0,0.0,1.00,1.00,87.523,-1.0,-1.0,0.00,1.00,01:27.523
Все сезоны,21.0,Robert Kubica,0.0,6.85,6.14,nan,1.26,4.60,6.11,0.229,0.0,0.0,1.00,1.00,87.523,-1.0,-1.0,0.00,1.00,01:27.523
2021,16.0,Mick Schumacher,0.0,3.26,3.77,nan,1.37,6.06,4.08,0.302,-4.0,-1.3333333333333333,0.67,2.00,85.50866666666667,0.0,0.0,0.33,0.33,01:25.509
