SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,6_Laptime,8_Laptime,6_PaceDiff,8_PaceDiff,6_PaceDiffClear,8_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2021,2021011,1.0,1,Ferrari,,,,,,,,-,-,-,,-,,-,
1,2021,2021011,2.0,2,Ferrari,,,,,,,,-,-,-,,-,,-,
1,2021,2021011,3.0,3,Ferrari,,,,,,,,-,-,-,,-,,-,
1,2021,2021011,4.0,4,Ferrari,,,,,,,,-,-,-,,-,,-,
1,2021,2021011,5.0,5,Ferrari,,,,,,,,-,-,-,,-,,-,
1,2021,2021011,6.0,6,Ferrari,98.294,97.112,0.587,-0.595,0.587,-0.595,97.707,-1.182,8.0,-1.182,8,-0.004,-0.0040000000000000036,-0.004,-0.0040000000000000036
1,2021,2021011,7.0,7,Ferrari,97.148,97.139,-0.339,-0.348,-0.339,-0.348,97.491,-0.009,8.0,-0.009,8,-0.344,-0.3435,-0.344,-0.3435
1,2021,2021011,8.0,8,Ferrari,97.886,97.829,0.244,0.187,0.244,0.187,97.696,-0.057,8.0,-0.057,8,0.215,0.2155,0.215,0.2155
1,2021,2021011,9.0,9,Ferrari,98.667,98.396,0.96,0.689,-0.005,0.213,97.91,-0.271,8.0,0.218,6,0.825,0.8245,0.104,0.104
1,2021,2021011,10.0,10,Ferrari,97.518,98.012,-0.04,0.454,-0.04,0.454,97.607,0.494,6.0,0.494,6,0.207,0.20700000000000002,0.207,0.20700000000000002
1,2021,2021011,11.0,11,Ferrari,97.729,97.562,0.147,-0.02,0.147,-0.02,97.604,-0.167,8.0,-0.167,8,0.064,0.0635,0.064,0.0635
1,2021,2021011,12.0,12,Ferrari,,97.716,,-0.098,,-0.203,97.954,-,-,-,,-,-0.11816666666666664,-,-0.11816666666666664
1,2021,2021011,13.0,13,Ferrari,,97.66,,0.042,,0.042,97.618,-,-,-,,-,-0.2998333333333333,-,-0.2998333333333333
1,2021,2021011,14.0,14,Ferrari,95.552,97.591,-1.501,0.538,-1.501,0.538,97.103,2.039,6.0,2.039,6,-0.481,-0.48149999999999993,-0.481,-0.48149999999999993
1,2021,2021011,15.0,15,Ferrari,95.955,,-0.648,,-0.648,,96.603,-,-,-,,-,-0.45399999999999996,-,-0.5393333333333333
1,2021,2021011,16.0,16,Ferrari,96.415,,-0.415,,-0.415,,97.038,-,-,-,,-,-0.4265,-,-0.5971666666666666
1,2021,2021011,17.0,17,Ferrari,96.936,96.15,-0.006,-0.792,-0.518,-0.792,97.008,-0.786,8.0,-0.274,8,-0.399,-0.399,-0.655,-0.655
