SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,11_Laptime,12_Laptime,21_Laptime,11_PaceDiff,12_PaceDiff,21_PaceDiff,11_PaceDiffClear,12_PaceDiffClear,21_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2021,2021011,1.0,1,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
2,2021,2021011,2.0,2,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
2,2021,2021011,3.0,3,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
2,2021,2021011,4.0,4,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
2,2021,2021011,5.0,5,Alfa Romeo,,,,,,,,,,,-,-,-,,-,,-,
2,2021,2021011,6.0,6,Alfa Romeo,97.831,97.852,,0.124,0.145,,0.124,0.145,,97.707,-,11.0,-,11,-,,-,
2,2021,2021011,7.0,7,Alfa Romeo,98.014,97.993,,0.527,0.506,,0.527,0.425,,97.491,-,12.0,-,12,-,,-,
2,2021,2021011,8.0,8,Alfa Romeo,98.015,97.972,,0.373,0.33,,0.373,0.33,,97.696,-,12.0,-,12,-,,-,
2,2021,2021011,9.0,9,Alfa Romeo,97.993,98.008,,0.286,0.301,,0.286,0.301,,97.91,-,11.0,-,11,-,,-,
2,2021,2021011,10.0,10,Alfa Romeo,97.622,97.846,,0.064,0.288,,0.064,0.288,,97.607,-,11.0,-,11,-,,-,
2,2021,2021011,11.0,11,Alfa Romeo,98.086,97.765,,0.504,0.183,,0.12,0.183,,97.604,-,12.0,-,11,-,,-,
2,2021,2021011,12.0,12,Alfa Romeo,97.783,,,-0.031,,,-0.031,,,97.954,-,-,-,,-,,-,
2,2021,2021011,13.0,13,Alfa Romeo,,,,,,,,,,97.618,-,-,-,,-,,-,
2,2021,2021011,14.0,14,Alfa Romeo,,97.462,,,0.409,,,0.409,,97.103,-,-,-,,-,,-,
2,2021,2021011,15.0,15,Alfa Romeo,96.336,96.79,,-0.267,0.187,,-0.267,0.187,,96.603,-,11.0,-,11,-,,-,
2,2021,2021011,16.0,16,Alfa Romeo,97.309,97.458,,0.479,0.628,,-0.077,0.166,,97.038,-,11.0,-,11,-,,-,
2,2021,2021011,17.0,17,Alfa Romeo,97.169,97.201,,0.227,0.259,,0.227,0.259,,97.008,-,11.0,-,11,-,,-,
2,2021,2021011,18.0,18,Alfa Romeo,97.151,97.139,,0.171,0.159,,0.171,0.159,,97.033,-,12.0,-,12,-,,-,
2,2021,2021011,19.0,19,Alfa Romeo,97.121,97.005,,0.506,0.39,,0.506,0.39,,96.692,-,12.0,-,12,-,,-,
2,2021,2021011,20.0,20,Alfa Romeo,96.923,97.279,,-0.055,0.301,,-0.055,0.301,,97.234,-,11.0,-,11,-,,-,
2,2021,2021011,21.0,21,Alfa Romeo,97.665,97.387,,0.666,0.388,,0.248,0.388,,97.165,-,12.0,-,11,-,,-,
2,2021,2021011,22.0,22,Alfa Romeo,97.571,97.442,,0.673,0.544,,0.673,0.544,,96.907,-,12.0,-,12,-,,-,
2,2021,2021011,23.0,23,Alfa Romeo,96.985,96.936,,0.304,0.255,,0.304,0.255,,96.731,-,12.0,-,12,-,,-,
2,2021,2021011,24.0,24,Alfa Romeo,96.897,97.236,,0.381,0.72,,0.381,0.401,,96.567,-,11.0,-,11,-,,-,
2,2021,2021011,25.0,25,Alfa Romeo,97.019,96.899,,0.492,0.372,,0.492,0.372,,96.64,-,12.0,-,12,-,,-,
2,2021,2021011,26.0,26,Alfa Romeo,96.852,96.918,,0.317,0.383,,0.317,0.383,,96.702,-,11.0,-,11,-,,-,
2,2021,2021011,27.0,27,Alfa Romeo,96.495,97.21,,-0.142,0.573,,-0.142,0.292,,96.707,-,11.0,-,11,-,,-,
2,2021,2021011,28.0,28,Alfa Romeo,96.531,96.94,,-0.126,0.283,,-0.126,0.283,,96.657,-,11.0,-,11,-,,-,
2,2021,2021011,29.0,29,Alfa Romeo,,96.987,,,0.255,,,0.255,,96.862,-,-,-,,-,,-,
2,2021,2021011,30.0,30,Alfa Romeo,,,,,,,,,,96.628,-,-,-,,-,,-,
2,2021,2021011,31.0,31,Alfa Romeo,96.452,,,-0.089,,,-0.089,,,96.589,-,-,-,,-,,-,
2,2021,2021011,32.0,32,Alfa Romeo,96.941,95.122,,0.774,-1.045,,0.452,-1.045,,96.205,-,12.0,-,12,-,,-,
2,2021,2021011,33.0,33,Alfa Romeo,96.786,96.937,,0.932,1.083,,0.932,-0.249,,96.12,-,11.0,-,12,-,,-,
2,2021,2021011,34.0,34,Alfa Romeo,96.014,96.088,,0.138,0.212,,0.138,0.212,,95.918,-,11.0,-,11,-,,-,
2,2021,2021011,35.0,35,Alfa Romeo,96.791,96.11,,0.858,0.177,,0.129,0.177,,96.082,-,12.0,-,11,-,,-,
2,2021,2021011,36.0,36,Alfa Romeo,96.11,95.713,,0.335,-0.062,,0.335,-0.062,,95.9,-,12.0,-,12,-,,-,
2,2021,2021011,37.0,37,Alfa Romeo,95.842,95.952,,0.141,0.251,,0.141,0.251,,95.844,-,11.0,-,11,-,,-,
2,2021,2021011,38.0,38,Alfa Romeo,96.645,96.306,,0.93,0.591,,0.492,0.591,,95.759,-,12.0,-,11,-,,-,
2,2021,2021011,39.0,39,Alfa Romeo,96.572,96.424,,0.834,0.686,,0.834,0.686,,95.807,-,12.0,-,12,-,,-,
2,2021,2021011,40.0,40,Alfa Romeo,96.888,96.515,,1.163,0.79,,1.163,0.79,,95.77,-,12.0,-,12,-,,-,
