SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,1,2.0,0,0,0.117,0,0,0,0,,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,2,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,3.0,3,91.618,91.618,0,0,-,-,1.045,1.596,0.247,6.0,1.045,1.596,0.247,6.0,-0.551,M,#F0E628,3,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,4.0,4,91.031,91.031,0,0,91.324,0.587,1.468,1.178,0.879,6.0,1.468,1.178,0.879,6.0,0.29,M,#F0E628,4,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,5.0,5,91.221,91.077,1,0,91.054,0.190,1.314,1.231,0.699,6.0,1.458,1.375,0.770,6.0,0.083,M,#F0E628,5,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,6.0,6,91.123,91.123,0,0,91.1,0.098,1.418,1.784,0.526,6.0,1.418,1.784,0.526,6.0,-0.366,M,#F0E628,6,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,7.0,7,91.105,91.105,0,0,91.114,0.018,1.419,1.980,0.429,6.0,1.419,1.980,0.429,6.0,-0.561,M,#F0E628,7,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,8.0,8,91.157,91.157,0,0,91.131,0.052,1.325,1.711,0.469,6.0,1.325,1.711,0.469,6.0,-0.386,M,#F0E628,8,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,9.0,9,90.756,90.756,0,0,90.956,0.401,1.71,2.302,0.559,6.0,1.710,2.302,0.559,6.0,-0.592,M,#F0E628,9,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,10.0,10,90.921,90.8,1,0,90.778,0.165,1.462,1.070,0.927,6.0,1.582,1.190,0.987,6.0,0.392,M,#F0E628,10,2.0,0,1,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,11.0,11,90.845,90.845,0,0,90.823,0.076,1.368,1.274,0.731,6.0,1.368,1.274,0.731,6.0,0.094,M,#F0E628,11,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,12.0,12,90.678,90.678,0,0,90.762,0.167,1.468,2.387,0.274,6.0,1.468,1.838,0.549,6.0,-0.919,M,#F0E628,12,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,13.0,13,90.814,90.814,0,0,90.746,0.136,1.293,2.099,0.243,6.0,1.293,2.099,0.243,6.0,-0.806,M,#F0E628,13,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,14.0,14,90.544,90.544,0,0,90.679,0.270,1.489,1.574,0.702,6.0,1.489,1.574,0.702,6.0,-0.085,M,#F0E628,14,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,15.0,15,90.555,90.555,0,0,90.55,0.011,1.461,1.599,0.661,6.0,1.461,1.599,0.661,6.0,-0.138,M,#F0E628,15,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,16.0,16,90.163,90.163,0,0,90.359,0.392,1.725,2.084,0.683,6.0,1.725,2.084,0.683,6.0,-0.359,M,#F0E628,16,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,6,LEC,Charles Leclerc,16,#CC1400,17.0,17,90.686,90.686,0,0,90.424,0.523,1.109,1.540,0.339,6.0,1.109,1.540,0.339,6.0,-0.431,M,#F0E628,17,2.0,0,0,0.117,0,0,0,0,0.0,4
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,1,1.0,0,0,0.226,0,0,0,0,,18
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,2,1.0,0,0,0.226,0,0,0,0,2.0,16
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,3.0,3,93.214,93.214,0,0,-,-,-0.551,1.596,0.247,6.0,-0.551,1.596,0.247,6.0,1.045,M,#F0E628,3,1.0,0,0,0.226,0,0,0,0,1.0,15
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,4.0,4,92.209,92.209,0,0,92.712,1.005,0.29,1.178,0.879,6.0,0.290,1.178,0.879,6.0,1.468,M,#F0E628,4,1.0,0,0,0.226,0,0,0,0,1.0,14
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,5.0,5,92.452,92.452,0,0,92.33,0.243,0.083,1.231,0.699,6.0,0.083,1.375,0.770,6.0,1.314,M,#F0E628,5,1.0,0,0,0.226,0,0,0,0,1.0,13
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,6.0,6,92.907,92.907,0,0,92.679,0.455,-0.366,1.784,0.526,6.0,-0.366,1.784,0.526,6.0,1.418,M,#F0E628,6,1.0,0,0,0.226,0,0,0,0,0.0,13
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,7.0,7,93.085,93.085,0,0,92.996,0.178,-0.561,1.980,0.429,6.0,-0.561,1.980,0.429,6.0,1.419,M,#F0E628,7,1.0,0,0,0.226,0,0,0,0,0.0,13
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,8.0,8,92.868,92.868,0,0,92.976,0.217,-0.386,1.711,0.469,6.0,-0.386,1.711,0.469,6.0,1.325,M,#F0E628,8,1.0,0,0,0.226,0,0,0,0,0.0,13
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,9.0,9,93.058,93.058,0,0,92.963,0.190,-0.592,2.302,0.559,6.0,-0.592,2.302,0.559,6.0,1.71,M,#F0E628,9,1.0,0,0,0.226,0,0,0,0,1.0,12
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,10.0,10,91.991,91.991,0,0,92.524,1.067,0.392,1.070,0.927,6.0,0.392,1.190,0.987,6.0,1.462,M,#F0E628,10,1.0,0,1,0.226,0,0,0,0,0.0,12
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,11.0,11,92.119,92.119,0,0,92.055,0.128,0.094,1.274,0.731,6.0,0.094,1.274,0.731,6.0,1.368,M,#F0E628,11,1.0,0,0,0.226,0,0,0,0,0.0,12
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,12.0,12,93.065,92.516,1,0,92.318,0.946,-0.919,2.387,0.274,6.0,-0.370,1.838,0.549,6.0,1.468,M,#F0E628,12,1.0,0,0,0.226,0,0,0,0,0.0,12
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,13.0,13,92.913,92.913,0,0,92.714,0.152,-0.806,2.099,0.243,6.0,-0.806,2.099,0.243,6.0,1.293,M,#F0E628,13,1.0,0,0,0.226,0,0,0,0,1.0,11
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,14.0,14,92.118,92.118,0,0,92.516,0.795,-0.085,1.574,0.702,6.0,-0.085,1.574,0.702,6.0,1.489,M,#F0E628,14,1.0,0,0,0.226,0,0,0,0,0.0,11
0,2021,2021100,9,Ferrari,8,SAI,Carlos Sainz,55,#CC1400,15.0,15,92.154,92.154,0,0,92.136,0.036,-0.138,1.599,0.661,6.0,-0.138,1.599,0.661,6.0,1.461,M,#F0E628,15,1.0,0,0,0.226,0,0,0,0,0.0,11
