SeasonID,EventIndex,EventNumber,RaceID,SprintIndex,DriverID,DriverIDT,TeamID,Number,Laptime,LaptimeClear,PaceDiff,PaceDiffClear,PaceMarker,PLabel,PaceAvg,PaceClearAvg,PaceAvgLabel,PaceClearAvgLabel,PacePelotoneAvg,PaceClearPelotoneAvg,PacePelotoneAvgLabel,PaceClearPelotoneAvgLabel,PaceDiffRankOrder,PaceDiffClearRankOrder,PaceDiffByWorst,PaceDiffClearByWorst,PaceDiffByBest,PaceDiffClearByBest,PaceDiffBetterLapsCount,PaceDiffBetterLapsCountSum,PaceDiffBetterLapsCountPerc,EventID
2021,9,10,2021100,0,2,2-14,14,33,90.354,90.341,1.932,1.945,92.389,1,90.354,90.341,01:30.354,01:30.341,92.389,92.286,01:32.389,01:32.286,1,1,3.665,3.608,0.0,0.0,13.0,13.0,100.0,11
2021,9,10,2021100,0,1,1-10,10,44,90.374,90.374,1.912,1.912,92.389,2,90.374,90.374,01:30.374,01:30.374,92.389,92.286,01:32.389,01:32.286,2,2,3.645,3.575,0.02,0.0330000000000001,12.0,15.0,80.0,11
2021,9,10,2021100,0,3,3-10,10,77,90.673,90.655,1.613,1.631,92.389,3,90.673,90.655,01:30.673,01:30.655,92.389,92.286,01:32.389,01:32.286,3,3,3.346,3.294,0.3189999999999999,0.314,3.0,15.0,20.0,11
2021,9,10,2021100,0,6,6-5,5,16,90.881,90.863,1.405,1.423,92.389,4,90.881,90.863,01:30.881,01:30.863,92.389,92.286,01:32.389,01:32.286,4,4,3.138,3.0860000000000003,0.5269999999999999,0.522,15.0,15.0,100.0,11
2021,9,10,2021100,0,4,4-9,9,4,91.436,91.361,0.85,0.925,92.389,5,91.436,91.361,01:31.436,01:31.361,92.389,92.286,01:32.389,01:32.286,5,5,2.583,2.588,1.082,1.02,10.0,15.0,66.7,11
2021,9,10,2021100,0,7,7-9,9,3,91.808,91.718,0.478,0.568,92.389,6,91.808,91.718,01:31.808,01:31.718,92.389,92.286,01:32.389,01:32.286,6,6,2.2110000000000003,2.231,1.454,1.3770000000000002,5.0,15.0,33.3,11
2021,9,10,2021100,0,19,19-3,3,14,92.783,92.737,-0.497,-0.451,92.389,7,92.783,92.737,01:32.783,01:32.737,92.389,92.286,01:32.389,01:32.286,11,12,1.2360000000000002,1.212,2.429,2.396,9.0,15.0,60.0,11
2021,9,10,2021100,0,15,15-4,4,5,92.66,92.59,-0.374,-0.304,92.389,8,92.66,92.59,01:32.660,01:32.590,92.389,92.286,01:32.389,01:32.286,8,9,1.359,1.359,2.306,2.249,12.0,15.0,80.0,11
2021,9,10,2021100,0,14,14-18,18,63,92.742,92.72,-0.456,-0.434,92.389,9,92.742,92.72,01:32.742,01:32.720,92.389,92.286,01:32.389,01:32.286,9,10,1.277,1.229,2.388,2.379,7.0,15.0,46.7,11
2021,9,10,2021100,0,13,13-3,3,31,92.757,92.721,-0.471,-0.435,92.389,10,92.757,92.721,01:32.757,01:32.721,92.389,92.286,01:32.389,01:32.286,10,11,1.262,1.228,2.403,2.38,6.0,15.0,40.0,11
2021,9,10,2021100,0,8,8-5,5,55,92.575,92.538,-0.289,-0.252,92.389,11,92.575,92.538,01:32.575,01:32.538,92.389,92.286,01:32.389,01:32.286,7,8,1.4440000000000002,1.411,2.221,2.197,0.0,15.0,0.0,11
2021,9,10,2021100,0,17,17-2,2,10,92.811,92.759,-0.525,-0.473,92.389,12,92.811,92.759,01:32.811,01:32.759,92.389,92.286,01:32.389,01:32.286,12,13,1.2080000000000002,1.19,2.457,2.418,7.0,15.0,46.7,11
2021,9,10,2021100,0,11,11-1,1,7,92.881,92.797,-0.595,-0.511,92.389,13,92.881,92.797,01:32.881,01:32.797,92.389,92.286,01:32.389,01:32.286,14,14,1.138,1.152,2.527,2.456,10.0,15.0,66.7,11
2021,9,10,2021100,0,10,10-4,4,18,92.932,92.846,-0.646,-0.560,92.389,14,92.932,92.846,01:32.932,01:32.846,92.389,92.286,01:32.389,01:32.286,15,16,1.0870000000000002,1.103,2.578,2.505,3.0,15.0,20.0,11
2021,9,10,2021100,0,12,12-1,1,99,92.957,92.923,-0.671,-0.637,92.389,15,92.957,92.923,01:32.957,01:32.923,92.389,92.286,01:32.389,01:32.286,16,18,1.062,1.026,2.603,2.582,5.0,15.0,33.3,11
2021,9,10,2021100,0,9,9-2,2,22,92.87,92.805,-0.584,-0.519,92.389,16,92.87,92.805,01:32.870,01:32.805,92.389,92.286,01:32.389,01:32.286,13,15,1.149,1.144,2.516,2.464,8.0,15.0,53.3,11
2021,9,10,2021100,0,18,18-18,18,6,93.007,92.869,-0.721,-0.583,92.389,17,93.007,92.869,01:33.007,01:32.869,92.389,92.286,01:32.389,01:32.286,17,17,1.012,1.08,2.653,2.528,8.0,15.0,53.3,11
2021,9,10,2021100,0,16,16-7,7,47,93.769,93.709,-1.483,-1.423,92.389,18,93.769,93.709,01:33.769,01:33.709,92.389,92.286,01:32.389,01:32.286,19,19,0.25,0.24,3.415,3.3680000000000003,8.0,15.0,53.3,11
2021,9,10,2021100,0,20,20-7,7,9,94.019,93.949,-1.733,-1.663,92.389,19,94.019,93.949,01:34.019,01:33.949,92.389,92.286,01:32.389,01:32.286,20,20,0.0,0.0,3.665,3.608,7.0,15.0,46.7,11
2021,9,10,2021100,0,5,5-14,14,11,93.735,92.54,-1.381,-0.186,92.431,DNF,93.735,92.54,01:33.735,01:32.540,92.389,92.286,01:32.389,01:32.286,18,7,0.3520000000000001,1.477,3.313,2.131,0.0,13.0,0.0,11
