SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,9_Laptime,17_Laptime,9_PaceDiff,17_PaceDiff,9_PaceDiffClear,17_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2022,2022040,1.0,1,Alpha Tauri,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,2.0,2,Alpha Tauri,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,3.0,3,Alpha Tauri,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,4.0,4,Alpha Tauri,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,5.0,5,Alpha Tauri,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,6.0,6,Alpha Tauri,81.983,82.477,0.598,1.092,0.598,1.092,81.385,0.494,9.0,0.494,9,0.845,0.845,0.845,0.845
0,2022,2022040,7.0,7,Alpha Tauri,81.413,82.128,0.304,1.019,0.304,1.019,81.162,0.715,9.0,0.715,9,0.661,0.6615,0.661,0.6615
0,2022,2022040,8.0,8,Alpha Tauri,81.218,81.853,0.398,1.033,0.398,1.033,80.908,0.635,9.0,0.635,9,0.716,0.7155,0.716,0.7155
0,2022,2022040,9.0,9,Alpha Tauri,81.165,81.381,0.38,0.596,0.38,0.596,80.869,0.216,9.0,0.216,9,0.488,0.488,0.488,0.488
0,2022,2022040,10.0,10,Alpha Tauri,81.435,81.011,0.615,0.191,0.615,0.191,80.917,-0.424,17.0,-0.424,17,0.403,0.403,0.403,0.403
0,2022,2022040,11.0,11,Alpha Tauri,81.339,80.957,0.631,0.249,0.631,0.249,80.877,-0.382,17.0,-0.382,17,0.440,0.44,0.440,0.44
0,2022,2022040,12.0,12,Alpha Tauri,81.388,81.038,0.654,0.304,0.654,0.304,80.79,-0.350,17.0,-0.350,17,0.479,0.479,0.479,0.479
0,2022,2022040,13.0,13,Alpha Tauri,81.095,81.215,0.346,0.466,0.346,0.466,80.799,0.120,9.0,0.120,9,0.406,0.406,0.406,0.406
0,2022,2022040,14.0,14,Alpha Tauri,80.999,81.065,0.42,0.486,0.42,0.486,80.608,0.066,9.0,0.066,9,0.453,0.45299999999999996,0.453,0.45299999999999996
