SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,18_Laptime,24_Laptime,26_Laptime,18_PaceDiff,24_PaceDiff,26_PaceDiff,18_PaceDiffClear,24_PaceDiffClear,26_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2022,2022040,1.0,1,Williams,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,2.0,2,Williams,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,3.0,3,Williams,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,4.0,4,Williams,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,5.0,5,Williams,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022040,6.0,6,Williams,82.521,82.426,,1.136,1.041,,1.136,1.041,,81.385,-,24.0,-,24,-,,-,
0,2022,2022040,7.0,7,Williams,82.238,82.024,,1.129,0.915,,1.129,0.915,,81.162,-,24.0,-,24,-,,-,
0,2022,2022040,8.0,8,Williams,81.826,81.586,,1.006,0.766,,1.006,0.766,,80.908,-,24.0,-,24,-,,-,
0,2022,2022040,9.0,9,Williams,83.036,81.571,,2.251,0.786,,1.275,0.786,,80.869,-,24.0,-,24,-,,-,
0,2022,2022040,10.0,10,Williams,82.295,81.373,,1.475,0.553,,1.475,0.553,,80.917,-,24.0,-,24,-,,-,
0,2022,2022040,11.0,11,Williams,81.84,81.243,,1.132,0.535,,1.132,0.535,,80.877,-,24.0,-,24,-,,-,
0,2022,2022040,12.0,12,Williams,81.841,81.259,,1.107,0.525,,1.107,0.525,,80.79,-,24.0,-,24,-,,-,
0,2022,2022040,13.0,13,Williams,81.976,81.282,,1.227,0.532,,1.227,0.532,,80.799,-,24.0,-,24,-,,-,
0,2022,2022040,14.0,14,Williams,81.628,81.02,,1.049,0.441,,1.049,0.441,,80.608,-,24.0,-,24,-,,-,
0,2022,2022040,15.0,15,Williams,81.657,81.456,,0.837,0.636,,0.837,0.636,,80.9,-,24.0,-,24,-,,-,
0,2022,2022040,16.0,16,Williams,81.437,81.629,,0.55,0.742,,0.55,0.742,,81.003,-,18.0,-,18,-,,-,
0,2022,2022040,17.0,17,Williams,81.706,83.045,,0.909,2.248,,0.909,1.153,,80.854,-,18.0,-,18,-,,-,
0,2022,2022040,18.0,18,Williams,82.142,82.271,,1.14,1.269,,0.893,1.269,,81.082,-,18.0,-,18,-,,-,
0,2022,2022040,19.0,19,Williams,82.085,82.876,,0.866,1.657,,0.866,1.138,,81.503,-,18.0,-,18,-,,-,
0,2022,2022040,20.0,20,Williams,82.058,82.443,,0.697,1.082,,0.697,1.082,,81.429,-,18.0,-,18,-,,-,
0,2022,2022040,21.0,21,Williams,82.312,82.647,,0.866,1.201,,0.866,1.201,,81.446,-,18.0,-,18,-,,-,
0,2022,2022110,1.0,22,Williams,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022110,2.0,23,Williams,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022110,3.0,24,Williams,71.169,70.483,,0.893,0.207,,0.893,0.207,,70.276,-,24.0,-,24,-,,-,
0,2022,2022110,4.0,25,Williams,70.284,71.257,,0.564,1.537,,0.564,0.705,,69.764,-,18.0,-,18,-,,-,
0,2022,2022110,5.0,26,Williams,71.021,70.367,,1.154,0.5,,1.154,0.5,,69.988,-,24.0,-,24,-,,-,
0,2022,2022110,6.0,27,Williams,71.742,71.668,,1.749,1.675,,1.097,0.973,,70.176,-,24.0,-,24,-,,-,
0,2022,2022110,7.0,28,Williams,71.159,71.564,,1.104,1.509,,1.104,1.509,,70.154,-,18.0,-,18,-,,-,
0,2022,2022110,8.0,29,Williams,72.227,70.993,,2.0,0.766,,2.0,0.766,,70.323,-,24.0,-,24,-,,-,
0,2022,2022110,9.0,30,Williams,72.608,70.898,,2.263,0.553,,2.263,0.553,,70.453,-,24.0,-,24,-,,-,
0,2022,2022110,10.0,31,Williams,72.75,71.474,,2.371,1.095,,2.371,0.447,,71.955,-,24.0,-,24,-,,-,
0,2022,2022110,11.0,32,Williams,72.118,70.754,,1.867,0.503,,1.867,0.503,,70.251,-,24.0,-,24,-,,-,
0,2022,2022110,12.0,33,Williams,71.529,70.759,,1.294,0.524,,1.294,0.524,,70.335,-,24.0,-,24,-,,-,
0,2022,2022110,13.0,34,Williams,71.672,70.624,,1.423,0.375,,1.423,0.375,,70.249,-,24.0,-,24,-,,-,
0,2022,2022110,14.0,35,Williams,71.811,70.762,,1.505,0.456,,1.505,0.456,,70.317,-,24.0,-,24,-,,-,
0,2022,2022110,15.0,36,Williams,71.788,70.656,,1.497,0.365,,1.497,0.365,,70.35,-,24.0,-,24,-,,-,
0,2022,2022110,16.0,37,Williams,72.139,70.675,,1.919,0.455,,1.919,0.455,,70.3,-,24.0,-,24,-,,-,
0,2022,2022110,17.0,38,Williams,71.949,70.814,,1.61,0.475,,1.61,0.475,,70.387,-,24.0,-,24,-,,-,
0,2022,2022110,18.0,39,Williams,71.974,70.821,,1.573,0.42,,1.573,0.42,,70.415,-,24.0,-,24,-,,-,
0,2022,2022110,19.0,40,Williams,71.692,71.148,,1.2,0.656,,1.2,0.334,,70.798,-,24.0,-,24,-,,-,
0,2022,2022110,20.0,41,Williams,71.517,70.831,,0.943,0.257,,0.943,0.257,,70.574,-,24.0,-,24,-,,-,
0,2022,2022110,21.0,42,Williams,71.473,70.86,,1.038,0.425,,1.038,0.425,,70.561,-,24.0,-,24,-,,-,
0,2022,2022110,22.0,43,Williams,71.627,70.713,,1.194,0.28,,1.194,0.28,,70.505,-,24.0,-,24,-,,-,
0,2022,2022110,23.0,44,Williams,72.386,70.787,,1.819,0.22,,1.819,0.22,,70.567,-,24.0,-,24,-,,-,
0,2022,2022210,1.0,45,Williams,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022210,2.0,46,Williams,,,,,,,,,,,-,-,-,,-,,-,
0,2022,2022210,3.0,47,Williams,77.183,77.074,,1.11,1.001,,1.11,1.001,,76.073,-,24.0,-,24,-,,-,
0,2022,2022210,4.0,48,Williams,76.525,75.998,,0.98,0.453,,0.98,0.453,,75.597,-,24.0,-,24,-,,-,
0,2022,2022210,5.0,49,Williams,77.077,77.13,,1.456,1.509,,1.456,0.695,,75.732,-,18.0,-,24,-,,-,
0,2022,2022210,6.0,50,Williams,78.558,76.634,,2.679,0.755,,1.876,0.755,,76.097,-,24.0,-,24,-,,-,
0,2022,2022210,7.0,51,Williams,78.434,76.53,,2.391,0.487,,2.391,0.487,,76.097,-,24.0,-,24,-,,-,
0,2022,2022210,8.0,52,Williams,77.976,76.92,,1.887,0.831,,1.887,0.557,,76.199,-,24.0,-,24,-,,-,
0,2022,2022210,9.0,53,Williams,78.169,76.761,,1.972,0.564,,1.972,0.564,,76.252,-,24.0,-,24,-,,-,
0,2022,2022210,10.0,54,Williams,78.199,76.781,,1.992,0.574,,1.992,0.574,,76.244,-,24.0,-,24,-,,-,
0,2022,2022210,11.0,55,Williams,78.116,76.696,,1.827,0.407,,1.827,0.407,,76.303,-,24.0,-,24,-,,-,
0,2022,2022210,12.0,56,Williams,78.225,76.983,,1.71,0.468,,1.71,0.468,,76.56,-,24.0,-,24,-,,-,
0,2022,2022210,13.0,57,Williams,79.165,,,2.564,,,1.861,,,76.904,-,-,-,,-,,-,
0,2022,2022210,14.0,58,Williams,78.698,,,2.018,,,2.018,,,76.719,-,-,-,,-,,-,
0,2022,2022210,15.0,59,Williams,78.707,,,2.205,,,2.205,,,76.665,-,-,-,,-,,-,
0,2022,2022210,16.0,60,Williams,78.917,,,2.346,,,2.346,,,76.674,-,-,-,,-,,-,
0,2022,2022210,17.0,61,Williams,78.391,,,1.802,,,1.802,,,76.611,-,-,-,,-,,-,
0,2022,2022210,18.0,62,Williams,78.706,,,2.2,,,2.2,,,76.506,-,-,-,,-,,-,
0,2022,2022210,19.0,63,Williams,78.913,,,2.362,,,2.362,,,76.726,-,-,-,,-,,-,
0,2022,2022210,20.0,64,Williams,79.061,,,2.381,,,2.381,,,76.797,-,-,-,,-,,-,
0,2022,2022210,21.0,65,Williams,78.88,,,2.274,,,2.274,,,76.653,-,-,-,,-,,-,
0,2022,2022210,22.0,66,Williams,78.437,,,1.814,,,1.814,,,76.725,-,-,-,,-,,-,
0,2022,2022210,23.0,67,Williams,78.79,,,2.195,,,2.195,,,76.608,-,-,-,,-,,-,
0,2022,2022210,24.0,68,Williams,79.165,,,2.39,,,2.39,,,76.775,-,-,-,,-,,-,
