SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,3_Laptime,23_Laptime,3_PaceDiff,23_PaceDiff,3_PaceDiffClear,23_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2022,2022011,1.0,1,Alfa Romeo,,,,,,,,-,-,-,,-,,-,
1,2022,2022011,2.0,2,Alfa Romeo,,,,,,,,-,-,-,,-,,-,
1,2022,2022011,3.0,3,Alfa Romeo,100.732,100.183,0.469,-0.079,0.469,-0.079,100.262,-0.548,23.0,-0.548,23,0.195,0.19499999999999998,0.195,0.19499999999999998
1,2022,2022011,4.0,4,Alfa Romeo,101.127,100.393,0.856,0.122,0.856,0.122,100.326,-0.734,23.0,-0.734,23,0.489,0.489,0.489,0.489
1,2022,2022011,5.0,5,Alfa Romeo,101.817,101.574,1.377,1.134,0.625,0.487,100.658,-0.243,23.0,-0.138,23,1.256,1.2555,0.556,0.556
1,2022,2022011,6.0,6,Alfa Romeo,101.003,101.461,0.324,0.782,0.324,0.782,100.765,0.458,3.0,0.458,3,0.553,0.553,0.553,0.553
1,2022,2022011,7.0,7,Alfa Romeo,101.287,100.62,0.524,-0.143,0.524,-0.143,100.841,-0.667,23.0,-0.667,23,0.191,0.1905,0.191,0.1905
1,2022,2022011,8.0,8,Alfa Romeo,101.606,102.11,0.702,1.206,0.702,1.206,101.054,0.504,3.0,0.504,3,0.954,0.954,0.954,0.954
1,2022,2022011,9.0,9,Alfa Romeo,100.586,102.258,-0.495,1.177,-0.495,1.177,101.154,1.672,3.0,1.672,3,0.341,0.341,0.341,0.341
1,2022,2022011,10.0,10,Alfa Romeo,100.788,101.339,-0.514,0.037,-0.514,0.037,101.505,0.551,3.0,0.551,3,-0.239,-0.23850000000000002,-0.239,-0.23850000000000002
1,2022,2022011,11.0,11,Alfa Romeo,101.075,101.057,-0.277,-0.295,-0.277,-0.295,101.352,-0.018,23.0,-0.018,23,-0.286,-0.28600000000000003,-0.286,-0.28600000000000003
1,2022,2022011,12.0,12,Alfa Romeo,101.073,101.281,-0.159,0.049,-0.159,0.049,101.267,0.208,3.0,0.208,3,-0.055,-0.055,-0.055,-0.055
1,2022,2022011,13.0,13,Alfa Romeo,101.291,101.4,0.328,0.437,0.328,0.437,100.989,0.109,3.0,0.109,3,0.383,0.3825,0.383,0.3825
