SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,10_Laptime,15_Laptime,25_Laptime,10_PaceDiff,15_PaceDiff,25_PaceDiff,10_PaceDiffClear,15_PaceDiffClear,25_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2022,2022011,1.0,1,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,2.0,2,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,3.0,3,Aston Martin,100.887,,100.638,0.624,,0.376,0.624,,0.376,100.262,-,25.0,-,25,-,,-,
2,2022,2022011,4.0,4,Aston Martin,101.931,,101.189,1.66,,0.918,1.03,,0.918,100.326,-,25.0,-,25,-,,-,
2,2022,2022011,5.0,5,Aston Martin,101.715,,102.49,1.275,,2.05,1.275,,1.152,100.658,-,10.0,-,25,-,,-,
2,2022,2022011,6.0,6,Aston Martin,101.897,,101.995,1.218,,1.316,1.218,,1.316,100.765,-,10.0,-,10,-,,-,
2,2022,2022011,7.0,7,Aston Martin,101.827,,101.912,1.064,,1.149,1.064,,1.149,100.841,-,10.0,-,10,-,,-,
2,2022,2022011,8.0,8,Aston Martin,102.174,,102.177,1.27,,1.273,1.27,,1.273,101.054,-,10.0,-,10,-,,-,
2,2022,2022011,9.0,9,Aston Martin,101.557,,103.773,0.476,,2.692,0.476,,1.622,101.154,-,10.0,-,10,-,,-,
2,2022,2022011,10.0,10,Aston Martin,102.35,,103.228,1.048,,1.926,0.648,,1.926,101.505,-,10.0,-,10,-,,-,
2,2022,2022011,11.0,11,Aston Martin,102.343,,102.603,0.991,,1.251,0.991,,1.251,101.352,-,10.0,-,10,-,,-,
2,2022,2022011,12.0,12,Aston Martin,102.462,,102.821,1.23,,1.589,1.23,,1.589,101.267,-,10.0,-,10,-,,-,
2,2022,2022011,13.0,13,Aston Martin,102.235,,101.942,1.272,,0.979,1.272,,0.979,100.989,-,25.0,-,25,-,,-,
2,2022,2022011,14.0,14,Aston Martin,101.803,,102.959,1.04,,2.196,1.04,,1.618,100.811,-,10.0,-,10,-,,-,
2,2022,2022011,15.0,15,Aston Martin,101.875,,102.819,0.933,,1.877,0.933,,1.877,100.942,-,10.0,-,10,-,,-,
2,2022,2022011,16.0,16,Aston Martin,102.592,,103.615,2.523,,3.546,1.797,,3.546,100.118,-,10.0,-,10,-,,-,
2,2022,2022011,17.0,17,Aston Martin,101.858,,104.45,2.519,,5.111,2.519,,4.263,99.451,-,10.0,-,10,-,,-,
2,2022,2022011,18.0,18,Aston Martin,,,103.59,,,4.499,,,4.499,99.26,-,-,-,,-,,-,
2,2022,2022011,19.0,19,Aston Martin,,,,,,,,,,99.053,-,-,-,,-,,-,
2,2022,2022011,20.0,20,Aston Martin,98.94,,,-0.082,,,-0.082,,,99.06,-,-,-,,-,,-,
2,2022,2022011,21.0,21,Aston Martin,98.713,,99.18,-0.473,,-0.006,-0.473,,-0.006,99.281,-,10.0,-,10,-,,-,
2,2022,2022011,22.0,22,Aston Martin,99.655,,99.307,0.267,,-0.081,0.267,,-0.081,99.492,-,25.0,-,25,-,,-,
2,2022,2022011,23.0,23,Aston Martin,99.811,,99.22,0.356,,-0.235,0.356,,-0.235,99.492,-,25.0,-,25,-,,-,
2,2022,2022011,24.0,24,Aston Martin,99.887,,99.307,0.412,,-0.168,0.412,,-0.168,99.498,-,25.0,-,25,-,,-,
2,2022,2022011,25.0,25,Aston Martin,99.774,,99.689,0.203,,0.118,0.203,,0.118,99.657,-,25.0,-,25,-,,-,
2,2022,2022011,26.0,26,Aston Martin,100.445,,99.506,0.804,,-0.135,0.432,,-0.135,99.661,-,25.0,-,25,-,,-,
2,2022,2022011,27.0,27,Aston Martin,100.371,,99.84,0.674,,0.143,0.674,,0.143,99.833,-,25.0,-,25,-,,-,
2,2022,2022011,28.0,28,Aston Martin,100.181,,102.651,0.336,,2.806,0.336,,1.165,100.022,-,10.0,-,10,-,,-,
2,2022,2022011,29.0,29,Aston Martin,100.054,,102.181,0.17,,2.297,0.17,,2.297,99.968,-,10.0,-,10,-,,-,
2,2022,2022011,30.0,30,Aston Martin,100.85,,100.483,1.02,,0.653,1.02,,0.653,99.87,-,25.0,-,25,-,,-,
2,2022,2022011,31.0,31,Aston Martin,100.855,,100.473,1.003,,0.621,1.003,,0.621,99.887,-,25.0,-,25,-,,-,
2,2022,2022011,32.0,32,Aston Martin,100.037,,101.036,0.614,,1.613,0.614,,1.613,99.638,-,10.0,-,10,-,,-,
2,2022,2022011,33.0,33,Aston Martin,100.347,,100.07,1.237,,0.96,1.237,,0.96,99.203,-,25.0,-,25,-,,-,
2,2022,2022011,34.0,34,Aston Martin,100.363,,104.369,1.337,,5.343,1.337,,1.416,99.309,-,10.0,-,10,-,,-,
2,2022,2022011,35.0,35,Aston Martin,100.452,,100.815,1.88,,2.243,1.88,,2.243,98.596,-,10.0,-,10,-,,-,
2,2022,2022011,36.0,36,Aston Martin,100.484,,100.658,1.936,,2.11,1.936,,2.11,98.622,-,10.0,-,10,-,,-,
2,2022,2022011,37.0,37,Aston Martin,100.487,,,2.241,,,2.241,,,98.404,-,-,-,,-,,-,
2,2022,2022011,38.0,38,Aston Martin,,,,,,,,,,98.088,-,-,-,,-,,-,
2,2022,2022011,39.0,39,Aston Martin,,,98.819,,,0.644,,,0.644,98.187,-,-,-,,-,,-,
2,2022,2022011,40.0,40,Aston Martin,97.861,,98.751,-0.478,,0.412,-0.478,,0.412,98.339,-,10.0,-,10,-,,-,
2,2022,2022011,41.0,41,Aston Martin,98.363,,98.361,0.235,,0.233,0.235,,0.233,98.161,-,25.0,-,25,-,,-,
2,2022,2022011,42.0,42,Aston Martin,98.127,,99.671,-0.135,,1.409,-0.135,,1.409,98.398,-,10.0,-,10,-,,-,
2,2022,2022011,43.0,43,Aston Martin,99.462,,100.222,0.907,,1.667,0.907,,1.667,98.635,-,10.0,-,10,-,,-,
2,2022,2022011,44.0,44,Aston Martin,,,,,,,,,,98.048,-,-,-,,-,,-,
2,2022,2022011,45.0,45,Aston Martin,,,,,,,,,,96.58,-,-,-,,-,,-,
2,2022,2022011,46.0,46,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,47.0,47,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,48.0,48,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,49.0,49,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,50.0,50,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,51.0,51,Aston Martin,,,,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,52.0,52,Aston Martin,97.622,,98.599,0.433,,1.41,0.433,,1.41,97.189,-,10.0,-,10,-,,-,
2,2022,2022011,53.0,53,Aston Martin,98.678,,98.452,1.623,,1.397,0.695,,1.397,97.104,-,25.0,-,10,-,,-,
2,2022,2022011,54.0,54,Aston Martin,97.877,,98.533,0.564,,1.22,0.564,,1.22,97.394,-,10.0,-,10,-,,-,
2,2022,2022011,55.0,55,Aston Martin,98.328,,99.236,0.801,,1.709,0.801,,1.291,97.577,-,10.0,-,10,-,,-,
2,2022,2022011,56.0,56,Aston Martin,98.829,,99.102,1.156,,1.429,1.156,,1.429,97.673,-,10.0,-,10,-,,-,
2,2022,2022011,57.0,57,Aston Martin,100.395,,101.18,1.525,,2.31,1.525,,2.31,98.87,-,10.0,-,10,-,,-,
