SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,2_Laptime,5_Laptime,2_PaceDiff,5_PaceDiff,2_PaceDiffClear,5_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2022,2022011,1.0,1,Red Bull Racing,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,2.0,2,Red Bull Racing,,,,,,,,-,-,-,,-,,-,
2,2022,2022011,3.0,3,Red Bull Racing,98.357,99.473,-1.906,-0.79,-1.906,-0.79,100.262,1.116,2.0,1.116,2,-1.348,-1.3479999999999999,-1.348,-1.3479999999999999
2,2022,2022011,4.0,4,Red Bull Racing,98.566,98.741,-1.705,-1.53,-1.705,-1.53,100.326,0.175,2.0,0.175,2,-1.618,-1.6175000000000002,-1.618,-1.6175000000000002
2,2022,2022011,5.0,5,Red Bull Racing,98.877,98.861,-1.563,-1.579,-1.563,-1.579,100.658,-0.016,5.0,-0.016,5,-1.571,-1.571,-1.571,-1.571
2,2022,2022011,6.0,6,Red Bull Racing,98.94,99.218,-1.739,-1.461,-1.739,-1.461,100.765,0.278,2.0,0.278,2,-1.600,-1.6,-1.600,-1.6
2,2022,2022011,7.0,7,Red Bull Racing,99.062,99.264,-1.701,-1.499,-1.701,-1.499,100.841,0.202,2.0,0.202,2,-1.600,-1.6,-1.600,-1.6
2,2022,2022011,8.0,8,Red Bull Racing,99.092,99.825,-1.812,-1.079,-1.812,-1.079,101.054,0.733,2.0,0.733,2,-1.446,-1.4455,-1.446,-1.4455
2,2022,2022011,9.0,9,Red Bull Racing,99.251,100.215,-1.83,-0.866,-1.83,-1.265,101.154,0.964,2.0,0.565,2,-1.348,-1.348,-1.547,-1.5474999999999999
2,2022,2022011,10.0,10,Red Bull Racing,99.392,99.806,-1.91,-1.496,-1.91,-1.496,101.505,0.414,2.0,0.414,2,-1.703,-1.7029999999999998,-1.703,-1.7029999999999998
2,2022,2022011,11.0,11,Red Bull Racing,99.479,99.931,-1.873,-1.421,-1.873,-1.421,101.352,0.452,2.0,0.452,2,-1.647,-1.647,-1.647,-1.647
2,2022,2022011,12.0,12,Red Bull Racing,99.41,99.754,-1.822,-1.478,-1.822,-1.478,101.267,0.344,2.0,0.344,2,-1.650,-1.65,-1.650,-1.65
