SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,1,1.0,0,0,0.164,0,1,0,0,,10
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,2,1.0,0,0,0.164,0,0,0,0,0.0,10
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,3.0,3,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,3,1.0,0,0,0.164,0,0,0,0,0.0,10
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,4.0,4,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,4,1.0,0,0,0.164,1,0,0,0,0.0,10
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,5.0,5,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,5,1.0,0,0,0.164,0,0,0,0,0.0,10
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,6.0,6,81.575,81.575,0,0,-,-,-0.19,-,-,-,-0.190,-,-,-,,S,#CD3C3C,6,1.0,0,0,0.164,0,0,0,0,0.0,10
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,7.0,7,81.35,81.35,0,0,81.462,0.225,-0.241,-,-,-,-0.241,-,-,-,,S,#CD3C3C,7,1.0,0,0,0.164,0,0,0,0,0.0,10
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,8.0,8,80.999,80.999,0,0,81.174,0.351,-0.179,-,-,-,-0.179,-,-,-,,S,#CD3C3C,8,1.0,0,0,0.164,0,0,0,0,0.0,10
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,9.0,9,80.219,80.219,0,0,80.609,0.780,0.566,-,-,-,0.566,-,-,-,,S,#CD3C3C,9,1.0,0,0,0.164,0,0,0,0,1.0,9
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,10.0,10,80.66,80.349,1,0,80.284,0.441,0.16,-,-,-,0.471,-,-,-,,S,#CD3C3C,10,1.0,0,0,0.164,0,0,0,0,0.0,9
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,11.0,11,80.479,80.479,0,0,80.414,0.181,0.229,-,-,-,0.229,-,-,-,,S,#CD3C3C,11,1.0,0,0,0.164,0,0,0,0,0.0,9
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,12.0,12,80.97,80.578,1,0,80.529,0.491,-0.236,-,-,-,0.155,-,-,-,,S,#CD3C3C,12,1.0,0,0,0.164,0,0,0,0,0.0,9
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,13.0,13,80.678,80.678,0,0,80.628,0.292,0.072,-,-,-,0.072,-,-,-,,S,#CD3C3C,13,1.0,0,1,0.164,0,0,0,0,0.0,9
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,14.0,14,80.656,80.656,0,0,80.667,0.022,-0.077,-,-,-,-0.077,-,-,-,,S,#CD3C3C,14,1.0,0,0,0.164,0,0,0,0,0.0,9
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,15.0,15,80.868,80.868,0,0,80.762,0.212,-0.048,-,-,-,-0.048,-,-,-,,S,#CD3C3C,15,1.0,0,0,0.164,0,0,0,0,0.0,9
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,16.0,16,80.726,80.726,0,0,80.797,0.142,0.161,-,-,-,0.161,-,-,-,,S,#CD3C3C,16,1.0,0,0,0.164,0,0,0,0,1.0,8
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,17.0,17,80.88,80.88,0,0,80.803,0.154,-0.083,-,-,-,-0.083,-,-,-,,S,#CD3C3C,17,1.0,0,0,0.164,0,0,0,0,0.0,8
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,18.0,18,81.014,81.014,0,0,80.947,0.134,-0.012,-,-,-,-0.012,-,-,-,,S,#CD3C3C,18,1.0,0,0,0.164,0,0,0,0,0.0,8
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,19.0,19,80.582,80.582,0,0,80.798,0.432,0.637,-,-,-,0.637,-,-,-,,S,#CD3C3C,19,1.0,0,0,0.164,0,0,0,0,1.0,7
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,20.0,20,80.414,80.414,0,0,80.498,0.168,0.947,-,-,-,0.947,-,-,-,,S,#CD3C3C,20,1.0,0,0,0.164,0,0,0,0,0.0,7
0,2022,2022040,3,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,21.0,21,80.859,80.859,0,0,80.636,0.445,0.587,-,-,-,0.587,-,-,-,,S,#CD3C3C,21,1.0,0,0,0.164,0,0,0,0,0.0,7
0,2022,2022040,3,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#B12039,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,1,1.0,0,0,-,0,1,0,0,,-
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,1.0,22,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,1,1.0,0,0,0.192,0,0,0,0,,9
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,2.0,23,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,2,1.0,0,0,0.192,0,0,0,0,0.0,9
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,3.0,24,70.227,70.227,0,0,-,-,0.049,0.645,-0.273,3.0,0.049,0.645,-0.273,3.0,-0.596,M,#F0E628,3,1.0,0,0,0.192,0,0,0,0,0.0,9
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,4.0,25,69.674,69.674,0,0,69.95,0.553,0.046,0.723,-0.316,3.0,0.046,0.723,-0.316,3.0,-0.677,M,#F0E628,4,1.0,0,0,0.192,0,0,0,0,0.0,9
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,5.0,26,69.864,69.864,0,0,69.769,0.190,0.003,1.001,-0.497,3.0,0.003,1.001,-0.497,3.0,-0.998,M,#F0E628,5,1.0,0,0,0.192,0,0,0,0,0.0,9
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,6.0,27,69.766,69.766,0,0,69.815,0.098,0.227,1.270,-0.408,3.0,0.227,1.270,-0.408,3.0,-1.043,M,#F0E628,6,1.0,0,0,0.192,0,0,0,0,0.0,9
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,7.0,28,69.941,69.941,0,0,69.854,0.175,0.114,1.049,-0.410,3.0,0.114,1.049,-0.410,3.0,-0.935,M,#F0E628,7,1.0,0,0,0.192,0,0,0,0,0.0,9
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,8.0,29,71.39,70.283,1,0,70.112,1.449,-1.163,0.353,-1.339,3.0,-0.056,0.737,-0.424,3.0,-1.516,M,#F0E628,8,1.0,0,0,0.192,0,0,0,0,-1.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,9.0,30,70.625,70.625,0,0,70.454,0.765,-0.28,0.425,-0.492,3.0,-0.280,0.425,-0.492,3.0,-0.705,M,#F0E628,9,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,10.0,31,70.743,70.743,0,0,70.684,0.118,-0.364,0.966,-0.847,3.0,-0.364,-0.136,-0.296,23.0,-1.33,M,#F0E628,10,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,11.0,32,70.35,70.35,0,0,70.546,0.393,-0.099,-0.185,-0.006,23.0,-0.099,-0.185,-0.006,23.0,0.086,M,#F0E628,11,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,12.0,33,70.455,70.455,0,0,70.402,0.105,-0.22,-0.239,-0.101,23.0,-0.220,-0.239,-0.101,23.0,0.019,M,#F0E628,12,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,13.0,34,70.236,70.236,0,0,70.346,0.219,0.013,0.080,-0.027,3.0,0.013,0.080,-0.027,3.0,-0.067,M,#F0E628,13,1.0,0,1,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,14.0,35,70.606,70.396,1,0,70.316,0.370,-0.3,-0.322,-0.139,23.0,-0.090,-0.112,-0.034,23.0,0.022,M,#F0E628,14,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,15.0,36,70.556,70.556,0,0,70.476,0.050,-0.265,-0.031,-0.249,23.0,-0.265,-0.031,-0.249,23.0,-0.234,M,#F0E628,15,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,16.0,37,70.227,70.227,0,0,70.392,0.329,-0.007,0.158,-0.086,3.0,-0.007,0.158,-0.086,3.0,-0.165,M,#F0E628,16,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,17.0,38,70.507,70.507,0,0,70.367,0.280,-0.168,0.434,-0.385,3.0,-0.168,0.079,-0.207,3.0,-0.602,M,#F0E628,17,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,18.0,39,70.568,70.568,0,0,70.538,0.061,-0.167,0.219,-0.277,3.0,-0.167,0.219,-0.277,3.0,-0.386,M,#F0E628,18,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,19.0,40,70.882,70.722,1,0,70.645,0.314,-0.39,-0.289,-0.245,23.0,-0.230,-0.129,-0.166,23.0,-0.101,M,#F0E628,19,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,20.0,41,70.877,70.877,0,0,70.8,0.005,-0.303,-0.300,-0.153,23.0,-0.303,-0.300,-0.153,23.0,-0.003,M,#F0E628,20,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,21.0,42,71.105,70.745,1,0,70.811,0.228,-0.67,-0.537,-0.402,23.0,-0.310,-0.177,-0.222,23.0,-0.133,M,#F0E628,21,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,22.0,43,70.613,70.613,0,0,70.679,0.492,-0.18,1.248,-0.804,3.0,-0.180,0.122,-0.241,3.0,-1.428,M,#F0E628,22,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,3,BOT,Valtteri Bottas,77,#B12039,23.0,44,70.777,70.777,0,0,70.695,0.164,-0.21,0.125,-0.273,3.0,-0.210,0.125,-0.273,3.0,-0.335,M,#F0E628,23,1.0,0,0,0.192,0,0,0,0,0.0,10
0,2022,2022110,11,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#B12039,1.0,22,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,1,2.0,0,0,0.234,0,0,0,0,,19
0,2022,2022110,11,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#B12039,2.0,23,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,2,2.0,0,0,0.234,0,0,0,0,0.0,19
0,2022,2022110,11,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#B12039,3.0,24,70.872,70.872,0,0,-,-,-0.596,0.645,-0.273,3.0,-0.596,0.645,-0.273,3.0,0.049,M,#F0E628,3,2.0,0,0,0.234,0,0,0,0,0.0,19
0,2022,2022110,11,Alfa Romeo,23,ZHO,Guanyu Zhou,24,#B12039,4.0,25,70.397,70.397,0,0,70.634,0.475,-0.677,0.723,-0.316,3.0,-0.677,0.723,-0.316,3.0,0.046,M,#F0E628,4,2.0,0,0,0.234,0,0,0,0,0.0,19
