SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,1,1.0,0,0,0.257,0,0,0,0,,17
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,2,1.0,0,0,0.257,0,0,0,0,1.0,16
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,3.0,3,100.887,100.887,0,0,-,-,-0.624,-0.248,-0.500,25.0,-0.624,-0.248,-0.500,25.0,-0.376,S,#CD3C3C,3,1.0,0,0,0.257,0,0,0,0,0.0,16
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,4.0,4,101.931,101.301,1,0,101.094,1.044,-1.66,-0.742,-1.289,25.0,-1.030,-0.112,-0.974,25.0,-0.918,S,#CD3C3C,4,1.0,0,0,0.257,0,0,0,0,-1.0,17
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,5.0,5,101.715,101.715,0,0,101.508,0.216,-1.275,0.775,-1.663,10.0,-1.275,-0.123,-1.213,25.0,-2.05,S,#CD3C3C,5,1.0,0,0,0.257,0,0,0,0,0.0,17
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,6.0,6,101.897,101.897,0,0,101.806,0.182,-1.218,0.098,-1.267,10.0,-1.218,0.098,-1.267,10.0,-1.316,S,#CD3C3C,6,1.0,0,0,0.257,0,0,0,0,0.0,17
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,7.0,7,101.827,101.827,0,0,101.862,0.070,-1.064,0.085,-1.107,10.0,-1.064,0.085,-1.107,10.0,-1.149,S,#CD3C3C,7,1.0,0,0,0.257,0,0,0,0,0.0,17
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,8.0,8,102.174,102.174,0,0,102.0,0.347,-1.27,0.003,-1.272,10.0,-1.270,0.003,-1.272,10.0,-1.273,S,#CD3C3C,8,1.0,0,0,0.257,0,0,0,0,0.0,17
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,9.0,9,101.557,101.557,0,0,101.866,0.617,-0.476,2.216,-1.584,10.0,-0.476,1.146,-1.049,10.0,-2.692,S,#CD3C3C,9,1.0,0,0,0.257,0,0,0,0,1.0,16
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,10.0,10,102.35,101.95,1,0,101.754,0.793,-1.048,0.878,-1.487,10.0,-0.648,1.278,-1.287,10.0,-1.926,S,#CD3C3C,10,1.0,0,1,0.257,0,0,0,0,1.0,15
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,11.0,11,102.343,102.343,0,0,102.146,0.007,-0.991,0.260,-1.121,10.0,-0.991,0.260,-1.121,10.0,-1.251,S,#CD3C3C,11,1.0,0,0,0.257,0,0,0,0,0.0,15
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,12.0,12,102.462,102.462,0,0,102.402,0.119,-1.23,0.359,-1.409,10.0,-1.230,0.359,-1.409,10.0,-1.589,S,#CD3C3C,12,1.0,0,0,0.257,0,0,0,0,0.0,14
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,13.0,13,102.235,102.235,0,0,102.348,0.227,-1.272,-0.293,-1.125,25.0,-1.272,-0.293,-1.125,25.0,-0.979,S,#CD3C3C,13,1.0,0,0,0.257,0,0,0,0,0.0,13
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,14.0,14,101.803,101.803,0,0,102.019,0.432,-1.04,1.156,-1.618,10.0,-1.040,0.578,-1.329,10.0,-2.196,S,#CD3C3C,14,1.0,0,0,0.257,0,0,0,0,0.0,13
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,15.0,15,101.875,101.875,0,0,101.839,0.072,-0.933,0.944,-1.405,10.0,-0.933,0.944,-1.405,10.0,-1.877,S,#CD3C3C,15,1.0,0,0,0.257,0,0,0,0,0.0,10
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,16.0,16,102.592,101.866,1,0,101.871,0.717,-2.523,1.023,-3.034,10.0,-1.797,1.749,-2.671,10.0,-3.546,S,#CD3C3C,16,1.0,0,0,0.257,0,0,0,0,-2.0,10
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,17.0,17,101.858,101.858,0,0,101.862,0.734,-2.519,2.592,-3.815,10.0,-2.519,1.744,-3.391,10.0,-5.111,S,#CD3C3C,17,1.0,0,0,0.257,0,0,0,0,0.0,10
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,18.0,18,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-4.499,S,#CD3C3C,18,1.0,1,0,0.257,0,0,0,0,0.0,12
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,19.0,19,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,1,2.0,0,0,0.154,0,0,0,0,0.0,19
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,20.0,20,98.94,98.94,0,0,-,-,0.082,-,-,-,0.082,-,-,-,,S,#CD3C3C,2,2.0,0,0,0.154,0,0,0,0,0.0,18
2,2022,2022011,0,Aston Martin,10,STR,Lance Stroll,18,#2D826D,21.0,21,98.713,98.713,0,0,98.826,0.227,0.473,0.467,0.239,10.0,0.473,0.467,0.239,10.0,0.006,S,#CD3C3C,3,2.0,0,0,0.154,0,0,0,0,1.0,17
