SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
2,2022,2022011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,1,1.0,0,0,0.359,0,0,0,0,,13
2,2022,2022011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,2,1.0,0,0,0.359,0,0,0,0,0.0,13
2,2022,2022011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,3.0,3,100.747,100.747,0,0,-,-,-0.484,-0.478,-0.723,16.0,-0.484,-0.478,-0.723,16.0,-0.962,S,#CD3C3C,3,1.0,0,0,0.359,0,0,0,0,0.0,13
2,2022,2022011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,4.0,4,101.163,101.163,0,0,100.955,0.416,-0.892,1.521,-0.132,22.0,-0.892,1.521,-0.132,22.0,0.629,S,#CD3C3C,4,1.0,0,0,0.359,0,0,0,0,0.0,13
2,2022,2022011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,5.0,5,102.049,102.049,0,0,101.606,0.886,-1.609,0.880,-1.169,22.0,-1.609,2.059,-0.580,22.0,-0.729,S,#CD3C3C,5,1.0,0,0,0.359,0,0,0,0,0.0,13
2,2022,2022011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,6.0,6,102.447,102.447,0,0,102.248,0.398,-1.768,2.109,-0.714,22.0,-1.768,2.109,-0.714,22.0,0.341,S,#CD3C3C,6,1.0,0,0,0.359,0,0,0,0,-1.0,14
2,2022,2022011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,7.0,7,102.512,102.512,0,0,102.48,0.065,-1.749,1.957,-0.771,22.0,-1.749,1.957,-0.771,22.0,0.208,S,#CD3C3C,7,1.0,0,1,0.359,0,0,0,0,-1.0,15
2,2022,2022011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,8.0,8,102.304,102.304,0,0,102.408,0.208,-1.4,1.853,-0.473,22.0,-1.400,1.853,-0.473,22.0,0.453,S,#CD3C3C,8,1.0,0,0,0.359,0,0,0,0,0.0,15
2,2022,2022011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,9.0,9,102.158,102.158,0,0,102.231,0.146,-1.077,1.402,-0.376,22.0,-1.077,1.402,-0.376,22.0,0.325,S,#CD3C3C,9,1.0,0,0,0.359,0,0,0,0,0.0,15
2,2022,2022011,0,Haas F1 Team,16,MSC,Mick Schumacher,47,#505050,10.0,10,103.969,102.483,1,0,102.321,1.811,-2.667,2.774,-1.280,22.0,-1.182,1.574,-0.395,22.0,0.107,S,#CD3C3C,10,1.0,0,0,0.359,0,0,0,0,-1.0,16
