SeasonID,EventIndex,EventNumber,RaceID,SprintIndex,DriverID,TeamID,Number,Laptime,LaptimeClear,PaceDiff,PaceDiffClear,PaceMarker,PLabel,PaceAvg,PaceClearAvg,PaceAvgLabel,PaceClearAvgLabel,PacePelotoneAvg,PaceClearPelotoneAvg,PacePelotoneAvgLabel,PaceClearPelotoneAvgLabel,PaceDiffRankOrder,PaceDiffClearRankOrder,PaceDiffByWorst,PaceDiffClearByWorst,PaceDiffByBest,PaceDiffClearByBest,PaceDiffBetterLapsCount,PaceDiffBetterLapsCountSum,PaceDiffBetterLapsCountPerc,EventID
2022,0,1,2022011,2,2,14,1,97.908,97.903,1.512,1.518,99.466,19,-,-,-,-,99.378,99.304,01:39.378,01:39.304,2,2,3.105,2.9850000000000003,0.09,0.1,15.0,33.0,45.5,7
2022,0,1,2022011,2,17,2,10,99.511,99.458,0.054,0.106,99.622,DNF,97.908,97.903,01:37.908,01:37.903,99.378,99.304,01:39.378,01:39.304,8,8,1.647,1.5730000000000002,1.548,1.512,27.0,34.0,79.4,7
2022,0,1,2022011,2,5,14,11,98.125,98.076,1.258,1.308,99.378,18,-,-,-,-,99.378,99.304,01:39.378,01:39.304,4,4,2.851,2.7750000000000004,0.3440000000000001,0.31,18.0,33.0,54.5,7
2022,0,1,2022011,2,19,3,14,99.528,99.46,-0.262,-0.193,99.378,9,100.538,100.455,01:40.538,01:40.455,99.378,99.304,01:39.378,01:39.304,13,13,1.331,1.274,1.864,1.811,9.0,37.0,24.3,7
2022,0,1,2022011,2,6,5,16,97.634,97.618,1.602,1.618,99.378,1,100.838,100.707,01:40.838,01:40.707,99.378,99.304,01:39.378,01:39.304,1,1,3.1950000000000003,3.085,0.0,0.0,31.0,40.0,77.5,7
2022,0,1,2022011,2,10,4,18,100.39,100.319,-0.923,-0.852,99.378,12,-,-,-,-,99.378,99.304,01:39.378,01:39.304,15,15,0.6699999999999999,0.6150000000000001,2.5250000000000004,2.47,27.0,41.0,65.9,7
2022,0,1,2022011,2,22,7,20,99.104,99.048,0.215,0.270,99.378,5,100.919,100.794,01:40.919,01:40.794,99.378,99.304,01:39.378,01:39.304,7,7,1.808,1.737,1.387,1.348,35.0,41.0,85.4,7
2022,0,1,2022011,2,9,2,22,99.41,99.341,-0.095,-0.025,99.378,8,-,-,-,-,99.378,99.304,01:39.378,01:39.304,11,11,1.498,1.4420000000000002,1.697,1.643,7.0,34.0,20.6,7
2022,0,1,2022011,2,24,18,23,100.595,100.475,-1.236,-1.116,99.378,13,-,-,-,-,99.378,99.304,01:39.378,01:39.304,17,17,0.357,0.351,2.838,2.734,28.0,40.0,70.0,7
2022,0,1,2022011,2,23,1,24,99.461,99.404,-0.097,-0.041,99.378,10,-,-,-,-,99.378,99.304,01:39.378,01:39.304,12,12,1.496,1.4260000000000002,1.699,1.659,24.0,42.0,57.1,7
2022,0,1,2022011,2,25,4,27,100.975,100.757,-1.509,-1.290,99.378,17,99.511,99.458,01:39.511,01:39.458,99.378,99.304,01:39.378,01:39.304,19,18,0.084,0.177,3.111,2.9080000000000004,14.0,41.0,34.1,7
2022,0,1,2022011,2,7,9,3,100.538,100.455,-1.126,-1.043,99.378,14,98.125,98.076,01:38.125,01:38.076,99.378,99.304,01:39.378,01:39.304,16,16,0.4670000000000001,0.4240000000000001,2.728,2.661,21.0,38.0,55.3,7
2022,0,1,2022011,2,13,3,31,99.283,99.231,0.035,0.087,99.378,7,-,-,-,-,99.378,99.304,01:39.378,01:39.304,9,9,1.628,1.554,1.5670000000000002,1.531,28.0,37.0,75.7,7
2022,0,1,2022011,2,4,9,4,100.838,100.707,-1.465,-1.332,99.378,15,-,-,-,-,99.378,99.304,01:39.378,01:39.304,18,19,0.1279999999999999,0.135,3.067,2.95,17.0,38.0,44.7,7
2022,0,1,2022011,2,1,10,44,98.304,98.217,0.979,1.066,99.378,3,99.528,99.46,01:39.528,01:39.460,99.378,99.304,01:39.378,01:39.304,5,5,2.572,2.5330000000000004,0.6230000000000001,0.552,18.0,39.0,46.2,7
2022,0,1,2022011,2,16,7,47,100.106,100.009,-0.787,-0.691,99.378,11,-,-,-,-,99.378,99.304,01:39.378,01:39.304,14,14,0.8059999999999999,0.7760000000000001,2.389,2.309,6.0,41.0,14.6,7
2022,0,1,2022011,2,8,5,55,98.01,97.965,1.326,1.371,99.378,2,97.634,97.618,01:37.634,01:37.618,99.378,99.304,01:39.378,01:39.304,3,3,2.919,2.838,0.276,0.2470000000000001,9.0,40.0,22.5,7
2022,0,1,2022011,2,18,18,6,100.919,100.794,-1.593,-1.467,99.378,16,-,-,-,-,99.378,99.304,01:39.378,01:39.304,20,20,0.0,0.0,3.1950000000000003,3.085,12.0,40.0,30.0,7
2022,0,1,2022011,2,14,10,63,98.654,98.618,0.668,0.704,99.378,4,100.39,100.319,01:40.390,01:40.319,99.378,99.304,01:39.378,01:39.304,6,6,2.261,2.1710000000000003,0.934,0.914,21.0,39.0,53.8,7
2022,0,1,2022011,2,3,1,77,99.381,99.279,-0.045,0.058,99.378,6,-,-,-,-,99.378,99.304,01:39.378,01:39.304,10,10,1.548,1.525,1.647,1.56,18.0,42.0,42.9,7
2022,1,2,2022021,2,2,14,1,93.57,93.478,1.473,1.565,95.132,1,-,-,-,-,95.132,95.017,01:35.132,01:35.017,2,2,3.649,3.093,0.0249999999999999,0.0330000000000001,23.0,37.0,62.2,32
2022,1,2,2022021,2,17,2,10,95.568,95.469,-0.587,-0.488,95.132,8,93.57,93.478,01:33.570,01:33.478,95.132,95.017,01:35.132,01:35.017,13,13,1.5890000000000002,1.04,2.085,2.0860000000000003,-,-,-,32
2022,1,2,2022021,2,5,14,11,93.595,93.559,1.412,1.448,95.132,4,-,-,-,-,95.132,95.017,01:35.132,01:35.017,3,3,3.588,2.976,0.086,0.1500000000000001,14.0,37.0,37.8,32
2022,1,2,2022021,2,19,3,14,95.749,95.689,-0.144,-0.084,95.605,DNF,95.925,95.925,01:35.925,01:35.925,95.132,95.017,01:35.132,01:35.017,7,7,2.032,1.444,1.642,1.6820000000000002,22.0,27.0,81.5,32
2022,1,2,2022021,2,6,5,16,93.546,93.446,1.498,1.598,95.132,2,95.523,95.464,01:35.523,01:35.464,95.132,95.017,01:35.132,01:35.017,1,1,3.674,3.1260000000000003,0.0,0.0,27.0,38.0,71.1,32
2022,1,2,2022021,2,10,4,18,97.133,96.367,-2.176,-1.387,95.163,13,-,-,-,-,95.132,95.017,01:35.132,01:35.017,18,17,0.0,0.141,3.674,2.9850000000000003,15.0,34.0,44.1,32
2022,1,2,2022021,2,22,7,20,95.145,95.066,-0.116,-0.036,95.132,9,98.133,98.054,01:38.133,01:38.054,95.132,95.017,01:35.132,01:35.017,6,6,2.06,1.492,1.614,1.634,-,-,-,32
2022,1,2,2022021,2,24,18,23,96.447,96.375,-1.412,-1.339,95.186,14,-,-,-,-,95.132,95.017,01:35.132,01:35.017,16,16,0.7640000000000002,0.189,2.91,2.9370000000000003,3.0,10.0,30.0,32
2022,1,2,2022021,2,23,1,24,95.76,95.677,-0.715,-0.632,95.132,11,-,-,-,-,95.132,95.017,01:35.132,01:35.017,14,14,1.4610000000000003,0.896,2.213,2.23,5.0,24.0,20.8,32
2022,1,2,2022021,2,25,4,27,96.149,96.113,-1.119,-1.083,95.132,12,-,-,-,-,95.132,95.017,01:35.132,01:35.017,15,15,1.0570000000000002,0.445,2.617,2.681,19.0,34.0,55.9,32
2022,1,2,2022021,2,7,9,3,95.925,95.925,-0.394,-0.394,95.605,DNF,95.568,95.469,01:35.568,01:35.469,95.132,95.017,01:35.132,01:35.017,10,11,1.782,1.134,1.892,1.992,14.0,25.0,56.0,32
2022,1,2,2022021,2,13,3,31,95.415,95.358,-0.398,-0.341,95.132,6,93.595,93.559,01:33.595,01:33.559,95.132,95.017,01:35.132,01:35.017,11,10,1.778,1.187,1.896,1.939,5.0,27.0,18.5,32
2022,1,2,2022021,2,4,9,4,95.523,95.464,-0.505,-0.447,95.132,7,-,-,-,-,95.132,95.017,01:35.132,01:35.017,12,12,1.6710000000000005,1.081,2.003,2.045,11.0,25.0,44.0,32
2022,1,2,2022021,2,1,10,44,95.253,95.196,-0.21,-0.153,95.132,10,-,-,-,-,95.132,95.017,01:35.132,01:35.017,8,9,1.966,1.375,1.708,1.751,4.0,38.0,10.5,32
