SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,13_Laptime,17_Laptime,13_PaceDiff,17_PaceDiff,13_PaceDiffClear,17_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2023,2023040,1.0,1,Alpine,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,2.0,2,Alpine,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,3.0,3,Alpine,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,4.0,4,Alpine,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,5.0,5,Alpine,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,6.0,6,Alpine,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,7.0,7,Alpine,107.644,107.225,1.457,1.038,1.457,1.038,106.187,-0.419,17.0,-0.419,17,1.248,1.2475,1.248,1.2475
0,2023,2023040,8.0,8,Alpine,107.168,106.585,1.61,1.027,1.61,1.027,105.558,-0.583,17.0,-0.583,17,1.319,1.3185,1.319,1.3185
0,2023,2023040,9.0,9,Alpine,106.303,106.111,0.871,0.679,0.871,0.679,105.445,-0.192,17.0,-0.192,17,0.775,0.775,0.775,0.775
0,2023,2023040,10.0,10,Alpine,107.245,108.049,1.818,2.622,1.818,1.007,105.782,0.804,13.0,-0.811,17,2.220,2.2199999999999998,1.413,1.4125
0,2023,2023040,11.0,11,Alpine,108.751,106.757,3.011,1.017,3.011,1.017,105.792,-1.994,17.0,-1.994,17,2.014,2.0140000000000002,2.014,2.0140000000000002
0,2023,2023040,12.0,12,Alpine,,105.883,,0.542,,0.542,105.471,-,-,-,,-,1.4356666666666666,-,1.4356666666666666
0,2023,2023040,13.0,13,Alpine,,106.161,,0.621,,0.621,105.702,-,-,-,,-,0.8573333333333333,-,0.8573333333333333
0,2023,2023040,14.0,14,Alpine,105.388,106.282,-0.168,0.726,-0.168,0.726,105.665,0.894,13.0,0.894,13,0.279,0.27899999999999997,0.279,0.27899999999999997
0,2023,2023040,15.0,15,Alpine,105.09,106.1,-0.551,0.459,-0.551,0.459,105.641,1.010,13.0,1.010,13,-0.046,-0.04600000000000001,-0.046,-0.04600000000000001
0,2023,2023040,16.0,16,Alpine,105.295,106.206,-0.31,0.601,-0.31,0.601,105.656,0.911,13.0,0.911,13,0.145,0.1455,0.145,0.1455
