SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,10_Laptime,19_Laptime,10_PaceDiff,19_PaceDiff,10_PaceDiffClear,19_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2023,2023040,1.0,1,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,2.0,2,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,3.0,3,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,4.0,4,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,5.0,5,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,6.0,6,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,7.0,7,Aston Martin,106.11,105.085,-0.077,-1.102,-0.077,-1.102,106.187,-1.025,19.0,-1.025,19,-0.590,-0.5895,-0.590,-0.5895
0,2023,2023040,8.0,8,Aston Martin,105.212,104.751,-0.346,-0.807,-0.346,-0.807,105.558,-0.461,19.0,-0.461,19,-0.577,-0.5765,-0.577,-0.5765
0,2023,2023040,9.0,9,Aston Martin,105.342,104.939,-0.09,-0.493,-0.09,-0.722,105.445,-0.403,19.0,-0.632,19,-0.291,-0.2915,-0.406,-0.40599999999999997
0,2023,2023040,10.0,10,Aston Martin,104.932,104.668,-0.495,-0.759,-0.495,-0.759,105.782,-0.264,19.0,-0.264,19,-0.627,-0.627,-0.627,-0.627
0,2023,2023040,11.0,11,Aston Martin,104.956,104.593,-0.784,-1.147,-0.784,-1.147,105.792,-0.363,19.0,-0.363,19,-0.966,-0.9655,-0.966,-0.9655
0,2023,2023040,12.0,12,Aston Martin,105.803,104.544,0.462,-0.797,-0.28,-0.797,105.471,-1.259,19.0,-0.517,19,-0.168,-0.1675,-0.538,-0.5385
0,2023,2023040,13.0,13,Aston Martin,105.165,104.789,-0.375,-0.751,-0.375,-0.751,105.702,-0.376,19.0,-0.376,19,-0.563,-0.563,-0.563,-0.563
0,2023,2023040,14.0,14,Aston Martin,104.855,105.02,-0.701,-0.536,-0.701,-0.689,105.665,0.165,10.0,0.012,10,-0.619,-0.6185,-0.695,-0.695
0,2023,2023040,15.0,15,Aston Martin,104.888,104.944,-0.753,-0.697,-0.753,-0.697,105.641,0.056,10.0,0.056,10,-0.725,-0.725,-0.725,-0.725
0,2023,2023040,16.0,16,Aston Martin,105.316,104.926,-0.289,-0.679,-0.289,-0.679,105.656,-0.390,19.0,-0.390,19,-0.484,-0.484,-0.484,-0.484
0,2023,2023040,17.0,17,Aston Martin,105.692,105.007,-0.337,-1.022,-0.337,-1.022,106.029,-0.685,19.0,-0.685,19,-0.679,-0.6795,-0.679,-0.6795
0,2023,2023090,1.0,18,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023090,2.0,19,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023090,3.0,20,Aston Martin,79.135,79.644,-0.974,-0.465,-0.974,-0.465,80.109,0.509,10.0,0.509,10,-0.720,-0.7195,-0.720,-0.7195
0,2023,2023090,4.0,21,Aston Martin,78.012,78.607,-0.936,-0.341,-0.936,-0.341,78.948,0.595,10.0,0.595,10,-0.639,-0.6385000000000001,-0.639,-0.6385000000000001
0,2023,2023090,5.0,22,Aston Martin,77.827,77.613,-0.571,-0.785,-0.571,-0.785,78.398,-0.214,19.0,-0.214,19,-0.678,-0.6779999999999999,-0.678,-0.6779999999999999
0,2023,2023090,6.0,23,Aston Martin,77.7,77.36,-0.286,-0.626,-0.286,-0.626,77.986,-0.340,19.0,-0.340,19,-0.456,-0.45599999999999996,-0.456,-0.45599999999999996
0,2023,2023090,7.0,24,Aston Martin,77.044,76.949,-0.716,-0.811,-0.716,-0.811,77.79,-0.095,19.0,-0.095,19,-0.764,-0.7635000000000001,-0.764,-0.7635000000000001
0,2023,2023090,8.0,25,Aston Martin,77.091,77.469,-0.587,-0.209,-0.587,-0.589,77.697,0.378,10.0,-0.002,19,-0.398,-0.39799999999999996,-0.588,-0.588
0,2023,2023090,9.0,26,Aston Martin,76.802,77.229,-0.715,-0.288,-0.715,-0.288,77.529,0.427,10.0,0.427,10,-0.501,-0.5015,-0.501,-0.5015
0,2023,2023090,10.0,27,Aston Martin,77.063,76.878,-0.305,-0.49,-0.305,-0.49,77.368,-0.185,19.0,-0.185,19,-0.397,-0.39749999999999996,-0.397,-0.39749999999999996
0,2023,2023090,11.0,28,Aston Martin,76.949,76.512,-0.287,-0.724,-0.287,-0.724,77.236,-0.437,19.0,-0.437,19,-0.505,-0.5055,-0.505,-0.5055
0,2023,2023090,12.0,29,Aston Martin,76.569,76.249,-0.446,-0.766,-0.446,-0.766,77.097,-0.320,19.0,-0.320,19,-0.606,-0.606,-0.606,-0.606
0,2023,2023090,13.0,30,Aston Martin,76.422,76.227,-0.505,-0.7,-0.505,-0.7,76.962,-0.195,19.0,-0.195,19,-0.603,-0.6025,-0.603,-0.6025
0,2023,2023090,14.0,31,Aston Martin,76.282,75.999,-0.421,-0.704,-0.421,-0.704,76.727,-0.283,19.0,-0.283,19,-0.562,-0.5625,-0.562,-0.5625
0,2023,2023090,15.0,32,Aston Martin,76.209,76.22,-0.317,-0.306,-0.317,-0.306,76.526,0.011,10.0,0.011,10,-0.311,-0.3115,-0.311,-0.3115
0,2023,2023090,16.0,33,Aston Martin,76.009,76.184,-0.506,-0.331,-0.506,-0.331,76.564,0.175,10.0,0.175,10,-0.418,-0.4185,-0.418,-0.4185
0,2023,2023090,17.0,34,Aston Martin,75.919,77.073,-0.038,1.116,-0.038,-0.376,76.072,1.154,10.0,-0.338,19,0.539,0.539,-0.207,-0.207
0,2023,2023090,18.0,35,Aston Martin,76.31,74.978,1.001,-0.331,0.57,-0.331,75.421,-1.332,19.0,-0.901,19,0.335,0.33499999999999996,0.119,0.11949999999999997
0,2023,2023090,19.0,36,Aston Martin,75.84,75.873,0.772,0.805,0.772,0.263,75.1,0.033,10.0,-0.509,19,0.788,0.7885,0.518,0.5175000000000001
0,2023,2023090,20.0,37,Aston Martin,75.693,75.684,0.991,0.982,0.991,0.982,74.828,-0.009,19.0,-0.009,19,0.986,0.9864999999999999,0.986,0.9864999999999999
0,2023,2023090,21.0,38,Aston Martin,75.863,75.777,1.895,1.809,1.895,1.809,73.968,-0.086,19.0,-0.086,19,1.852,1.8519999999999999,1.852,1.8519999999999999
0,2023,2023090,22.0,39,Aston Martin,76.195,76.144,2.643,2.592,2.643,2.592,73.566,-0.051,19.0,-0.051,19,2.617,2.6174999999999997,2.617,2.6174999999999997
0,2023,2023090,23.0,40,Aston Martin,75.531,75.624,1.911,2.004,1.911,2.004,73.782,0.093,10.0,0.093,10,1.958,1.9575,1.958,1.9575
0,2023,2023090,24.0,41,Aston Martin,77.075,76.981,3.287,3.193,3.287,3.193,73.788,-0.094,19.0,-0.094,19,3.240,3.24,3.240,3.24
0,2023,2023120,1.0,42,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,2.0,43,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,3.0,44,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,4.0,45,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,5.0,46,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,6.0,47,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,7.0,48,Aston Martin,124.383,,0.637,,0.637,,123.746,-,-,-,,-,,-,
0,2023,2023120,8.0,49,Aston Martin,124.042,,0.645,,0.645,,123.648,-,-,-,,-,,-,
0,2023,2023120,9.0,50,Aston Martin,123.939,,0.161,,0.161,,123.827,-,-,-,,-,,-,
0,2023,2023120,10.0,51,Aston Martin,124.437,,0.714,,0.428,,123.817,-,-,-,,-,,-,
0,2023,2023120,11.0,52,Aston Martin,124.362,,0.334,,0.334,,124.028,-,-,-,,-,,-,
0,2023,2023170,1.0,53,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,2.0,54,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,3.0,55,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,4.0,56,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,5.0,57,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,6.0,58,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,7.0,59,Aston Martin,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,8.0,60,Aston Martin,90.04,89.084,0.519,-0.437,0.519,-0.437,89.521,-0.956,19.0,-0.956,19,0.041,0.04100000000000001,0.041,0.04100000000000001
0,2023,2023170,9.0,61,Aston Martin,89.992,89.286,0.582,-0.124,0.582,-0.124,89.485,-0.706,19.0,-0.706,19,0.229,0.22899999999999998,0.229,0.22899999999999998
0,2023,2023170,10.0,62,Aston Martin,90.364,89.691,0.772,0.099,0.772,0.099,89.592,-0.673,19.0,-0.673,19,0.435,0.4355,0.435,0.4355
0,2023,2023170,11.0,63,Aston Martin,,,,,,,,-,-,-,,-,0.462,-,0.462
0,2023,2023170,12.0,64,Aston Martin,,,,,,,,-,-,-,,-,0.4885,-,0.4885
