SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,22_Laptime,25_Laptime,22_PaceDiff,25_PaceDiff,22_PaceDiffClear,25_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2023,2023040,1.0,1,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,2.0,2,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,3.0,3,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,4.0,4,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,5.0,5,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,6.0,6,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,7.0,7,Haas F1 Team,106.602,106.632,0.415,0.445,0.415,0.445,106.187,0.030,22.0,0.030,22,0.430,0.43,0.430,0.43
0,2023,2023040,8.0,8,Haas F1 Team,105.942,105.971,0.384,0.413,0.384,0.413,105.558,0.029,22.0,0.029,22,0.398,0.39849999999999997,0.398,0.39849999999999997
0,2023,2023040,9.0,9,Haas F1 Team,106.188,106.362,0.756,0.93,0.756,0.93,105.445,0.174,22.0,0.174,22,0.843,0.843,0.843,0.843
0,2023,2023040,10.0,10,Haas F1 Team,106.635,106.594,1.208,1.167,0.752,1.167,105.782,-0.041,25.0,0.415,22,1.188,1.1875,0.960,0.9595
0,2023,2023040,11.0,11,Haas F1 Team,106.17,108.319,0.43,2.579,0.43,1.704,105.792,2.149,22.0,1.274,22,1.505,1.5045000000000002,1.067,1.067
0,2023,2023040,12.0,12,Haas F1 Team,105.767,108.294,0.426,2.953,0.426,2.953,105.471,2.527,22.0,2.527,22,1.690,1.6895,1.690,1.6895
0,2023,2023040,13.0,13,Haas F1 Team,105.401,110.815,-0.139,5.275,-0.139,2.888,105.702,5.414,22.0,3.027,22,2.568,2.568,1.374,1.3744999999999998
0,2023,2023040,14.0,14,Haas F1 Team,105.349,108.562,-0.207,3.006,-0.207,3.006,105.665,3.213,22.0,3.213,22,1.399,1.3995,1.399,1.3995
0,2023,2023040,15.0,15,Haas F1 Team,105.383,109.207,-0.258,3.566,-0.258,3.566,105.641,3.824,22.0,3.824,22,1.654,1.654,1.654,1.654
0,2023,2023040,16.0,16,Haas F1 Team,105.542,108.055,-0.063,2.45,-0.063,2.45,105.656,2.513,22.0,2.513,22,1.194,1.1935,1.194,1.1935
0,2023,2023040,17.0,17,Haas F1 Team,106.442,107.851,0.413,1.822,0.413,1.822,106.029,1.409,22.0,1.409,22,1.117,1.1175,1.117,1.1175
0,2023,2023090,1.0,18,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
0,2023,2023090,2.0,19,Haas F1 Team,,,,,,,,-,-,-,,-,,-,
0,2023,2023090,3.0,20,Haas F1 Team,79.793,78.323,-0.316,-1.786,-0.316,-1.786,80.109,-1.470,25.0,-1.470,25,-1.051,-1.051,-1.051,-1.051
0,2023,2023090,4.0,21,Haas F1 Team,78.849,77.818,-0.099,-1.13,-0.099,-1.13,78.948,-1.031,25.0,-1.031,25,-0.614,-0.6144999999999999,-0.614,-0.6144999999999999
0,2023,2023090,5.0,22,Haas F1 Team,78.458,77.252,0.06,-1.146,0.06,-1.146,78.398,-1.206,25.0,-1.206,25,-0.543,-0.5429999999999999,-0.543,-0.5429999999999999
0,2023,2023090,6.0,23,Haas F1 Team,78.194,77.24,0.208,-0.746,0.208,-0.746,77.986,-0.954,25.0,-0.954,25,-0.269,-0.269,-0.269,-0.269
