SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,1_Laptime,14_Laptime,1_PaceDiff,14_PaceDiff,1_PaceDiffClear,14_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2023,2023040,1.0,1,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,2.0,2,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,3.0,3,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,4.0,4,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,5.0,5,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,6.0,6,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,7.0,7,Mercedes,106.155,105.065,-0.032,-1.122,-0.032,-1.122,106.187,-1.090,14.0,-1.090,14,-0.577,-0.5770000000000001,-0.577,-0.5770000000000001
0,2023,2023040,8.0,8,Mercedes,104.601,105.018,-0.957,-0.54,-0.957,-0.54,105.558,0.417,1.0,0.417,1,-0.748,-0.7484999999999999,-0.748,-0.7484999999999999
0,2023,2023040,9.0,9,Mercedes,104.788,104.498,-0.644,-0.934,-0.644,-0.934,105.445,-0.290,14.0,-0.290,14,-0.789,-0.789,-0.789,-0.789
0,2023,2023040,10.0,10,Mercedes,104.668,104.409,-0.759,-1.018,-0.759,-1.018,105.782,-0.259,14.0,-0.259,14,-0.889,-0.8885000000000001,-0.889,-0.8885000000000001
0,2023,2023040,11.0,11,Mercedes,104.767,104.5,-0.973,-1.24,-0.973,-1.24,105.792,-0.267,14.0,-0.267,14,-1.107,-1.1065,-1.107,-1.1065
0,2023,2023040,12.0,12,Mercedes,104.954,104.605,-0.387,-0.736,-0.387,-0.736,105.471,-0.349,14.0,-0.349,14,-0.561,-0.5615,-0.561,-0.5615
0,2023,2023040,13.0,13,Mercedes,105.227,104.752,-0.313,-0.788,-0.313,-0.788,105.702,-0.475,14.0,-0.475,14,-0.550,-0.5505,-0.550,-0.5505
0,2023,2023040,14.0,14,Mercedes,105.007,104.696,-0.549,-0.86,-0.549,-0.86,105.665,-0.311,14.0,-0.311,14,-0.705,-0.7045,-0.705,-0.7045
0,2023,2023040,15.0,15,Mercedes,105.437,104.61,-0.204,-1.031,-0.204,-1.031,105.641,-0.827,14.0,-0.827,14,-0.617,-0.6174999999999999,-0.617,-0.6174999999999999
0,2023,2023040,16.0,16,Mercedes,106.352,104.882,0.747,-0.723,0.041,-0.723,105.656,-1.470,14.0,-0.764,14,0.012,0.01200000000000001,-0.341,-0.34099999999999997
0,2023,2023040,17.0,17,Mercedes,105.854,105.15,-0.175,-0.879,-0.175,-0.879,106.029,-0.704,14.0,-0.704,14,-0.527,-0.527,-0.527,-0.527
0,2023,2023090,1.0,18,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023090,2.0,19,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023090,3.0,20,Mercedes,80.351,80.358,0.242,0.249,0.242,0.249,80.109,0.007,1.0,0.007,1,0.245,0.2455,0.245,0.2455
0,2023,2023090,4.0,21,Mercedes,79.162,78.859,0.214,-0.089,0.214,-0.089,78.948,-0.303,14.0,-0.303,14,0.062,0.0625,0.062,0.0625
0,2023,2023090,5.0,22,Mercedes,78.349,78.589,-0.049,0.191,-0.049,0.191,78.398,0.240,1.0,0.240,1,0.071,0.07100000000000001,0.071,0.07100000000000001
0,2023,2023090,6.0,23,Mercedes,78.007,78.162,0.021,0.176,0.021,0.176,77.986,0.155,1.0,0.155,1,0.098,0.09849999999999999,0.098,0.09849999999999999
0,2023,2023090,7.0,24,Mercedes,77.773,77.975,0.013,0.215,0.013,0.215,77.79,0.202,1.0,0.202,1,0.114,0.114,0.114,0.114
0,2023,2023090,8.0,25,Mercedes,77.722,77.651,0.044,-0.027,0.044,-0.027,77.697,-0.071,14.0,-0.071,14,0.008,0.008499999999999999,0.008,0.008499999999999999
0,2023,2023090,9.0,26,Mercedes,77.65,76.855,0.133,-0.662,0.133,-0.662,77.529,-0.795,14.0,-0.795,14,-0.265,-0.2645,-0.265,-0.2645
0,2023,2023090,10.0,27,Mercedes,76.902,76.68,-0.466,-0.688,-0.466,-0.688,77.368,-0.222,14.0,-0.222,14,-0.577,-0.577,-0.577,-0.577
0,2023,2023090,11.0,28,Mercedes,76.612,77.142,-0.624,-0.094,-0.624,-0.094,77.236,0.530,1.0,0.530,1,-0.359,-0.359,-0.359,-0.359
0,2023,2023090,12.0,29,Mercedes,76.547,77.112,-0.468,0.097,-0.468,0.097,77.097,0.565,1.0,0.565,1,-0.185,-0.1855,-0.185,-0.1855
0,2023,2023090,13.0,30,Mercedes,76.717,76.564,-0.21,-0.363,-0.21,-0.363,76.962,-0.153,14.0,-0.153,14,-0.286,-0.2865,-0.286,-0.2865
0,2023,2023090,14.0,31,Mercedes,76.554,76.802,-0.149,0.099,-0.149,0.099,76.727,0.248,1.0,0.248,1,-0.025,-0.024999999999999994,-0.025,-0.024999999999999994
0,2023,2023090,15.0,32,Mercedes,76.298,,-0.228,,-0.228,,76.526,-,-,-,,-,-0.1861,-,-0.1861
0,2023,2023090,16.0,33,Mercedes,76.088,,-0.427,,-0.427,,76.564,-,-,-,,-,-0.34719999999999995,-,-0.34719999999999995
0,2023,2023090,17.0,34,Mercedes,,75.214,,-0.743,,-0.743,76.072,-,-,-,,-,-0.5083,-,-0.5083
0,2023,2023090,18.0,35,Mercedes,,72.989,,-2.32,,-2.32,75.421,-,-,-,,-,,-,
0,2023,2023090,19.0,36,Mercedes,76.455,72.02,1.387,-3.048,1.387,-3.048,75.1,-4.435,14.0,-4.435,14,-0.831,-0.8305,-0.831,-0.8305
0,2023,2023090,20.0,37,Mercedes,75.095,71.62,0.393,-3.082,0.393,-3.082,74.828,-3.475,14.0,-3.475,14,-1.345,-1.3445,-1.345,-1.3445
0,2023,2023090,21.0,38,Mercedes,71.677,70.902,-2.291,-3.066,-2.291,-3.066,73.968,-0.775,14.0,-0.775,14,-2.678,-2.6784999999999997,-2.678,-2.6784999999999997
0,2023,2023090,22.0,39,Mercedes,70.938,70.97,-2.614,-2.582,-2.614,-2.582,73.566,0.032,1.0,0.032,1,-2.598,-2.598,-2.598,-2.598
0,2023,2023090,23.0,40,Mercedes,70.978,70.385,-2.642,-3.235,-2.642,-3.235,73.782,-0.593,14.0,-0.593,14,-2.938,-2.9385,-2.938,-2.9385
0,2023,2023090,24.0,41,Mercedes,70.775,72.825,-3.013,-0.963,-3.013,-0.963,73.788,2.050,1.0,2.050,1,-1.988,-1.988,-1.988,-1.988
0,2023,2023120,1.0,42,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,2.0,43,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,3.0,44,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,4.0,45,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,5.0,46,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,6.0,47,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,7.0,48,Mercedes,120.92,122.38,-2.826,-1.366,-2.826,-1.366,123.746,1.460,1.0,1.460,1,-2.096,-2.096,-2.096,-2.096
0,2023,2023120,8.0,49,Mercedes,122.87,123.143,-0.527,-0.254,-1.576,-0.906,123.648,0.273,1.0,0.670,1,-0.391,-0.3905,-1.241,-1.241
0,2023,2023120,9.0,50,Mercedes,122.722,122.601,-1.056,-1.177,-1.056,-1.177,123.827,-0.121,14.0,-0.121,14,-1.117,-1.1165,-1.117,-1.1165
0,2023,2023120,10.0,51,Mercedes,122.793,121.935,-0.93,-1.788,-0.93,-1.788,123.817,-0.858,14.0,-0.858,14,-1.359,-1.359,-1.359,-1.359
0,2023,2023120,11.0,52,Mercedes,122.837,122.478,-1.191,-1.55,-1.191,-1.55,124.028,-0.359,14.0,-0.359,14,-1.371,-1.3705,-1.371,-1.3705
0,2023,2023170,1.0,53,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,2.0,54,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,3.0,55,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,4.0,56,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,5.0,57,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,6.0,58,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,7.0,59,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,8.0,60,Mercedes,89.718,88.245,0.197,-1.276,0.197,-1.276,89.521,-1.473,14.0,-1.473,14,-0.539,-0.5395,-0.539,-0.5395
0,2023,2023170,9.0,61,Mercedes,89.481,88.579,0.071,-0.831,0.071,-0.831,89.485,-0.902,14.0,-0.902,14,-0.380,-0.38,-0.380,-0.38
0,2023,2023170,10.0,62,Mercedes,88.363,89.29,-1.229,-0.302,-1.229,-0.302,89.592,0.927,1.0,0.927,1,-0.766,-0.7655000000000001,-0.766,-0.7655000000000001
0,2023,2023170,11.0,63,Mercedes,,,,,,,,-,-,-,,-,-0.6632500000000001,-,-0.6632500000000001
0,2023,2023170,12.0,64,Mercedes,,,,,,,,-,-,-,,-,-0.561,-,-0.561
0,2023,2023170,13.0,65,Mercedes,,,,,,,,-,-,-,,-,-0.45875000000000005,-,-0.45875000000000005
0,2023,2023170,14.0,66,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,15.0,67,Mercedes,,,,,,,,-,-,-,,-,,-,
0,2023,2023170,16.0,68,Mercedes,88.731,88.687,-0.13,-0.174,-0.13,-0.174,88.861,-0.044,14.0,-0.044,14,-0.152,-0.152,-0.152,-0.152
0,2023,2023170,17.0,69,Mercedes,89.168,88.338,0.378,-0.452,0.378,-0.452,88.957,-0.830,14.0,-0.830,14,-0.037,-0.037000000000000005,-0.037,-0.037000000000000005
0,2023,2023170,18.0,70,Mercedes,89.239,87.22,0.269,-1.75,0.269,-1.75,89.094,-2.019,14.0,-2.019,14,-0.740,-0.7404999999999999,-0.740,-0.7404999999999999
