SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,24_Laptime,27_Laptime,24_PaceDiff,27_PaceDiff,24_PaceDiffClear,27_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2023,2023040,1.0,1,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,2.0,2,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,3.0,3,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,4.0,4,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,5.0,5,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,6.0,6,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023040,7.0,7,Williams,106.018,,-0.169,,-0.169,,106.187,-,-,-,,-,,-,
0,2023,2023040,8.0,8,Williams,105.38,,-0.178,,-0.178,,105.558,-,-,-,,-,,-,
0,2023,2023040,9.0,9,Williams,105.455,,0.023,,0.023,,105.445,-,-,-,,-,,-,
0,2023,2023040,10.0,10,Williams,104.915,,-0.512,,-0.512,,105.782,-,-,-,,-,,-,
0,2023,2023040,11.0,11,Williams,105.056,,-0.684,,-0.684,,105.792,-,-,-,,-,,-,
0,2023,2023040,12.0,12,Williams,106.666,,1.325,,0.092,,105.471,-,-,-,,-,,-,
0,2023,2023040,13.0,13,Williams,105.81,,0.27,,0.27,,105.702,-,-,-,,-,,-,
0,2023,2023040,14.0,14,Williams,105.295,,-0.261,,-0.261,,105.665,-,-,-,,-,,-,
0,2023,2023040,15.0,15,Williams,105.592,,-0.049,,-0.049,,105.641,-,-,-,,-,,-,
0,2023,2023040,16.0,16,Williams,105.849,,0.244,,0.244,,105.656,-,-,-,,-,,-,
0,2023,2023040,17.0,17,Williams,106.108,,0.079,,0.079,,106.029,-,-,-,,-,,-,
0,2023,2023090,1.0,18,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023090,2.0,19,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023090,3.0,20,Williams,79.626,81.289,-0.483,1.18,-0.483,1.18,80.109,1.663,24.0,1.663,24,0.348,0.3485,0.348,0.3485
0,2023,2023090,4.0,21,Williams,78.568,80.122,-0.38,1.174,-0.38,1.174,78.948,1.554,24.0,1.554,24,0.397,0.39699999999999996,0.397,0.39699999999999996
0,2023,2023090,5.0,22,Williams,77.972,79.573,-0.426,1.175,-0.426,1.175,78.398,1.601,24.0,1.601,24,0.375,0.37450000000000006,0.375,0.37450000000000006
0,2023,2023090,6.0,23,Williams,77.536,78.54,-0.45,0.554,-0.45,0.554,77.986,1.004,24.0,1.004,24,0.052,0.05200000000000002,0.052,0.05200000000000002
0,2023,2023090,7.0,24,Williams,77.46,78.659,-0.3,0.899,-0.3,0.899,77.79,1.199,24.0,1.199,24,0.299,0.2995,0.299,0.2995
0,2023,2023090,8.0,25,Williams,78.128,78.112,0.45,0.434,0.45,0.434,77.697,-0.016,27.0,-0.016,27,0.442,0.442,0.442,0.442
0,2023,2023090,9.0,26,Williams,78.244,77.701,0.727,0.184,0.727,0.184,77.529,-0.543,27.0,-0.543,27,0.456,0.4555,0.456,0.4555
0,2023,2023090,10.0,27,Williams,77.641,77.933,0.273,0.565,0.273,0.565,77.368,0.292,24.0,0.292,24,0.419,0.419,0.419,0.419
0,2023,2023090,11.0,28,Williams,77.237,77.201,0.001,-0.035,0.001,-0.035,77.236,-0.036,27.0,-0.036,27,-0.017,-0.017,-0.017,-0.017
0,2023,2023090,12.0,29,Williams,76.826,77.737,-0.189,0.722,-0.189,0.722,77.097,0.911,24.0,0.911,24,0.266,0.26649999999999996,0.266,0.26649999999999996
0,2023,2023090,13.0,30,Williams,77.005,78.278,0.078,1.351,0.078,1.351,76.962,1.273,24.0,1.273,24,0.715,0.7145,0.715,0.7145
0,2023,2023090,14.0,31,Williams,76.255,76.796,-0.448,0.093,-0.448,0.093,76.727,0.541,24.0,0.541,24,-0.177,-0.1775,-0.177,-0.1775
0,2023,2023090,15.0,32,Williams,76.242,76.641,-0.284,0.115,-0.284,0.115,76.526,0.399,24.0,0.399,24,-0.084,-0.08449999999999999,-0.084,-0.08449999999999999
0,2023,2023090,16.0,33,Williams,76.747,77.193,0.232,0.678,0.232,0.678,76.564,0.446,24.0,0.446,24,0.455,0.455,0.455,0.455
0,2023,2023090,17.0,34,Williams,76.29,,0.333,,0.333,,76.072,-,-,-,,-,0.10050000000000003,-,0.10050000000000003
0,2023,2023090,18.0,35,Williams,,,,,,,75.421,-,-,-,,-,-0.25399999999999995,-,-0.25399999999999995
0,2023,2023090,19.0,36,Williams,,74.54,,-0.528,,-0.528,75.1,-,-,-,,-,-0.6084999999999998,-,-0.6084999999999998
0,2023,2023090,20.0,37,Williams,74.83,72.648,0.128,-2.054,0.128,-2.054,74.828,-2.182,27.0,-2.182,27,-0.963,-0.9629999999999999,-0.963,-0.9629999999999999
0,2023,2023090,21.0,38,Williams,73.793,71.829,-0.175,-2.139,-0.175,-2.139,73.968,-1.964,27.0,-1.964,27,-1.157,-1.1569999999999998,-1.157,-1.1569999999999998
0,2023,2023090,22.0,39,Williams,72.725,71.942,-0.827,-1.61,-0.827,-1.61,73.566,-0.783,27.0,-0.783,27,-1.219,-1.2185000000000001,-1.219,-1.2185000000000001
0,2023,2023090,23.0,40,Williams,73.162,71.852,-0.458,-1.768,-0.458,-1.768,73.782,-1.310,27.0,-1.310,27,-1.113,-1.113,-1.113,-1.113
0,2023,2023090,24.0,41,Williams,71.635,72.76,-2.153,-1.028,-2.153,-1.028,73.788,1.125,24.0,1.125,24,-1.591,-1.5905,-1.591,-1.5905
0,2023,2023120,1.0,42,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,2.0,43,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,3.0,44,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,4.0,45,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,5.0,46,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,6.0,47,Williams,,,,,,,,-,-,-,,-,,-,
0,2023,2023120,7.0,48,Williams,124.403,124.814,0.657,1.068,0.657,1.068,123.746,0.411,24.0,0.411,24,0.863,0.8625,0.863,0.8625
0,2023,2023120,8.0,49,Williams,124.461,124.709,1.064,1.312,1.064,1.312,123.648,0.248,24.0,0.248,24,1.188,1.1880000000000002,1.188,1.1880000000000002
0,2023,2023120,9.0,50,Williams,124.444,124.756,0.666,0.978,0.666,0.978,123.827,0.312,24.0,0.312,24,0.822,0.8220000000000001,0.822,0.8220000000000001
0,2023,2023120,10.0,51,Williams,123.702,125.133,-0.021,1.41,-0.021,1.41,123.817,1.431,24.0,1.431,24,0.695,0.6945,0.695,0.6945
