SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,7_Laptime,9_Laptime,26_Laptime,29_Laptime,7_PaceDiff,9_PaceDiff,26_PaceDiff,29_PaceDiff,7_PaceDiffClear,9_PaceDiffClear,26_PaceDiffClear,29_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2023,2023011,1.0,1,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023011,2.0,2,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023011,3.0,3,Alpha Tauri,,100.243,100.914,,,0.406,1.077,,,0.406,1.077,,99.837,-,9.0,-,9,-,,-,
2,2023,2023011,4.0,4,Alpha Tauri,,99.95,100.373,,,0.129,0.552,,,0.129,0.552,,99.945,-,9.0,-,9,-,,-,
2,2023,2023011,5.0,5,Alpha Tauri,,101.131,100.63,,,1.145,0.644,,,0.432,0.644,,100.1,-,26.0,-,9,-,,-,
2,2023,2023011,6.0,6,Alpha Tauri,,100.886,101.125,,,0.7,0.939,,,0.7,0.939,,100.192,-,9.0,-,9,-,,-,
2,2023,2023011,7.0,7,Alpha Tauri,,100.952,101.166,,,0.678,0.892,,,0.678,0.892,,100.306,-,9.0,-,9,-,,-,
2,2023,2023011,8.0,8,Alpha Tauri,,100.846,101.23,,,0.471,0.855,,,0.471,0.855,,100.395,-,9.0,-,9,-,,-,
2,2023,2023011,9.0,9,Alpha Tauri,,101.01,101.573,,,0.533,1.096,,,0.533,1.096,,100.486,-,9.0,-,9,-,,-,
2,2023,2023011,10.0,10,Alpha Tauri,,,101.666,,,,1.043,,,,1.043,,100.623,-,-,-,,-,,-,
2,2023,2023011,11.0,11,Alpha Tauri,,,,,,,,,,,,,100.585,-,-,-,,-,,-,
2,2023,2023011,12.0,12,Alpha Tauri,,99.143,,,,-0.921,,,,-0.921,,,100.064,-,-,-,,-,,-,
2,2023,2023011,13.0,13,Alpha Tauri,,99.471,98.924,,,0.03,-0.517,,,-0.498,-0.517,,99.523,-,26.0,-,26,-,,-,
2,2023,2023011,14.0,14,Alpha Tauri,,98.742,98.829,,,-0.277,-0.19,,,-0.277,-0.19,,99.019,-,9.0,-,9,-,,-,
2,2023,2023011,15.0,15,Alpha Tauri,,98.975,98.868,,,0.324,0.217,,,0.324,0.217,,98.714,-,26.0,-,26,-,,-,
2,2023,2023011,16.0,16,Alpha Tauri,,99.061,99.127,,,0.483,0.548,,,0.483,0.353,,98.613,-,9.0,-,26,-,,-,
2,2023,2023011,17.0,17,Alpha Tauri,,99.021,98.996,,,0.377,0.352,,,0.377,0.352,,98.704,-,26.0,-,26,-,,-,
2,2023,2023011,18.0,18,Alpha Tauri,,99.302,99.054,,,0.568,0.32,,,0.361,0.32,,98.794,-,26.0,-,26,-,,-,
2,2023,2023011,19.0,19,Alpha Tauri,,99.17,99.078,,,0.525,0.433,,,0.525,0.433,,98.679,-,26.0,-,26,-,,-,
2,2023,2023011,20.0,20,Alpha Tauri,,99.282,99.182,,,0.641,0.541,,,0.641,0.541,,98.706,-,26.0,-,26,-,,-,
2,2023,2023011,21.0,21,Alpha Tauri,,99.325,99.182,,,0.621,0.478,,,0.621,0.478,,98.735,-,26.0,-,26,-,,-,
2,2023,2023011,22.0,22,Alpha Tauri,,99.439,99.296,,,0.683,0.54,,,0.683,0.54,,98.826,-,26.0,-,26,-,,-,
2,2023,2023011,23.0,23,Alpha Tauri,,99.632,99.542,,,0.818,0.728,,,0.818,0.728,,98.882,-,26.0,-,26,-,,-,
