SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,14_Laptime,35_Laptime,14_PaceDiff,35_PaceDiff,14_PaceDiffClear,35_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffClearTeammateMean,PaceDiffTeammateBetterMode
2,2025,2025011,1.0,1,Mercedes,,,,,,,,,,,,,,14
2,2025,2025011,2.0,2,Mercedes,,,,,,,,,,,,,,14
2,2025,2025011,3.0,3,Mercedes,,,,,,,,,,,,,,14
2,2025,2025011,4.0,4,Mercedes,,,,,,,,,,,,,,14
2,2025,2025011,5.0,5,Mercedes,,,,,,,,,,,,,,14
2,2025,2025011,6.0,6,Mercedes,,,,,,,,,,,,,,14
2,2025,2025011,7.0,7,Mercedes,,,,,,,,,,,,,,14
2,2025,2025011,8.0,8,Mercedes,,,,,,,,,,,,,,14
2,2025,2025011,9.0,9,Mercedes,94.873,96.312,-1.269,0.17,-1.269,0.17,96.142,1.4389999999999998,14,1.4389999999999998,14,-0.5495,-0.5495,14
2,2025,2025011,10.0,10,Mercedes,93.587,95.27,-1.136,0.547,-1.136,0.547,94.723,1.6829999999999998,14,1.6829999999999998,14,-0.29449999999999993,-0.29449999999999993,14
2,2025,2025011,11.0,11,Mercedes,93.347,94.678,-0.871,0.46,-0.871,0.46,94.26,1.331,14,1.331,14,-0.2055,-0.2055,14
2,2025,2025011,12.0,12,Mercedes,92.803,95.385,-0.866,1.716,-0.866,1.716,93.669,2.582,14,2.582,14,0.425,0.425,14
2,2025,2025011,13.0,13,Mercedes,92.364,93.697,-0.742,0.591,-0.742,0.591,93.106,1.333,14,1.333,14,-0.07550000000000001,-0.07550000000000001,14
2,2025,2025011,14.0,14,Mercedes,91.856,93.802,-0.831,1.115,-0.831,1.115,92.756,1.946,14,1.946,14,0.14200000000000002,0.14200000000000002,14
2,2025,2025011,15.0,15,Mercedes,91.885,92.212,-0.511,-0.184,-0.511,-0.184,92.396,0.327,14,0.327,14,-0.34750000000000003,-0.34750000000000003,14
2,2025,2025011,16.0,16,Mercedes,91.739,97.326,-0.684,4.903,-0.684,-0.161,92.721,5.587,14,0.523,14,2.1094999999999997,-0.42250000000000004,14
2,2025,2025011,17.0,17,Mercedes,91.597,92.312,-1.257,-0.542,-1.257,-0.542,93.052,0.7149999999999999,14,0.7149999999999999,14,-0.8995,-0.8995,14
2,2025,2025011,18.0,18,Mercedes,91.74,92.181,-1.217,-0.776,-1.217,-0.776,92.957,0.44100000000000006,14,0.44100000000000006,14,-0.9965,-0.9965,14
2,2025,2025011,19.0,19,Mercedes,92.189,91.942,-0.594,-0.841,-1.255,-0.841,92.861,-0.247,35,0.4139999999999999,14,-0.7175,-1.048,14
2,2025,2025011,20.0,20,Mercedes,91.315,91.319,-1.085,-1.081,-1.085,-1.081,92.4,0.0040000000000000036,14,0.0040000000000000036,14,-1.083,-1.083,14
2,2025,2025011,21.0,21,Mercedes,91.127,91.042,-0.905,-0.99,-0.905,-0.99,92.032,-0.08499999999999996,35,-0.08499999999999996,35,-0.9475,-0.9475,14
2,2025,2025011,22.0,22,Mercedes,91.029,91.887,-0.978,-0.12,-0.978,-0.12,92.109,0.858,14,0.858,14,-0.5489999999999999,-0.5489999999999999,14
2,2025,2025011,23.0,23,Mercedes,90.975,91.324,-0.866,-0.517,-0.866,-0.517,91.89,0.349,14,0.349,14,-0.6915,-0.6915,14
2,2025,2025011,24.0,24,Mercedes,90.673,90.822,-0.886,-0.737,-0.886,-0.737,91.559,0.14900000000000002,14,0.14900000000000002,14,-0.8115,-0.8115,14
