SeasonID,DriverID,FullName,SprintIndex,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,ConsistencyAvg,OvertakesSum,OvertakesAvg,OvertakesGainAvg,OvertakesLostAvg,PaceAvg,StartSum,StartAvg,StartGainAvg,StartLostAvg,PaceStrAvg
2024,3.0,Valtteri Bottas,2.0,4.54,4.63,8.67,2.47,5.31,4.76,0.387,-45.0,-1.5517241379310345,1.41,2.97,90.0416896551724,-22.0,-0.7333333333333333,0.55,1.28,01:30.042
2024,2.0,Max Verstappen,2.0,8.91,6.47,9.67,9.38,6.46,7.69,0.211,25.0,0.8620689655172413,1.34,0.48,88.8213448275862,4.0,0.13333333333333333,0.59,0.45,01:28.821
2024,1.0,Lewis Hamilton,2.0,6.37,6.61,2.00,7.46,6.48,6.46,0.315,29.0,1.0357142857142858,2.54,1.50,88.98925,19.0,0.6333333333333333,0.82,0.36,01:28.989
2024,4.0,Lando Norris,2.0,7.88,6.04,8.00,9.12,5.34,6.78,0.248,15.0,0.5172413793103449,1.24,0.72,88.583,-17.0,-0.5862068965517241,0.17,0.76,01:28.583
2024,6.0,Charles Leclerc,2.0,7.64,6.35,6.00,8.24,6.87,7.12,0.259,18.0,0.6,1.53,0.93,89.06443333333333,27.0,0.9,1.03,0.13,01:29.064
2024,5.0,Sergio Perez,2.0,6.90,7.54,0.33,6.71,6.02,6.84,0.286,56.0,2.0,2.79,0.79,89.76932142857143,-4.0,-0.14285714285714285,0.68,0.82,01:29.769
2024,7.0,Daniel Ricciardo,2.0,4.89,6.02,3.81,3.51,4.06,4.97,0.350,0.0,0.0,1.90,1.90,90.04560000000001,-17.0,-0.85,0.20,1.05,01:30.046
2024,13.0,Esteban Ocon,2.0,5.77,5.21,5.17,3.34,6.47,5.80,0.331,-26.0,-0.9629629629629629,1.63,2.59,90.72203703703703,6.0,0.2222222222222222,0.89,0.67,01:30.722
2024,8.0,Carlos Sainz,2.0,7.53,6.47,4.14,8.02,5.63,6.79,0.266,28.0,0.9655172413793104,1.62,0.66,88.92003448275862,-6.0,-0.20689655172413793,0.34,0.55,01:28.920
2024,14.0,George Russell,2.0,7.63,6.29,8.00,7.61,5.85,6.85,0.262,21.0,0.7,1.73,1.03,89.038,-7.0,-0.23333333333333334,0.53,0.77,01:29.038
2024,17.0,Pierre Gasly,2.0,5.98,5.52,5.00,4.27,6.50,5.99,0.300,0.0,0.0,1.73,1.73,89.41453846153847,6.0,0.20689655172413793,0.73,0.46,01:29.415
2024,10.0,Lance Stroll,2.0,6.09,6.08,2.67,4.19,6.04,6.08,0.309,17.0,0.6538461538461539,2.62,1.96,89.98265384615385,-12.0,-0.41379310344827586,0.65,0.69,01:29.983
2024,9.0,Yuki Tsunoda,2.0,5.14,4.88,6.67,3.77,5.48,5.16,0.375,-30.0,-1.1538461538461537,1.35,2.50,89.35023076923076,-1.0,-0.034482758620689655,0.77,1.00,01:29.350
2024,19.0,Fernando Alonso,2.0,5.93,5.02,7.33,4.77,5.90,5.70,0.322,-18.0,-0.6206896551724138,1.72,2.34,90.03486206896551,-8.0,-0.26666666666666666,0.55,0.79,01:30.035
2024,24.0,Alexander Albon,2.0,5.63,5.93,8.28,3.39,5.47,5.66,0.328,-1.0,-0.038461538461538464,1.77,1.81,90.01165384615385,-11.0,-0.4074074074074074,0.65,0.92,01:30.012
2024,22.0,Kevin Magnussen,2.0,5.45,5.43,2.96,3.89,7.54,5.97,0.325,-19.0,-0.7307692307692307,1.92,2.65,90.46230769230769,37.0,1.4230769230769231,1.69,0.27,01:30.462
2024,23.0,Guanyu Zhou,2.0,4.76,4.31,1.33,2.41,5.70,4.88,0.359,-45.0,-1.6071428571428572,1.36,2.96,89.49317857142857,3.0,0.1,0.64,0.57,01:29.493
2024,25.0,Nico Hulkenberg,2.0,6.56,5.15,6.33,4.58,6.49,6.19,0.280,-14.0,-0.5,2.00,2.50,90.37053571428571,10.0,0.3448275862068966,0.93,0.64,01:30.371
2024,28.0,Oscar Piastri,2.0,7.46,7.17,2.00,8.13,5.98,7.02,0.263,46.0,1.5333333333333334,2.20,0.67,88.93066666666667,-12.0,-0.4,0.33,0.73,01:28.931
2024,29.0,Liam Lawson,2.0,5.94,3.81,2.22,3.79,6.21,5.48,0.300,-21.0,-2.3333333333333335,0.89,3.22,89.41266666666667,2.0,0.2222222222222222,1.44,1.22,01:29.413
2024,27.0,Logan Sargeant,2.0,3.63,5.26,1.18,2.37,5.80,4.58,0.403,-14.0,-0.9333333333333333,1.13,2.07,89.74106666666667,-2.0,-0.11764705882352941,0.53,0.60,01:29.741
2024,30.0,Oliver Bearman,2.0,6.20,7.43,5.00,5.69,5.75,6.39,0.364,2.0,1.6666666666666667,4.67,3.00,91.7895,0.0,0.0,0.50,0.50,01:31.790
2024,31.0,Franco Colapinto,2.0,6.41,5.65,2.50,4.31,6.36,6.21,0.279,-1.0,-0.1111111111111111,1.89,2.00,92.76877777777777,5.0,0.45454545454545453,0.78,0.56,01:32.769
2024,32.0,Jack Doohan,2.0,1.00,1.00,0.00,1.00,6.67,2.42,0.304,-4.0,-4.0,1.00,5.00,90.32,0.0,0.0,2.00,2.00,01:30.320
