SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,4_Laptime,28_Laptime,4_PaceDiff,28_PaceDiff,4_PaceDiffClear,28_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2024,2024050,1.0,1,McLaren,,,,,,,,-,-,-,,-,,-,
0,2024,2024050,2.0,2,McLaren,,,,,,,,-,-,-,,-,,-,
0,2024,2024050,3.0,3,McLaren,101.267,101.107,-0.873,-1.033,-0.873,-1.033,102.14,-0.160,28.0,-0.160,28,-0.953,-0.953,-0.953,-0.953
0,2024,2024050,4.0,4,McLaren,100.951,101.405,-0.806,-0.352,-0.806,-0.352,101.758,0.454,4.0,0.454,4,-0.579,-0.579,-0.579,-0.579
0,2024,2024050,5.0,5,McLaren,101.63,101.546,-0.172,-0.256,-0.838,-0.256,101.86,-0.084,28.0,0.582,4,-0.214,-0.214,-0.547,-0.5469999999999999
0,2024,2024050,6.0,6,McLaren,100.976,101.737,-0.934,-0.173,-0.934,-0.173,101.95,0.761,4.0,0.761,4,-0.553,-0.5535,-0.553,-0.5535
0,2024,2024050,7.0,7,McLaren,101.528,102.579,-0.621,0.43,-0.621,0.43,102.219,1.051,4.0,1.051,4,-0.096,-0.0955,-0.096,-0.0955
0,2024,2024050,8.0,8,McLaren,101.609,102.697,-0.699,0.389,-0.699,0.389,102.358,1.088,4.0,1.088,4,-0.155,-0.15499999999999997,-0.155,-0.15499999999999997
0,2024,2024050,9.0,9,McLaren,102.16,102.649,-0.249,0.24,-0.648,0.24,102.51,0.489,4.0,0.888,4,-0.005,-0.004500000000000004,-0.204,-0.20400000000000001
0,2024,2024050,10.0,10,McLaren,101.912,102.479,-0.565,0.002,-0.565,0.002,102.503,0.567,4.0,0.567,4,-0.281,-0.2815,-0.281,-0.2815
0,2024,2024050,11.0,11,McLaren,102.646,102.559,0.104,0.017,-0.431,0.017,102.581,-0.087,28.0,0.448,4,0.060,0.0605,-0.207,-0.207
0,2024,2024050,12.0,12,McLaren,102.31,102.494,-0.327,-0.143,-0.327,-0.143,102.652,0.184,4.0,0.184,4,-0.235,-0.235,-0.235,-0.235
0,2024,2024050,13.0,13,McLaren,102.674,102.515,-0.155,-0.314,-0.155,-0.314,102.854,-0.159,28.0,-0.159,28,-0.234,-0.2345,-0.234,-0.2345
0,2024,2024050,14.0,14,McLaren,102.356,102.658,-0.589,-0.287,-0.589,-0.287,102.989,0.302,4.0,0.302,4,-0.438,-0.43799999999999994,-0.438,-0.43799999999999994
0,2024,2024050,15.0,15,McLaren,102.857,102.458,-0.154,-0.553,-0.154,-0.553,103.053,-0.399,28.0,-0.399,28,-0.354,-0.35350000000000004,-0.354,-0.35350000000000004
0,2024,2024050,16.0,16,McLaren,104.141,102.643,1.254,-0.244,0.033,-0.374,103.232,-1.498,28.0,-0.407,28,0.505,0.505,-0.170,-0.17049999999999998
0,2024,2024050,17.0,17,McLaren,102.983,102.567,0.201,-0.216,0.201,-0.216,102.816,-0.417,28.0,-0.417,28,-0.007,-0.007499999999999993,-0.007,-0.007499999999999993
0,2024,2024050,18.0,18,McLaren,102.891,102.998,-0.034,0.073,-0.034,-0.235,103.115,0.107,4.0,-0.201,28,0.019,0.019499999999999997,-0.135,-0.1345
0,2024,2024050,19.0,19,McLaren,103.827,102.814,0.493,-0.52,0.493,-0.52,103.334,-1.013,28.0,-1.013,28,-0.014,-0.013500000000000012,-0.014,-0.013500000000000012
0,2024,2024060,1.0,20,McLaren,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,2.0,21,McLaren,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,3.0,22,McLaren,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,4.0,23,McLaren,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,5.0,24,McLaren,,91.478,,-0.728,,-0.728,92.206,-,-,-,,-,,-,
0,2024,2024060,6.0,25,McLaren,,91.812,,-0.242,,-0.242,92.089,-,-,-,,-,,-,
0,2024,2024060,7.0,26,McLaren,,91.887,,-0.186,,-0.186,92.073,-,-,-,,-,,-,
0,2024,2024060,8.0,27,McLaren,,91.762,,-0.434,,-0.434,92.235,-,-,-,,-,,-,
0,2024,2024060,9.0,28,McLaren,,92.341,,0.01,,-0.356,92.533,-,-,-,,-,,-,
0,2024,2024060,10.0,29,McLaren,,92.188,,-0.139,,-0.139,92.418,-,-,-,,-,,-,
0,2024,2024060,11.0,30,McLaren,,92.307,,-0.14,,-0.14,92.529,-,-,-,,-,,-,
0,2024,2024060,12.0,31,McLaren,,93.274,,0.776,,-0.529,92.684,-,-,-,,-,,-,
0,2024,2024060,13.0,32,McLaren,,91.631,,-0.91,,-0.91,92.541,-,-,-,,-,,-,
0,2024,2024060,14.0,33,McLaren,,91.628,,-1.208,,-1.208,92.968,-,-,-,,-,,-,
0,2024,2024060,15.0,34,McLaren,,91.677,,-1.038,,-1.038,93.031,-,-,-,,-,,-,
0,2024,2024060,16.0,35,McLaren,,91.839,,-0.378,,-0.378,92.217,-,-,-,,-,,-,
0,2024,2024060,17.0,36,McLaren,,91.71,,-0.463,,-0.463,92.173,-,-,-,,-,,-,
0,2024,2024060,18.0,37,McLaren,,91.745,,-0.398,,-0.398,92.193,-,-,-,,-,,-,
0,2024,2024060,19.0,38,McLaren,,91.393,,-0.746,,-0.746,92.139,-,-,-,,-,,-,
0,2024,2024110,1.0,39,McLaren,,,,,,,,-,-,-,,-,,-,
0,2024,2024110,2.0,40,McLaren,,,,,,,,-,-,-,,-,,-,
0,2024,2024110,3.0,41,McLaren,69.313,69.31,-0.985,-0.988,-0.985,-0.988,70.298,-0.003,28.0,-0.003,28,-0.986,-0.9864999999999999,-0.986,-0.9864999999999999
0,2024,2024110,4.0,42,McLaren,69.077,69.047,-0.975,-1.005,-0.975,-1.005,70.087,-0.030,28.0,-0.030,28,-0.990,-0.99,-0.990,-0.99
0,2024,2024110,5.0,43,McLaren,70.619,69.025,0.569,-1.025,-0.857,-1.025,70.202,-1.594,28.0,-0.168,28,-0.228,-0.22799999999999998,-0.941,-0.941
0,2024,2024110,6.0,44,McLaren,69.31,69.259,-0.792,-0.843,-0.792,-1.021,70.152,-0.051,28.0,-0.229,28,-0.818,-0.8175,-0.906,-0.9065
0,2024,2024110,7.0,45,McLaren,69.137,69.138,-1.011,-1.01,-1.011,-1.01,70.184,0.001,4.0,0.001,4,-1.010,-1.0105,-1.010,-1.0105
0,2024,2024110,8.0,46,McLaren,69.32,69.107,-0.788,-1.001,-0.788,-1.001,70.149,-0.213,28.0,-0.213,28,-0.894,-0.8945,-0.894,-0.8945
0,2024,2024110,9.0,47,McLaren,69.643,69.094,-0.508,-1.057,-0.736,-1.057,70.227,-0.549,28.0,-0.321,28,-0.782,-0.7825,-0.896,-0.8965
0,2024,2024110,10.0,48,McLaren,69.51,69.366,-0.661,-0.805,-0.661,-0.805,70.171,-0.144,28.0,-0.144,28,-0.733,-0.7330000000000001,-0.733,-0.7330000000000001
0,2024,2024110,11.0,49,McLaren,69.538,69.714,-0.665,-0.489,-0.665,-0.489,70.342,0.176,4.0,0.176,4,-0.577,-0.577,-0.577,-0.577
0,2024,2024110,12.0,50,McLaren,69.656,70.005,-0.557,-0.208,-0.557,-0.456,70.26,0.349,4.0,0.101,4,-0.383,-0.3825,-0.507,-0.5065000000000001
0,2024,2024110,13.0,51,McLaren,69.509,69.8,-0.756,-0.465,-0.756,-0.465,70.273,0.291,4.0,0.291,4,-0.611,-0.6105,-0.611,-0.6105
0,2024,2024110,14.0,52,McLaren,69.407,69.61,-0.927,-0.724,-0.927,-0.724,70.334,0.203,4.0,0.203,4,-0.826,-0.8255,-0.826,-0.8255
0,2024,2024110,15.0,53,McLaren,69.837,69.8,-0.676,-0.713,-0.676,-0.713,70.609,-0.037,28.0,-0.037,28,-0.695,-0.6945,-0.695,-0.6945
0,2024,2024110,16.0,54,McLaren,70.028,69.945,-0.624,-0.707,-0.624,-0.707,70.707,-0.083,28.0,-0.083,28,-0.665,-0.6655,-0.665,-0.6655
