SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,7_Laptime,9_Laptime,29_Laptime,7_PaceDiff,9_PaceDiff,29_PaceDiff,7_PaceDiffClear,9_PaceDiffClear,29_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
0,2024,2024050,1.0,1,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024050,2.0,2,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024050,3.0,3,RB,102.843,103.905,,0.703,1.765,,0.703,1.765,,102.14,-,7.0,-,7,-,,-,
0,2024,2024050,4.0,4,RB,102.444,102.056,,0.687,0.299,,0.687,0.299,,101.758,-,9.0,-,9,-,,-,
0,2024,2024050,5.0,5,RB,102.255,102.301,,0.453,0.499,,0.453,0.323,,101.86,-,7.0,-,9,-,,-,
0,2024,2024050,6.0,6,RB,102.234,102.193,,0.324,0.283,,0.324,0.283,,101.95,-,9.0,-,9,-,,-,
0,2024,2024050,7.0,7,RB,102.4,102.626,,0.251,0.477,,0.251,0.225,,102.219,-,7.0,-,9,-,,-,
0,2024,2024050,8.0,8,RB,102.575,102.556,,0.267,0.248,,0.267,0.248,,102.358,-,9.0,-,9,-,,-,
0,2024,2024050,9.0,9,RB,102.735,103.267,,0.326,0.858,,0.326,0.294,,102.51,-,7.0,-,9,-,,-,
0,2024,2024050,10.0,10,RB,102.742,102.85,,0.265,0.373,,0.265,0.373,,102.503,-,7.0,-,7,-,,-,
0,2024,2024050,11.0,11,RB,102.551,102.835,,0.009,0.293,,0.009,0.293,,102.581,-,7.0,-,7,-,,-,
0,2024,2024050,12.0,12,RB,102.924,102.712,,0.287,0.075,,0.287,0.075,,102.652,-,9.0,-,9,-,,-,
0,2024,2024050,13.0,13,RB,103.352,102.719,,0.523,-0.11,,0.291,-0.11,,102.854,-,9.0,-,9,-,,-,
0,2024,2024050,14.0,14,RB,103.316,103.128,,0.371,0.183,,0.371,0.183,,102.989,-,9.0,-,9,-,,-,
0,2024,2024050,15.0,15,RB,103.517,103.299,,0.506,0.288,,0.506,0.288,,103.053,-,9.0,-,9,-,,-,
0,2024,2024050,16.0,16,RB,102.38,103.188,,-0.507,0.301,,-0.507,0.301,,103.232,-,7.0,-,7,-,,-,
0,2024,2024050,17.0,17,RB,102.381,103.37,,-0.401,0.588,,-0.401,0.588,,102.816,-,7.0,-,7,-,,-,
0,2024,2024050,18.0,18,RB,104.599,103.724,,1.674,0.799,,0.35,0.608,,103.115,-,9.0,-,7,-,,-,
0,2024,2024050,19.0,19,RB,104.169,103.696,,0.835,0.362,,0.835,0.362,,103.334,-,9.0,-,9,-,,-,
0,2024,2024060,1.0,20,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,2.0,21,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,3.0,22,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,4.0,23,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024060,5.0,24,RB,92.742,92.198,,0.536,-0.008,,0.536,-0.008,,92.206,-,9.0,-,9,-,,-,
0,2024,2024060,6.0,25,RB,91.901,92.18,,-0.153,0.126,,-0.153,0.126,,92.089,-,7.0,-,7,-,,-,
0,2024,2024060,7.0,26,RB,91.631,92.204,,-0.442,0.131,,-0.442,0.131,,92.073,-,7.0,-,7,-,,-,
0,2024,2024060,8.0,27,RB,91.688,92.669,,-0.508,0.473,,-0.508,0.473,,92.235,-,7.0,-,7,-,,-,
0,2024,2024060,9.0,28,RB,92.128,92.712,,-0.203,0.381,,-0.203,0.381,,92.533,-,7.0,-,7,-,,-,
0,2024,2024060,10.0,29,RB,92.487,92.416,,0.159,0.088,,-0.09,0.088,,92.418,-,9.0,-,7,-,,-,
0,2024,2024060,11.0,30,RB,92.348,92.601,,-0.099,0.154,,-0.099,0.154,,92.529,-,7.0,-,7,-,,-,
0,2024,2024060,12.0,31,RB,92.62,92.971,,0.123,0.474,,-0.341,0.474,,92.684,-,7.0,-,7,-,,-,
0,2024,2024060,13.0,32,RB,91.966,93.487,,-0.575,0.946,,-0.575,0.946,,92.541,-,7.0,-,7,-,,-,
0,2024,2024060,14.0,33,RB,91.795,93.963,,-1.041,1.127,,-1.041,1.127,,92.968,-,7.0,-,7,-,,-,
0,2024,2024060,15.0,34,RB,91.868,92.973,,-0.847,0.258,,-0.847,0.258,,93.031,-,7.0,-,7,-,,-,
0,2024,2024060,16.0,35,RB,91.646,91.844,,-0.571,-0.373,,-0.571,-0.373,,92.217,-,7.0,-,7,-,,-,
0,2024,2024060,17.0,36,RB,91.697,92.221,,-0.476,0.048,,-0.476,0.048,,92.173,-,7.0,-,7,-,,-,
0,2024,2024060,18.0,37,RB,91.631,92.133,,-0.512,-0.01,,-0.512,-0.01,,92.193,-,7.0,-,7,-,,-,
0,2024,2024060,19.0,38,RB,92.001,93.304,,-0.138,1.165,,-0.138,1.165,,92.139,-,7.0,-,7,-,,-,
0,2024,2024110,1.0,39,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024110,2.0,40,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024110,3.0,41,RB,71.225,70.76,,0.927,0.462,,0.927,0.462,,70.298,-,9.0,-,9,-,,-,
0,2024,2024110,4.0,42,RB,70.737,70.525,,0.685,0.473,,0.685,0.473,,70.087,-,9.0,-,9,-,,-,
0,2024,2024110,5.0,43,RB,70.48,70.363,,0.43,0.313,,0.43,0.313,,70.202,-,9.0,-,9,-,,-,
0,2024,2024110,6.0,44,RB,70.494,70.556,,0.392,0.454,,0.392,0.454,,70.152,-,7.0,-,7,-,,-,
0,2024,2024110,7.0,45,RB,70.794,70.683,,0.646,0.535,,0.349,0.535,,70.184,-,9.0,-,7,-,,-,
0,2024,2024110,8.0,46,RB,70.499,70.572,,0.391,0.464,,0.391,0.464,,70.149,-,7.0,-,7,-,,-,
0,2024,2024110,9.0,47,RB,70.612,70.48,,0.461,0.329,,0.461,0.329,,70.227,-,9.0,-,9,-,,-,
0,2024,2024110,10.0,48,RB,70.728,70.599,,0.557,0.428,,0.557,0.428,,70.171,-,9.0,-,9,-,,-,
0,2024,2024110,11.0,49,RB,70.682,70.988,,0.479,0.785,,0.479,0.423,,70.342,-,7.0,-,9,-,,-,
0,2024,2024110,12.0,50,RB,70.764,70.654,,0.551,0.441,,0.551,0.441,,70.26,-,9.0,-,9,-,,-,
0,2024,2024110,13.0,51,RB,70.839,70.583,,0.574,0.318,,0.574,0.318,,70.273,-,9.0,-,9,-,,-,
0,2024,2024110,14.0,52,RB,70.908,70.922,,0.574,0.588,,0.574,0.588,,70.334,-,7.0,-,7,-,,-,
0,2024,2024110,15.0,53,RB,70.744,71.245,,0.231,0.732,,0.231,0.392,,70.609,-,7.0,-,7,-,,-,
0,2024,2024110,16.0,54,RB,71.182,70.887,,0.53,0.235,,0.283,0.235,,70.707,-,9.0,-,9,-,,-,
0,2024,2024110,17.0,55,RB,71.125,71.053,,0.41,0.338,,0.41,0.338,,70.73,-,9.0,-,9,-,,-,
0,2024,2024110,18.0,56,RB,70.996,71.044,,0.295,0.343,,0.295,0.343,,70.722,-,7.0,-,7,-,,-,
0,2024,2024110,19.0,57,RB,71.024,71.047,,0.182,0.205,,0.182,0.205,,70.893,-,7.0,-,7,-,,-,
0,2024,2024110,20.0,58,RB,71.102,71.184,,0.271,0.353,,0.271,0.353,,70.885,-,7.0,-,7,-,,-,
0,2024,2024110,21.0,59,RB,71.555,71.287,,0.66,0.392,,0.059,0.392,,71.073,-,9.0,-,7,-,,-,
0,2024,2024110,22.0,60,RB,70.807,70.776,,-0.015,-0.046,,-0.015,-0.046,,70.822,-,9.0,-,9,-,,-,
0,2024,2024110,23.0,61,RB,71.816,71.007,,0.718,-0.091,,0.718,-0.091,,71.098,-,9.0,-,9,-,,-,
0,2024,2024190,1.0,62,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024190,2.0,63,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024190,3.0,64,RB,,99.179,100.933,,-0.628,1.126,,-0.628,1.126,99.807,1.754,9.0,1.754,9,-,,-,
0,2024,2024190,4.0,65,RB,,99.362,100.421,,-0.193,0.866,,-0.193,0.866,99.636,1.059,9.0,1.059,9,-,,-,
0,2024,2024190,5.0,66,RB,,99.311,100.529,,-0.096,1.122,,-0.096,1.122,99.648,1.218,9.0,1.218,9,-,,-,
0,2024,2024190,6.0,67,RB,,100.437,101.767,,1.073,2.403,,0.508,0.519,99.737,1.330,9.0,0.011,9,-,,-,
0,2024,2024190,7.0,68,RB,,100.433,99.237,,1.123,-0.073,,1.123,-0.073,99.384,-1.196,29.0,-1.196,29,-,,-,
0,2024,2024190,8.0,69,RB,,99.852,99.552,,0.402,0.102,,0.402,0.102,99.498,-0.300,29.0,-0.300,29,-,,-,
0,2024,2024190,9.0,70,RB,,99.92,99.912,,0.366,0.358,,0.366,0.358,99.759,-0.008,29.0,-0.008,29,-,,-,
0,2024,2024190,10.0,71,RB,,99.758,100.014,,0.234,0.49,,0.234,0.49,99.587,0.256,9.0,0.256,9,-,,-,
0,2024,2024190,11.0,72,RB,,99.58,100.169,,0.159,0.748,,0.159,0.748,99.421,0.589,9.0,0.589,9,-,,-,
0,2024,2024190,12.0,73,RB,,101.483,99.827,,2.09,0.434,,0.683,0.434,99.516,-1.656,29.0,-0.249,29,-,,-,
0,2024,2024190,13.0,74,RB,,100.572,100.134,,1.089,0.651,,1.089,0.651,99.562,-0.438,29.0,-0.438,29,-,,-,
0,2024,2024190,14.0,75,RB,,100.913,99.922,,1.43,0.439,,1.43,0.439,99.599,-0.991,29.0,-0.991,29,-,,-,
0,2024,2024190,15.0,76,RB,,100.105,100.189,,0.634,0.718,,0.634,0.718,99.551,0.084,9.0,0.084,9,-,,-,
0,2024,2024190,16.0,77,RB,,101.012,99.931,,1.712,0.631,,0.489,0.631,99.399,-1.081,29.0,0.142,9,-,,-,
0,2024,2024190,17.0,78,RB,,99.473,99.697,,0.506,0.73,,0.506,0.73,98.967,0.224,9.0,0.224,9,-,,-,
0,2024,2024190,18.0,79,RB,,99.599,99.736,,0.481,0.618,,0.481,0.618,99.156,0.137,9.0,0.137,9,-,,-,
0,2024,2024190,19.0,80,RB,,99.136,99.978,,-0.357,0.485,,-0.357,0.485,99.493,0.842,9.0,0.842,9,-,,-,
0,2024,2024210,1.0,81,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024210,2.0,82,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024210,3.0,83,RB,,74.451,73.42,,0.992,-0.039,,0.992,-0.039,73.459,-1.031,29.0,-1.031,29,-,,-,
0,2024,2024210,4.0,84,RB,,74.124,73.105,,0.888,-0.131,,0.888,-0.131,73.236,-1.019,29.0,-1.019,29,-,,-,
0,2024,2024210,5.0,85,RB,,74.275,73.06,,1.025,-0.19,,1.025,-0.19,73.375,-1.215,29.0,-1.215,29,-,,-,
0,2024,2024210,6.0,86,RB,,73.669,72.861,,0.535,-0.272,,0.535,-0.272,73.134,-0.807,29.0,-0.807,29,-,,-,
0,2024,2024210,7.0,87,RB,,74.262,73.175,,1.033,-0.054,,1.033,-0.217,73.248,-1.087,29.0,-1.250,29,-,,-,
0,2024,2024210,8.0,88,RB,,74.809,73.163,,1.549,-0.097,,1.005,-0.097,73.313,-1.646,29.0,-1.102,29,-,,-,
0,2024,2024210,9.0,89,RB,,74.269,72.908,,0.912,-0.449,,0.912,-0.449,73.535,-1.361,29.0,-1.361,29,-,,-,
0,2024,2024210,10.0,90,RB,,74.541,73.312,,1.182,-0.047,,1.182,-0.047,73.425,-1.229,29.0,-1.229,29,-,,-,
0,2024,2024210,11.0,91,RB,,73.724,73.461,,0.552,0.289,,0.552,0.289,73.226,-0.263,29.0,-0.263,29,-,,-,
0,2024,2024210,12.0,92,RB,,73.199,73.173,,0.124,0.098,,0.124,0.098,73.106,-0.026,29.0,-0.026,29,-,,-,
0,2024,2024210,13.0,93,RB,,73.148,73.035,,0.07,-0.043,,0.07,-0.043,73.228,-0.113,29.0,-0.113,29,-,,-,
0,2024,2024210,14.0,94,RB,,72.838,72.896,,-0.191,-0.133,,-0.191,-0.133,73.176,0.058,9.0,0.058,9,-,,-,
0,2024,2024210,15.0,95,RB,,73.043,72.96,,0.134,0.051,,0.134,0.051,73.012,-0.083,29.0,-0.083,29,-,,-,
0,2024,2024210,16.0,96,RB,,73.724,73.02,,0.848,0.144,,0.227,0.144,73.026,-0.704,29.0,-0.083,29,-,,-,
0,2024,2024210,17.0,97,RB,,73.162,72.643,,0.258,-0.261,,0.258,-0.261,72.904,-0.519,29.0,-0.519,29,-,,-,
0,2024,2024210,18.0,98,RB,,73.163,72.596,,0.103,-0.464,,0.103,-0.464,73.288,-0.567,29.0,-0.567,29,-,,-,
0,2024,2024210,19.0,99,RB,,73.26,72.827,,0.093,-0.34,,0.093,-0.34,73.311,-0.433,29.0,-0.433,29,-,,-,
0,2024,2024210,20.0,100,RB,,73.748,74.084,,0.416,0.752,,0.416,-0.242,73.677,0.336,9.0,-0.658,29,-,,-,
0,2024,2024210,21.0,101,RB,,74.133,73.354,,0.326,-0.453,,0.326,-0.453,73.807,-0.779,29.0,-0.779,29,-,,-,
0,2024,2024210,22.0,102,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024210,23.0,103,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024210,24.0,104,RB,,74.038,73.375,,0.108,-0.555,,0.108,-0.555,73.93,-0.663,29.0,-0.663,29,-,,-,
0,2024,2024230,1.0,105,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024230,2.0,106,RB,,,,,,,,,,,-,-,-,,-,,-,
0,2024,2024230,3.0,107,RB,,87.455,87.69,,0.597,0.832,,0.597,0.832,86.848,0.235,9.0,0.235,9,-,,-,
0,2024,2024230,4.0,108,RB,,87.458,87.533,,0.743,0.818,,0.743,0.818,86.712,0.075,9.0,0.075,9,-,,-,
0,2024,2024230,5.0,109,RB,,87.325,87.413,,0.76,0.848,,0.76,0.848,86.565,0.088,9.0,0.088,9,-,,-,
0,2024,2024230,6.0,110,RB,,87.426,87.285,,1.09,0.949,,1.09,0.949,86.343,-0.141,29.0,-0.141,29,-,,-,
0,2024,2024230,7.0,111,RB,,87.304,86.345,,1.055,0.096,,1.055,0.096,86.521,-0.959,29.0,-0.959,29,-,,-,
0,2024,2024230,8.0,112,RB,,86.418,86.577,,0.254,0.413,,0.254,0.413,86.203,0.159,9.0,0.159,9,-,,-,
0,2024,2024230,9.0,113,RB,,86.409,86.539,,0.306,0.436,,0.306,0.436,86.164,0.130,9.0,0.130,9,-,,-,
0,2024,2024230,10.0,114,RB,,86.116,86.614,,0.428,0.926,,0.428,0.926,85.688,0.498,9.0,0.498,9,-,,-,
0,2024,2024230,11.0,115,RB,,86.52,86.364,,0.958,0.802,,0.62,0.802,85.628,-0.156,29.0,0.182,9,-,,-,
0,2024,2024230,12.0,116,RB,,86.249,86.1,,0.771,0.622,,0.771,0.622,85.487,-0.149,29.0,-0.149,29,-,,-,
0,2024,2024230,13.0,117,RB,,86.014,86.337,,0.563,0.886,,0.563,0.886,85.569,0.323,9.0,0.323,9,-,,-,
0,2024,2024230,14.0,118,RB,,86.37,86.013,,1.045,0.688,,0.697,0.688,85.457,-0.357,29.0,-0.009,29,-,,-,
0,2024,2024230,15.0,119,RB,,86.03,86.041,,0.758,0.769,,0.758,0.769,85.285,0.011,9.0,0.011,9,-,,-,
0,2024,2024230,16.0,120,RB,,85.996,86.022,,0.546,0.572,,0.546,0.572,85.492,0.026,9.0,0.026,9,-,,-,
0,2024,2024230,17.0,121,RB,,85.838,85.917,,0.71,0.789,,0.71,0.789,85.154,0.079,9.0,0.079,9,-,,-,
0,2024,2024230,18.0,122,RB,,85.933,85.762,,0.965,0.794,,0.965,0.794,85.012,-0.171,29.0,-0.171,29,-,,-,
0,2024,2024230,19.0,123,RB,,86.115,86.458,,0.773,1.116,,0.773,1.116,85.342,0.343,9.0,0.343,9,-,,-,
