SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,6_Laptime,8_Laptime,30_Laptime,6_PaceDiff,8_PaceDiff,30_PaceDiff,6_PaceDiffClear,8_PaceDiffClear,30_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2024,2024011,1.0,1,Ferrari,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,2.0,2,Ferrari,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,3.0,3,Ferrari,98.062,97.08,,-0.054,-1.036,,-0.054,-1.036,,98.116,-,8.0,-,8,-,,-,
1,2024,2024011,4.0,4,Ferrari,97.752,97.264,,-0.282,-0.77,,-0.282,-0.77,,98.034,-,8.0,-,8,-,,-,
1,2024,2024011,5.0,5,Ferrari,98.131,98.032,,-0.046,-0.145,,-0.41,-0.675,,98.412,-,8.0,-,8,-,,-,
1,2024,2024011,6.0,6,Ferrari,97.782,97.741,,-0.483,-0.524,,-0.483,-0.524,,98.277,-,8.0,-,8,-,,-,
1,2024,2024011,7.0,7,Ferrari,98.957,98.26,,0.575,-0.122,,-0.423,-0.42,,98.538,-,8.0,-,6,-,,-,
1,2024,2024011,8.0,8,Ferrari,98.136,98.183,,-0.388,-0.341,,-0.388,-0.341,,98.546,-,6.0,-,6,-,,-,
1,2024,2024011,9.0,9,Ferrari,97.844,98.03,,-0.587,-0.401,,-0.587,-0.401,,98.498,-,6.0,-,6,-,,-,
1,2024,2024011,10.0,10,Ferrari,97.884,97.608,,-0.365,-0.641,,-0.365,-0.641,,98.315,-,8.0,-,8,-,,-,
1,2024,2024011,11.0,11,Ferrari,,97.656,,,-0.377,,,-0.377,,98.063,-,-,-,,-,,-,
1,2024,2024011,12.0,12,Ferrari,,97.65,,,-0.34,,,-0.34,,97.99,-,-,-,,-,,-,
1,2024,2024011,13.0,13,Ferrari,96.432,97.243,,-1.407,-0.596,,-1.407,-0.596,,97.839,-,6.0,-,6,-,,-,
1,2024,2024011,14.0,14,Ferrari,96.756,,,-0.852,,,-0.852,,,97.641,-,-,-,,-,,-,
1,2024,2024011,15.0,15,Ferrari,96.813,,,-0.408,,,-0.408,,,97.333,-,-,-,,-,,-,
1,2024,2024011,16.0,16,Ferrari,96.673,96.376,,-0.577,-0.874,,-0.577,-0.874,,97.4,-,8.0,-,8,-,,-,
1,2024,2024011,17.0,17,Ferrari,97.302,95.507,,-0.004,-1.799,,-0.004,-1.799,,97.537,-,8.0,-,8,-,,-,
1,2024,2024011,18.0,18,Ferrari,97.438,96.088,,0.121,-1.229,,0.121,-1.229,,97.41,-,8.0,-,8,-,,-,
1,2024,2024011,19.0,19,Ferrari,96.821,96.236,,-0.351,-0.936,,-0.351,-1.111,,97.209,-,8.0,-,8,-,,-,
1,2024,2024011,20.0,20,Ferrari,96.794,96.034,,-0.365,-1.125,,-0.365,-1.125,,97.215,-,8.0,-,8,-,,-,
1,2024,2024011,21.0,21,Ferrari,96.977,96.104,,-0.264,-1.137,,-0.264,-1.137,,97.305,-,8.0,-,8,-,,-,
1,2024,2024011,22.0,22,Ferrari,96.796,96.008,,-0.45,-1.238,,-0.45,-1.238,,97.246,-,8.0,-,8,-,,-,
1,2024,2024011,23.0,23,Ferrari,96.987,96.149,,-0.265,-1.103,,-0.265,-1.103,,97.258,-,8.0,-,8,-,,-,
1,2024,2024011,24.0,24,Ferrari,96.924,96.2,,-0.392,-1.116,,-0.392,-1.116,,97.37,-,8.0,-,8,-,,-,
1,2024,2024011,25.0,25,Ferrari,96.76,96.22,,-0.655,-1.195,,-0.655,-1.195,,97.415,-,8.0,-,8,-,,-,
1,2024,2024011,26.0,26,Ferrari,96.81,96.221,,-0.53,-1.119,,-0.53,-1.119,,97.368,-,8.0,-,8,-,,-,
1,2024,2024011,27.0,27,Ferrari,96.831,96.272,,-0.532,-1.091,,-0.532,-1.091,,97.402,-,8.0,-,8,-,,-,
1,2024,2024011,28.0,28,Ferrari,96.907,96.534,,-0.4,-0.773,,-0.4,-0.773,,97.35,-,8.0,-,8,-,,-,
1,2024,2024011,29.0,29,Ferrari,96.963,96.6,,-0.296,-0.659,,-0.296,-0.659,,97.278,-,8.0,-,8,-,,-,
1,2024,2024011,30.0,30,Ferrari,97.158,96.337,,0.237,-0.584,,0.237,-0.584,,96.941,-,8.0,-,8,-,,-,
1,2024,2024011,31.0,31,Ferrari,97.031,96.537,,0.173,-0.321,,0.173,-0.321,,96.982,-,8.0,-,8,-,,-,
1,2024,2024011,32.0,32,Ferrari,96.941,96.762,,0.076,-0.103,,0.076,-0.318,,96.921,-,8.0,-,8,-,,-,
1,2024,2024011,33.0,33,Ferrari,96.741,96.556,,0.018,-0.167,,0.018,-0.167,,96.906,-,8.0,-,8,-,,-,
1,2024,2024011,34.0,34,Ferrari,,96.551,,,0.034,,,0.034,,96.69,-,-,-,,-,,-,
1,2024,2024011,35.0,35,Ferrari,,,,,,,,,,96.341,-,-,-,,-,,-,
1,2024,2024011,36.0,36,Ferrari,94.09,,,-1.98,,,-1.98,,,96.281,-,-,-,,-,,-,
1,2024,2024011,37.0,37,Ferrari,94.897,95.302,,-1.004,-0.599,,-1.465,-0.599,,96.01,-,6.0,-,6,-,,-,
1,2024,2024011,38.0,38,Ferrari,94.783,95.1,,-1.21,-0.893,,-1.21,-0.893,,96.262,-,6.0,-,6,-,,-,
