SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,22_Laptime,25_Laptime,30_Laptime,22_PaceDiff,25_PaceDiff,30_PaceDiff,22_PaceDiffClear,25_PaceDiffClear,30_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2024,2024011,1.0,1,Haas F1 Team,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,2.0,2,Haas F1 Team,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,3.0,3,Haas F1 Team,98.399,97.317,,0.283,-0.799,,0.283,-0.799,,98.116,-,25.0,-,25,-,,-,
1,2024,2024011,4.0,4,Haas F1 Team,98.497,97.349,,0.463,-0.685,,0.463,-0.685,,98.034,-,25.0,-,25,-,,-,
1,2024,2024011,5.0,5,Haas F1 Team,98.576,97.663,,0.399,-0.514,,0.399,-0.514,,98.412,-,25.0,-,25,-,,-,
1,2024,2024011,6.0,6,Haas F1 Team,98.529,97.896,,0.264,-0.369,,0.264,-0.369,,98.277,-,25.0,-,25,-,,-,
1,2024,2024011,7.0,7,Haas F1 Team,100.058,97.682,,1.676,-0.7,,0.469,-0.7,,98.538,-,25.0,-,25,-,,-,
1,2024,2024011,8.0,8,Haas F1 Team,99.172,97.82,,0.648,-0.704,,0.648,-0.704,,98.546,-,25.0,-,25,-,,-,
1,2024,2024011,9.0,9,Haas F1 Team,98.861,97.883,,0.43,-0.548,,0.43,-0.548,,98.498,-,25.0,-,25,-,,-,
1,2024,2024011,10.0,10,Haas F1 Team,98.747,98.37,,0.498,0.121,,0.498,-0.489,,98.315,-,25.0,-,25,-,,-,
1,2024,2024011,11.0,11,Haas F1 Team,,97.638,,,-0.395,,,-0.395,,98.063,-,-,-,,-,,-,
1,2024,2024011,12.0,12,Haas F1 Team,,97.706,,,-0.284,,,-0.284,,97.99,-,-,-,,-,,-,
1,2024,2024011,13.0,13,Haas F1 Team,96.89,97.801,,-0.949,-0.038,,-0.949,-0.038,,97.839,-,22.0,-,22,-,,-,
1,2024,2024011,14.0,14,Haas F1 Team,97.59,97.879,,-0.018,0.271,,-0.018,0.271,,97.641,-,22.0,-,22,-,,-,
