SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,3_Laptime,23_Laptime,3_PaceDiff,23_PaceDiff,3_PaceDiffClear,23_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2024,2024011,1.0,1,Kick Sauber,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,2.0,2,Kick Sauber,,,,,,,,-,-,-,,-,,-,
1,2024,2024011,3.0,3,Kick Sauber,98.837,98.582,0.721,0.466,0.721,0.466,98.116,-0.255,23.0,-0.255,23,0.594,0.5935,0.594,0.5935
1,2024,2024011,4.0,4,Kick Sauber,98.643,98.428,0.609,0.394,0.609,0.394,98.034,-0.215,23.0,-0.215,23,0.502,0.5015000000000001,0.502,0.5015000000000001
1,2024,2024011,5.0,5,Kick Sauber,100.087,98.798,1.91,0.621,0.747,0.621,98.412,-1.289,23.0,-0.126,23,1.265,1.2654999999999998,0.684,0.6839999999999999
1,2024,2024011,6.0,6,Kick Sauber,99.206,98.488,0.941,0.223,0.941,0.223,98.277,-0.718,23.0,-0.718,23,0.582,0.582,0.582,0.582
1,2024,2024011,7.0,7,Kick Sauber,98.654,99.517,0.272,1.135,0.272,1.135,98.538,0.863,3.0,0.863,3,0.704,0.7035,0.704,0.7035
1,2024,2024011,8.0,8,Kick Sauber,98.968,99.646,0.444,1.122,0.444,1.122,98.546,0.678,3.0,0.678,3,0.783,0.783,0.783,0.783
1,2024,2024011,9.0,9,Kick Sauber,99.425,,0.994,,0.609,,98.498,-,-,-,,-,0.43633333333333335,-,0.43633333333333335
1,2024,2024011,10.0,10,Kick Sauber,99.112,,0.863,,0.863,,98.315,-,-,-,,-,0.08966666666666667,-,0.08966666666666667
1,2024,2024011,11.0,11,Kick Sauber,99.187,96.365,1.154,-1.668,1.154,-1.668,98.063,-2.822,23.0,-2.822,23,-0.257,-0.257,-0.257,-0.257
1,2024,2024011,12.0,12,Kick Sauber,,96.995,,-0.995,,-0.995,97.99,-,-,-,,-,-0.3846666666666666,-,-0.3846666666666666
1,2024,2024011,13.0,13,Kick Sauber,,97.436,,-0.403,,-0.403,97.839,-,-,-,,-,-0.5123333333333333,-,-0.5123333333333333
1,2024,2024011,14.0,14,Kick Sauber,96.454,97.482,-1.154,-0.126,-1.154,-0.126,97.641,1.028,3.0,1.028,3,-0.640,-0.6399999999999999,-0.640,-0.6399999999999999
1,2024,2024011,15.0,15,Kick Sauber,97.287,97.5,0.066,0.279,0.066,0.279,97.333,0.213,3.0,0.213,3,0.173,0.17250000000000001,0.173,0.17250000000000001
1,2024,2024011,16.0,16,Kick Sauber,97.718,97.659,0.468,0.409,0.468,0.409,97.4,-0.059,23.0,-0.059,23,0.439,0.4385,0.439,0.4385
1,2024,2024011,17.0,17,Kick Sauber,97.765,98.475,0.459,1.169,0.459,0.299,97.537,0.710,3.0,-0.160,23,0.814,0.8140000000000001,0.379,0.379
1,2024,2024011,18.0,18,Kick Sauber,97.918,97.552,0.601,0.235,0.601,0.235,97.41,-0.366,23.0,-0.366,23,0.418,0.418,0.418,0.418
1,2024,2024011,19.0,19,Kick Sauber,97.662,97.652,0.49,0.48,0.49,0.48,97.209,-0.010,23.0,-0.010,23,0.485,0.485,0.485,0.485
1,2024,2024011,20.0,20,Kick Sauber,98.285,97.749,1.126,0.59,0.537,0.59,97.215,-0.536,23.0,0.053,3,0.858,0.8579999999999999,0.564,0.5635
1,2024,2024011,21.0,21,Kick Sauber,97.73,97.947,0.489,0.706,0.489,0.56,97.305,0.217,3.0,0.071,3,0.597,0.5974999999999999,0.524,0.5245
1,2024,2024011,22.0,22,Kick Sauber,97.998,97.852,0.752,0.606,0.752,0.606,97.246,-0.146,23.0,-0.146,23,0.679,0.679,0.679,0.679
1,2024,2024011,23.0,23,Kick Sauber,98.18,97.788,0.928,0.536,0.928,0.536,97.258,-0.392,23.0,-0.392,23,0.732,0.732,0.732,0.732
1,2024,2024011,24.0,24,Kick Sauber,98.146,97.894,0.83,0.578,0.83,0.578,97.37,-0.252,23.0,-0.252,23,0.704,0.704,0.704,0.704
1,2024,2024011,25.0,25,Kick Sauber,98.262,97.883,0.847,0.468,0.847,0.468,97.415,-0.379,23.0,-0.379,23,0.657,0.6575,0.657,0.6575
1,2024,2024011,26.0,26,Kick Sauber,98.308,97.995,0.968,0.655,0.968,0.655,97.368,-0.313,23.0,-0.313,23,0.811,0.8115,0.811,0.8115
1,2024,2024011,27.0,27,Kick Sauber,98.426,98.053,1.063,0.69,1.063,0.69,97.402,-0.373,23.0,-0.373,23,0.876,0.8765,0.876,0.8765
1,2024,2024011,28.0,28,Kick Sauber,98.595,,1.288,,1.288,,97.35,-,-,-,,-,0.6093,-,0.6093
1,2024,2024011,29.0,29,Kick Sauber,98.654,,1.395,,1.395,,97.278,-,-,-,,-,0.34209999999999996,-,0.34209999999999996
1,2024,2024011,30.0,30,Kick Sauber,,95.458,,-1.463,,-1.463,96.941,-,-,-,,-,0.07489999999999997,-,0.07489999999999997
1,2024,2024011,31.0,31,Kick Sauber,,96.297,,-0.561,,-1.105,96.982,-,-,-,,-,,-,
1,2024,2024011,32.0,32,Kick Sauber,96.763,96.048,-0.102,-0.817,-0.102,-0.817,96.921,-0.715,23.0,-0.715,23,-0.459,-0.45949999999999996,-0.459,-0.45949999999999996
1,2024,2024011,33.0,33,Kick Sauber,96.202,97.971,-0.521,1.248,-0.521,-0.44,96.906,1.769,3.0,0.081,3,0.363,0.3635,-0.481,-0.48050000000000004
1,2024,2024011,34.0,34,Kick Sauber,98.009,96.518,1.492,0.001,-0.127,0.001,96.69,-1.491,23.0,0.128,3,0.746,0.7464999999999999,-0.063,-0.063
1,2024,2024011,35.0,35,Kick Sauber,96.578,96.546,0.306,0.274,0.306,0.274,96.341,-0.032,23.0,-0.032,23,0.290,0.29000000000000004,0.290,0.29000000000000004
1,2024,2024011,36.0,36,Kick Sauber,96.792,96.931,0.722,0.861,0.722,0.605,96.281,0.139,3.0,-0.117,23,0.791,0.7915,0.663,0.6635
1,2024,2024011,37.0,37,Kick Sauber,98.008,96.805,2.107,0.904,1.382,0.904,96.01,-1.203,23.0,-0.478,23,1.506,1.5055,1.143,1.143
